칸(종목),칸(TF),진입시각(UTC),청산시각(UTC),청산사유,진입가,손절가,tp,tp_derived,재진입,bar_open,bar_high,bar_low,bar_close,bar_span,fill_position,entry_bar_mae_r,entry_bar_mfe_r,can_stop,can_tp,bar_range_pct,range_over_r,recorded_same_tp,recorded_same_sl
LTC/USDT:USDT,15m,2024-08-09 05:00,2024-08-09 05:19,익절,59.881974,59.64,60.244935,False,False,59.93,60.0,59.88,59.98,0.11999999999999744,0.01644999999997563,0.008157901262106845,0.48776314810682503,False,False,0.20039419542181,0.4959210493689319,False,False
SOL/USDT:USDT,15m,2024-08-09 04:52,2024-08-09 06:37,익절,156.03119999999998,155.033,157.52849999999998,False,False,156.88,156.88,156.001,156.196,0.8789999999999907,0.034357224118293145,0.030254458024423406,0.8503305950711418,False,False,0.563348868687795,0.8805850530955652,False,False
XRP/USDT:USDT,1h,2024-08-09 04:52,2024-08-09 09:21,손절,0.6038956827314654,0.5944,0.6181392068286635,False,False,0.6069,0.6071,0.6023,0.6047,0.0048000000000000265,0.3324339023886412,0.16804297032565635,0.337449908463827,False,False,0.794839264008192,0.5054928787894833,False,False
LTC/USDT:USDT,15m,2024-08-09 10:21,2024-08-09 10:28,익절,59.881974,59.64,60.244935,False,False,60.04,60.06,59.76,59.84,0.30000000000000426,0.4065799999999995,0.5040789506310681,0.7357236727913057,False,False,0.5009854885545427,1.2398026234223738,False,False
BNB/USDT:USDT,15m,2024-08-09 10:21,2024-08-09 10:58,익절,503.990778,501.63,507.5319449999999,False,False,506.11,506.32,503.01,503.53,3.3100000000000023,0.29630755287008637,0.4154469416438115,0.9866332200656027,False,False,0.6567580488546166,1.4020801617094143,False,False
SOL/USDT:USDT,15m,2024-08-09 10:21,2024-08-09 12:27,손절,156.025860506661,155.033,157.51515126665248,False,False,156.389,156.52,155.72,155.771,0.8000000000000114,0.3823256333262338,0.3080598982525777,0.4976927675377224,False,False,0.5127355153832708,0.8057526657903001,False,False
LTC/USDT:USDT,15m,2024-08-09 12:36,2024-08-09 12:57,익절,59.881974,59.64,60.244935,True,True,60.07,60.07,59.88,59.92,0.18999999999999773,0.010389473684195039,0.008157901262106845,0.777050426905376,False,False,0.3172908094178688,0.7852083281674829,False,False
BNB/USDT:USDT,15m,2024-08-09 13:23,2024-08-09 13:35,손절,503.9387064476902,501.63,507.4017661192255,False,False,504.88,504.88,503.84,503.84,1.0400000000000205,0.09491004585599168,0.042754005295470084,0.40771469809490996,False,False,0.20637430439330115,0.45046870339038003,False,False
DOT/USDT:USDT,15m,2024-08-09 13:35,2024-08-09 13:50,익절,4.735947,4.716,4.765867500000001,False,False,4.755,4.755,4.728,4.737,0.027000000000000135,0.2943333333333538,0.3984057753045836,0.955181230260159,False,False,0.5701077313576384,1.3535870055647425,False,False
DOGE/USDT:USDT,15m,2024-08-09 13:35,2024-08-09 13:51,익절,0.102500496,0.10182,0.10352124,False,False,0.103,0.10302,0.1025,0.1027,0.0005200000000000066,0.0009538461538511524,0.0007288801109817009,0.7634196233335713,False,False,0.5073146182629268,0.764148503444553,False,False
ETH/USDT:USDT,15m,2024-08-09 13:35,2024-08-09 13:55,익절,2584.396776,2563.5,2615.74194,False,False,2604.43,2605.13,2580.0,2588.45,25.13000000000011,0.17496124154397238,0.2104045140743259,0.9921733381264181,False,False,0.9723739107465946,1.202577852200744,False,False
SOL/USDT:USDT,15m,2024-08-09 13:35,2024-08-09 13:59,익절,153.61066743565553,152.5,155.2766685891388,False,False,154.081,154.11,153.204,153.737,0.9060000000000059,0.44886030425553913,0.36614689744234846,0.4495788282923528,False,False,0.5898027885202123,0.8157257257347013,False,False
DOT/USDT:USDT,15m,2024-08-09 14:35,2024-08-09 14:44,익절,4.735947,4.716,4.765867500000001,False,False,4.755,4.755,4.735,4.735,0.019999999999999574,0.047350000000002564,0.04747581089888322,0.955181230260159,False,False,0.42230202322786914,1.002657041159042,False,False
BTC/USDT:USDT,15m,2024-08-09 16:04,2024-08-09 17:13,익절,59729.85289137165,59213.6,60504.23222842913,False,False,59807.5,59877.9,59705.9,59877.9,172.0,0.13926099634679917,0.04639759267596175,0.28677245416485403,False,False,0.28796320712995843,0.3331700468408158,False,False
DOT/USDT:USDT,15m,2024-08-10 03:10,2024-08-10 07:00,익절,4.735947,4.716,4.765867500000001,False,False,4.74,4.741,4.734,4.737,0.006999999999999673,0.2781428571429223,0.09760866295685314,0.2533213014488027,False,False,0.14780570812975047,0.3509299644056559,False,False
DOT/USDT:USDT,15m,2024-08-10 13:59,2024-08-10 15:09,익절,4.730924185342353,4.716,4.7533104633558825,False,False,4.735,4.735,4.729,4.734,0.006000000000000227,0.32069755705879377,0.1289306785069379,0.27310131602833987,False,False,0.12682511418360506,0.40203199453527777,False,False
BCH/USDT:USDT,15m,2024-08-10 16:07,2024-08-10 17:36,손절,350.810148,349.37,352.97037000000006,False,False,351.34,351.41,350.3,350.36,1.1100000000000136,0.4595927927928008,0.35423303716007476,0.4165210797779043,False,False,0.3164104591409977,0.7707541169379791,False,False
XRP/USDT:USDT,15m,2024-08-10 18:32,2024-08-10 18:58,익절,0.58771752,0.5839,0.5934438,False,False,0.5909,0.5909,0.5868,0.5887,0.0040999999999999925,0.22378536585366016,0.24034451685911284,0.8336511662021343,False,False,0.6976140510495573,1.0739956830612472,False,False
ETH/USDT:USDT,15m,2024-08-10 19:00,2024-08-10 19:34,익절,2595.566013090208,2586.6,2609.0150327255196,False,False,2599.67,2599.99,2593.25,2596.69,6.739999999999782,0.34362212020889676,0.25831025082232684,0.49341740473515994,False,False,0.25967361130512445,0.7517276555574868,False,False
XRP/USDT:USDT,15m,2024-08-10 22:07,2024-08-10 23:03,손절,0.58771752,0.5839,0.5934438,False,False,0.5884,0.5884,0.5865,0.5868,0.0019000000000000128,0.6407999999999809,0.3189295668391956,0.17877574970138663,False,False,0.32328456024248053,0.49770531654058225,False,False
SOL/USDT:USDT,15m,2024-08-11 11:02,2024-08-11 11:23,손절,154.155825,153.533,155.0900625,False,False,154.568,154.583,154.01,154.155,0.5730000000000075,0.25449389179755705,0.23413478906595062,0.685866816521497,False,False,0.3717018153546955,0.9200016055874476,False,False
DOT/USDT:USDT,15m,2024-08-11 11:02,2024-08-11 11:42,손절,4.735947,4.716,4.765867500000001,False,False,4.753,4.753,4.728,4.736,0.025000000000000355,0.3178800000000192,0.3984057753045836,0.8549155261442637,False,False,0.5278775290348552,1.2533213014488473,False,False
SOL/USDT:USDT,1h,2024-08-11 11:43,2024-08-11 12:12,손절,153.1693338692386,152.7,153.87333467309656,False,False,153.527,153.527,153.046,153.231,0.48099999999999454,0.25641137055846697,0.2627849326934345,0.762071851625786,False,False,0.31403152827616687,1.0248567843192204,False,False
BTC/USDT:USDT,15m,2024-08-11 11:02,2024-08-11 12:13,손절,60599.51748,60360.0,60958.79370000001,False,False,60791.3,60794.1,60501.0,60588.0,293.09999999999854,0.33612241555783945,0.41131645172620107,0.8123938177706047,False,False,0.4836672174769906,1.2237102694968058,False,False
LINK/USDT:USDT,15m,2024-08-11 11:43,2024-08-11 12:13,손절,10.5531102,10.501,10.631275500000005,False,False,10.567,10.567,10.538,10.549,0.028999999999999915,0.5210413793103642,0.2899662638024827,0.2665466645685306,False,False,0.2748005038362995,0.5565129283710133,False,False
ETH/USDT:USDT,15m,2024-08-11 11:43,2024-08-11 12:14,손절,2645.949084,2632.03,2666.8277099999996,False,False,2652.86,2653.4,2644.5,2648.13,8.900000000000091,0.1628184269662744,0.10410771283511852,0.5353021793675803,False,False,0.3363632374416503,0.6394098922026988,False,False
DOGE/USDT:USDT,15m,2024-08-11 13:11,2024-08-11 13:19,익절,0.105181032,0.1048,0.10575258,False,False,0.10535,0.10539,0.10505,0.10524,0.0003399999999999931,0.38538823529409394,0.3438871275903149,0.5484263788868378,False,False,0.323252200073482,0.8923135064771528,False,False
DOGE/USDT:USDT,15m,2024-08-11 13:28,2024-08-11 13:37,익절,0.105181032,0.1048,0.10575257999999998,True,True,0.10532,0.10545,0.10517,0.10543,0.00028000000000000247,0.039399999999978785,0.028952948833679222,0.7058934682651739,False,False,0.2662076941781694,0.7348464170988531,False,False
LTC/USDT:USDT,15m,2024-08-11 15:09,2024-08-11 15:23,익절,59.891976,59.61,60.31494,False,False,59.98,59.98,59.81,59.86,0.1699999999999946,0.4822117647058823,0.29071977756971273,0.3121684114960037,False,False,0.2838443667311871,0.6028881890657165,False,False
ETH/USDT:USDT,15m,2024-08-11 15:04,2024-08-11 15:24,익절,2600.349966,2586.6,2620.974915,False,False,2608.05,2609.0,2596.59,2597.86,12.409999999999854,0.30297872683320876,0.2734527489013421,0.6290949373983602,False,False,0.47724345423741527,0.9025476862997023,False,False
DOGE/USDT:USDT,15m,2024-08-11 19:14,2024-08-11 19:23,손절,0.1038107579999999,0.1033,0.1045768949999999,False,False,0.10405,0.10407,0.10374,0.10394,0.00032999999999999696,0.21441818181790182,0.1385352750224576,0.5075632687106992,False,False,0.31788612891160783,0.6460985437331568,False,False
