십분위,자,중앙값,거래,같은분익절,같은분손절,같은분익절%,같은분손절%,익절:손절
1,bar_range_pct,0.11010522125593461,634,0,0,0.0,0.0,inf
2,bar_range_pct,0.16672555493666968,634,0,0,0.0,0.0,inf
3,bar_range_pct,0.22020006386902058,633,0,0,0.0,0.0,inf
4,bar_range_pct,0.2731771849067336,634,0,0,0.0,0.0,inf
5,bar_range_pct,0.33168197721729253,633,0,0,0.0,0.0,inf
6,bar_range_pct,0.39871036823274425,634,0,0,0.0,0.0,inf
7,bar_range_pct,0.4892145444204922,633,4,2,0.631911532385466,0.315955766192733,2.0
8,bar_range_pct,0.6145271407478847,634,36,0,5.678233438485805,0.0,inf
9,bar_range_pct,0.8579808520880319,633,101,3,15.955766192733018,0.47393364928909953,33.666666666666664
10,bar_range_pct,1.641088755237341,634,326,2,51.419558359621455,0.31545741324921134,163.0
