symbol,timeframe,num_bars,num_zones,active_taps,break_bar_taps,break_bar_share
BTC/USDT:USDT,15m,205056,5998,11419,2165,0.15937868080094228
BTC/USDT:USDT,1h,51264,1508,2916,523,0.1520790927595231
BTC/USDT:USDT,2h,25632,727,1471,248,0.14426992437463643
BTC/USDT:USDT,4h,12816,363,658,110,0.14322916666666666
ETH/USDT:USDT,15m,205056,5992,11390,2216,0.16286932235778334
ETH/USDT:USDT,1h,51264,1470,2745,523,0.16003671970624234
ETH/USDT:USDT,2h,25632,722,1278,229,0.1519575315195753
ETH/USDT:USDT,4h,12816,366,626,117,0.15746971736204576
SOL/USDT:USDT,15m,205056,5928,11169,1800,0.13879250520471895
SOL/USDT:USDT,1h,51264,1460,2733,437,0.13785488958990536
SOL/USDT:USDT,2h,25632,716,1290,206,0.13770053475935828
SOL/USDT:USDT,4h,12816,349,604,99,0.14082503556187767
BNB/USDT:USDT,15m,205056,5958,10827,1992,0.15539433653171075
BNB/USDT:USDT,1h,51264,1415,2540,482,0.15949702183984116
BNB/USDT:USDT,2h,25632,710,1206,240,0.16597510373443983
BNB/USDT:USDT,4h,12816,365,594,102,0.14655172413793102
XRP/USDT:USDT,15m,205056,5734,10612,2207,0.1721663156252438
XRP/USDT:USDT,1h,51264,1445,2602,580,0.18227529855436833
XRP/USDT:USDT,2h,25632,680,1302,271,0.1722822631913541
XRP/USDT:USDT,4h,12816,394,645,163,0.20173267326732675
TRX/USDT:USDT,15m,205056,5658,9696,1871,0.1617532635947091
TRX/USDT:USDT,1h,51264,1386,2333,484,0.17181398651047214
TRX/USDT:USDT,2h,25632,709,1179,237,0.1673728813559322
TRX/USDT:USDT,4h,12816,375,580,116,0.16666666666666666
DOGE/USDT:USDT,15m,205056,5780,10755,2290,0.17554618627826754
DOGE/USDT:USDT,1h,51264,1421,2571,567,0.1806883365200765
DOGE/USDT:USDT,2h,25632,683,1263,258,0.16962524654832348
DOGE/USDT:USDT,4h,12816,359,673,126,0.15769712140175218
LINK/USDT:USDT,15m,205056,5905,11317,1737,0.13306266278535314
LINK/USDT:USDT,1h,51264,1453,2603,443,0.14543663821405123
LINK/USDT:USDT,2h,25632,705,1299,207,0.13745019920318724
LINK/USDT:USDT,4h,12816,373,623,120,0.16150740242261102
LTC/USDT:USDT,15m,205056,5832,11256,1973,0.1491420364351047
LTC/USDT:USDT,1h,51264,1438,2750,505,0.15514592933947774
LTC/USDT:USDT,2h,25632,710,1308,253,0.1620755925688661
LTC/USDT:USDT,4h,12816,356,618,117,0.15918367346938775
ADA/USDT:USDT,15m,205056,5854,11272,1814,0.13862142747974934
ADA/USDT:USDT,1h,51264,1428,2658,471,0.15052732502396932
ADA/USDT:USDT,2h,25632,714,1226,237,0.1619958988380041
ADA/USDT:USDT,4h,12816,365,633,113,0.15147453083109919
DOT/USDT:USDT,15m,205056,5752,11253,1734,0.13351813351813352
DOT/USDT:USDT,1h,51264,1425,2523,438,0.14792299898682879
DOT/USDT:USDT,2h,25632,716,1215,227,0.15742024965325938
DOT/USDT:USDT,4h,12816,377,648,108,0.14285714285714285
BCH/USDT:USDT,15m,205056,5918,10656,2246,0.17408153774608587
BCH/USDT:USDT,1h,51264,1471,2789,557,0.16646742378959953
BCH/USDT:USDT,2h,25632,710,1246,283,0.18508829300196206
BCH/USDT:USDT,4h,12816,380,693,151,0.17890995260663506
