symbol,timeframe,bucket,bucket_lo,bucket_hi,narrow,active_taps,break_bar_taps,break_bar_share
BTC/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,499,539,0.5192678227360308
BTC/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1430,612,0.2997061704211557
BTC/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2329,502,0.1773225008830802
BTC/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2710,314,0.10383597883597884
BTC/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2260,130,0.05439330543933055
BTC/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,2191,68,0.03010181496237273
BTC/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,113,98,0.46445497630331756
BTC/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,352,140,0.2845528455284553
BTC/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,591,154,0.20671140939597316
BTC/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,662,72,0.09809264305177112
BTC/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,587,44,0.06973058637083994
BTC/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,611,15,0.023961661341853034
BTC/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,31,42,0.5753424657534246
BTC/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,162,67,0.2925764192139738
BTC/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,280,62,0.18128654970760233
BTC/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,332,43,0.11466666666666667
BTC/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,332,23,0.0647887323943662
BTC/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,334,11,0.03188405797101449
BTC/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,17,15,0.46875
BTC/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,58,30,0.3409090909090909
BTC/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,134,29,0.17791411042944785
BTC/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,172,19,0.09947643979057591
BTC/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,167,15,0.08241758241758242
BTC/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,110,2,0.017857142857142856
ETH/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,453,527,0.5377551020408163
ETH/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1489,616,0.29263657957244654
ETH/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2411,534,0.18132427843803056
ETH/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2764,352,0.11296534017971759
ETH/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2196,136,0.058319039451114926
ETH/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,2077,51,0.023966165413533833
ETH/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,83,111,0.5721649484536082
ETH/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,322,151,0.3192389006342495
ETH/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,651,122,0.15782664941785252
ETH/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,694,90,0.11479591836734694
ETH/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,529,32,0.0570409982174688
ETH/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,466,17,0.035196687370600416
ETH/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,33,37,0.5285714285714286
ETH/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,161,63,0.28125
ETH/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,284,65,0.18624641833810887
ETH/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,305,36,0.10557184750733138
ETH/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,274,24,0.08053691275167785
ETH/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,221,4,0.017777777777777778
ETH/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,20,18,0.47368421052631576
ETH/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,81,32,0.2831858407079646
ETH/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,150,37,0.19786096256684493
ETH/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,173,22,0.11282051282051282
ETH/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,143,7,0.04666666666666667
ETH/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,59,1,0.016666666666666666
SOL/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,511,444,0.4649214659685864
SOL/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1635,547,0.2506874427131072
SOL/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2759,446,0.1391575663026521
SOL/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2840,237,0.07702307442313942
SOL/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,1942,96,0.047105004906771344
SOL/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1482,30,0.01984126984126984
SOL/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,130,102,0.4396551724137931
SOL/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,378,133,0.2602739726027397
SOL/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,644,108,0.14361702127659576
SOL/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,642,66,0.09322033898305085
SOL/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,561,21,0.03608247422680412
SOL/USDT:USDT,1h,"(2.60, ∞)",2.6,inf,False,378,7,0.01818181818181818
SOL/USDT:USDT,2h,"(0.00, 0.60]",0.0,0.6,True,59,47,0.44339622641509435
SOL/USDT:USDT,2h,"(0.60, 0.90]",0.6,0.9,True,176,49,0.21777777777777776
SOL/USDT:USDT,2h,"(0.90, 1.28]",0.9,1.28,True,325,65,0.16666666666666666
SOL/USDT:USDT,2h,"(1.28, 1.80]",1.28,1.8,False,314,28,0.08187134502923976
SOL/USDT:USDT,2h,"(1.80, 2.60]",1.8,2.6,False,208,13,0.058823529411764705
SOL/USDT:USDT,2h,"(2.60, ∞)",2.6,inf,False,208,4,0.018867924528301886
SOL/USDT:USDT,4h,"(0.00, 0.60]",0.0,0.6,True,20,16,0.4444444444444444
SOL/USDT:USDT,4h,"(0.60, 0.90]",0.6,0.9,True,82,39,0.32231404958677684
SOL/USDT:USDT,4h,"(0.90, 1.28]",0.9,1.28,True,150,21,0.12280701754385964
SOL/USDT:USDT,4h,"(1.28, 1.80]",1.28,1.8,False,125,17,0.11971830985915492
SOL/USDT:USDT,4h,"(1.80, 2.60]",1.8,2.6,False,119,4,0.032520325203252036
SOL/USDT:USDT,4h,"(2.60, ∞)",2.6,inf,False,108,2,0.01818181818181818
BNB/USDT:USDT,15m,"(0.00, 0.60]",0.0,0.6,True,533,521,0.49430740037950666
BNB/USDT:USDT,15m,"(0.60, 0.90]",0.6,0.9,True,1565,552,0.26074633915918755
BNB/USDT:USDT,15m,"(0.90, 1.28]",0.9,1.28,True,2460,500,0.16891891891891891
BNB/USDT:USDT,15m,"(1.28, 1.80]",1.28,1.8,False,2675,254,0.08671901672925914
BNB/USDT:USDT,15m,"(1.80, 2.60]",1.8,2.6,False,2096,119,0.053724604966139955
BNB/USDT:USDT,15m,"(2.60, ∞)",2.6,inf,False,1498,46,0.029792746113989636
BNB/USDT:USDT,1h,"(0.00, 0.60]",0.0,0.6,True,97,103,0.515
BNB/USDT:USDT,1h,"(0.60, 0.90]",0.6,0.9,True,271,147,0.35167464114832536
BNB/USDT:USDT,1h,"(0.90, 1.28]",0.9,1.28,True,561,120,0.1762114537444934
BNB/USDT:USDT,1h,"(1.28, 1.80]",1.28,1.8,False,693,67,0.0881578947368421
BNB/USDT:USDT,1h,"(1.80, 2.60]",1.8,2.6,False,490,35,0.06666666666666667
