level,adds,generation,bollinger,zone_width_atr,stop_guard,reentry,segment,num_cells,num_candidates,num_trades,win_rate,total_return,mean_net_r,net_r,profit_factor,max_drawdown,return_over_mdd,ruin,peak_concurrency,max_concurrent_risk,liquidation_events,reentry_trades
L2,＋ 존폭 필터 1.28,G2,True,1.28,0.0,False,full,48,39042,33113,0.4024099296348866,-0.9999999999984376,-0.3578019830874645,-11847.897065975212,0.9080500278918192,0.999999999998496,-0.9999999999999416,True,13,0.1308921969560766,0,0
L2,＋ 존폭 필터 1.28,G2,True,1.28,0.0,False,is,48,25398,21735,0.4091557395905222,-0.9999998293245148,-0.3217200325364459,-6992.584907179653,0.9080500367601778,0.999999840741935,-0.999999988582578,True,13,0.1308921969560766,0,0
L2,＋ 존폭 필터 1.28,G2,True,1.28,0.0,False,oos_warm,48,13643,11378,0.3895236421163649,-0.9999908448539016,-0.4267280856737228,-4855.3121587956175,0.7885725016410846,0.999991339150646,-0.9999995056989744,True,10,0.0982628122871961,0,0
L2,＋ 존폭 필터 1.28,G2,True,1.28,0.0,False,oos,48,13392,11165,0.3894312583967756,-0.9999875979978612,-0.4315427517688101,-4818.174823498764,0.7804987615922282,0.9999878077113544,-0.9999997902839496,True,10,0.0950366994544601,0,0
L3,＋ 손절폭 가드 0.3%,G2,True,1.28,0.003,False,full,48,39042,24380,0.4166529942575881,-0.9999999926134568,-0.1287978240127088,-3140.090949429841,0.92873710711363,0.9999999944642683,-0.9999999981491884,True,13,0.1308921969560766,0,0
L3,＋ 손절폭 가드 0.3%,G2,True,1.28,0.003,False,is,48,25398,16537,0.4205115800931245,-0.999980999463744,-0.1114353920536859,-1842.807078391804,0.928737879638821,0.9999859722339364,-0.9999950271600496,True,13,0.1308921969560766,0,0
L3,＋ 손절폭 가드 0.3%,G2,True,1.28,0.003,False,oos_warm,48,13643,7844,0.4085925548189699,-0.9996112455415432,-0.1652153742607889,-1295.949395701628,0.8339813817095767,0.9996349366766014,-0.9999763002130188,True,10,0.0981962203510388,0,0
L3,＋ 손절폭 가드 0.3%,G2,True,1.28,0.003,False,oos,48,13392,7642,0.4086626537555614,-0.999500359699206,-0.1663706237800637,-1271.404306927247,0.8300983648186734,0.999515682816573,-0.999984669457788,True,10,0.0950366994544601,0,0
L4,＋ 재진입 ON(band) = 오늘의 채택 기본값,G2,True,1.28,0.003,True,full,48,53785,30251,0.4075237182241909,-0.9999999999994214,-0.1503224487316115,-4547.404396579981,0.8786517914871665,0.9999999999994832,-0.9999999999999384,True,14,0.1436659843851068,0,6175
L4,＋ 재진입 ON(band) = 오늘의 채택 기본값,G2,True,1.28,0.003,True,is,48,35382,20738,0.4097309287298679,-0.999999977154855,-0.1367470042902056,-2835.8593749702845,0.8786517923289431,0.9999999795711202,-0.9999999975837348,True,14,0.1436659843851068,0,4380
L4,＋ 재진입 ON(band) = 오늘의 채택 기본값,G2,True,1.28,0.003,True,oos_warm,48,18402,9514,0.4027748581038469,-0.9999746780257376,-0.1797515766346367,-1710.1565001019342,0.8257346429723034,0.9999775596032764,-0.999997118357796,True,11,0.1043643400126011,0,1795
L4,＋ 재진입 ON(band) = 오늘의 채택 기본값,G2,True,1.28,0.003,True,oos,48,17946,9225,0.4009756097560976,-0.999973557751498,-0.1856515690694647,-1712.6357246658122,0.8199734235983327,0.9999745815304082,-0.9999989761950664,True,11,0.1043643400126011,0,1700
L1,＋ 볼린저 진입가 재산정,G1,True,,0.0,False,full,48,93872,53545,0.398505929591932,-1.0,-0.2929506999133991,-15686.045226862956,0.8589250639940396,1.0,-1.0,True,24,0.2332961221671519,0,0
L1,＋ 볼린저 진입가 재산정,G1,True,,0.0,False,is,48,63509,36211,0.4026676976609317,-0.9999999999999836,-0.2622346383815132,-9495.778490432976,0.8589250639940396,0.9999999999999868,-0.9999999999999968,True,24,0.2332961221671519,0,0
L1,＋ 볼린저 진입가 재산정,G1,True,,0.0,False,oos_warm,48,30362,17334,0.3898119303103727,-0.9999999911677916,-0.3571170379848932,-6190.26673643014,0.7879539283251955,0.9999999924656836,-0.999999998702108,True,16,0.1593095616456332,0,0
L1,＋ 볼린저 진입가 재산정,G1,True,,0.0,False,oos,48,29851,17082,0.3892401358154783,-0.9999999895100358,-0.3611465934067806,-6169.106108574627,0.7604760342904148,0.9999999907373044,-0.9999999987727312,True,16,0.1593095616456335,0,0
L0,존 단독(볼린저·필터·가드·재진입 전부 끔),G0,False,,0.0,False,full,48,113612,58571,0.39034675863481927,-0.9999999999999998,-0.19672123418382134,-11522.159407380599,0.8028315901511024,0.9999999999999998,-1.0,True,26,0.26957248008014545,0,0
L0,존 단독(볼린저·필터·가드·재진입 전부 끔),G0,False,,0.0,False,is,48,76001,39389,0.3921653253446394,-0.9999999999999998,-0.17722356326447322,-6980.658933424335,0.8028315901511024,0.9999999999999998,-1.0,True,26,0.26957248008014545,0,0
L0,존 단독(볼린저·필터·가드·재진입 전부 끔),G0,False,,0.0,False,oos_warm,48,37611,19184,0.3866763969974979,-0.9999999999515309,-0.23667344056375372,-4540.3432837750515,0.8190664368779842,0.9999999999646293,-0.9999999999869016,True,17,0.16419430480652358,0,0
L0,존 단독(볼린저·필터·가드·재진입 전부 끔),G0,False,,0.0,False,oos,48,37028,18955,0.38628330255869164,-0.999999999937314,-0.23898233342211078,-4529.91013001611,0.8026137954744141,0.9999999999549484,-0.9999999999823657,True,17,0.16419430480652358,0,0
