arm,segment,scope,timeframe,n,tp_on_tp,tp_on_tp_broke_share,tp_on_stop,tp_on_stop_broke_share,tp_on_stop_break_r_p25,tp_on_stop_break_r_median,tp_on_stop_break_r_p75,tp_on_stop_minutes_to_exit_median,tp_on_stop_bars_to_exit_median,no_tp_broke_share,no_tp_break_r_median,no_tp_break_mfe_r_median,closed,stop_cut,stop_saved_gross_mean,stop_saved_net_mean,tp_cut,tp_lost_gross_mean,tp_lost_net_mean,delta_gross_r,delta_net_r,bad_days_stop,bad_days_stop_broke_share
band,full,first,all,32999,14014,0.0540174111602683,18983,0.1107833324553548,-0.7215928405752756,-0.5212344360627119,-0.2301926079320799,45.0,,0.19858177520530926,-0.0705110330340374,1.8385960677795448,32997,2103,0.5588307108512386,0.5583277632114738,757,1.5576201567871464,1.6374777218534529,-0.00011811600350683866,-0.0019822210931095038,830,0.04939759036144578
band,full,first,15m,21858,9345,0.05093632958801498,12512,0.10789641943734016,-0.7221305932706552,-0.5206476021040235,-0.23126186616045843,25.0,1.6666666666666667,0.1946198188306341,-0.0830547758006332,1.8731776003889857,21857,1350,0.558991540367819,0.5584884479814889,476,1.5769242618693728,1.6739910135849672,0.0001840431370606286,-0.00196094238419885,391,0.043478260869565216
band,full,first,1h,6266,2620,0.06030534351145038,3646,0.11464618760285245,-0.7222420065639518,-0.5190621979279733,-0.2092743774293884,95.0,1.5833333333333333,0.2052345994254708,-0.039050691653633104,1.802628822003704,6266,418,0.5586844290313447,0.5581816130452161,158,1.5218961114507916,1.5813197635224436,-0.001105888010552663,-0.0026378245106360955,205,0.06341463414634146
band,full,first,2h,3235,1338,0.05904334828101644,1896,0.11972573839662447,-0.7160978388344228,-0.5291276652842145,-0.2767171340934077,181.0,1.5083333333333333,0.20680061823802165,-0.1128871525340902,1.6917699513217188,3234,227,0.5512071135531145,0.5507110271509166,79,1.6048046117110502,1.6468947778318235,-0.0005119200830599858,-0.0015749178371849127,143,0.055944055944055944
band,full,first,4h,1640,711,0.06188466947960619,929,0.116254036598493,-0.6998108549220894,-0.5266718123648786,-0.21100867289264685,355.5,1.48125,0.2097560975609756,-0.0020049498231209995,1.8287772941759153,1640,108,0.5734101788142684,0.5728941096533351,44,1.3923490932647518,1.427220520258163,0.00040545073676336106,-0.0005641091760969361,91,0.03296703296703297
band,full,first_fill,all,36233,15324,0.05442443226311668,20907,0.11058497154063232,-0.7205340470581933,-0.5208871261023995,-0.22943109150852442,47.0,,0.19824469406342285,-0.0686757291153466,1.83508346325681,36231,2312,0.5610759616935944,0.5605709933280726,834,1.547276040752435,1.6272575866896994,0.00018711615600064527,-0.0016861994072674108,922,0.049891540130151846
band,full,first_fill,15m,23999,10211,0.05161100773675448,13787,0.10742003336476391,-0.7222779831729708,-0.5212866005274137,-0.2308661236567687,26.0,1.7333333333333334,0.19404975207300304,-0.0831490642727361,1.862491627212028,23998,1481,0.5600980299595065,0.5595939417325442,527,1.567706001755905,1.6646159462711594,0.00013851651990445828,-0.0020207507283524894,429,0.04195804195804196
band,full,first_fill,1h,6908,2884,0.059639389736477116,4024,0.11605367793240556,-0.7208294836422852,-0.5198795806083267,-0.21194240106792625,99.0,1.65,0.2054140127388535,-0.02682081824905,1.799365906082895,6908,467,0.5602641065422889,0.5597598688464003,172,1.5032871088959963,1.562888755388448,0.0004455638426661198,-0.0010725256478784251,229,0.06986899563318777
band,full,first_fill,2h,3518,1449,0.060041407867494824,2068,0.11895551257253385,-0.7105265831958008,-0.5197804923653115,-0.2671010925050399,181.0,1.5083333333333333,0.20778851620238772,-0.1141172545759046,1.7570723082087691,3517,246,0.5575693851546535,0.557067572708014,87,1.6216617668722793,1.664797387982833,-0.0011152985413260005,-0.0022174438067486557,156,0.057692307692307696
band,full,first_fill,4h,1808,780,0.06153846153846154,1028,0.11478599221789883,-0.6877885626277682,-0.5158611920287984,-0.20793593537696925,376.5,1.56875,0.2079646017699115,0.010512729216999799,1.8287772941759153,1808,118,0.5838731742565306,0.5833476883996996,48,1.345774971128488,1.3797080194372604,0.0023782278474022093,0.0014430543684602122,108,0.027777777777777776
band,full,all,all,78494,31443,0.04579715675985116,47022,0.09508315256688359,-0.7575570321569028,-0.5611781830636191,-0.2886479652616035,44.0,,0.17814100440798022,-0.076266449438905,1.960150827115144,78465,4471,0.5231625977607807,0.5226917514227933,1440,1.5296452758591454,1.608205204477394,0.001737982251338572,0.00026941089866643503,1597,0.042579837194740136
band,full,all,15m,52420,21098,0.04408000758365722,31317,0.091324200913242,-0.7556843516086349,-0.5611142569704273,-0.2939441902701636,25.0,1.6666666666666667,0.17455169782525753,-0.0717184124987484,1.99501563220391,52415,2860,0.5234700608380116,0.5229989377832595,930,1.5299754978797975,1.6249168640651244,0.001416525059019397,-0.00029372739712760963,756,0.03835978835978836
band,full,all,1h,14817,5869,0.048389844948032036,8941,0.1015546359467621,-0.7697612156913862,-0.5692929014528572,-0.28552849561026755,94.0,1.5666666666666667,0.18411284335560504,-0.07022448832595121,1.9145479350117864,14810,908,0.5214506697572457,0.5209813641544648,284,1.5146942891535637,1.572587318607488,0.0029239723173509116,0.001785029045761478,411,0.05596107055961071
band,full,all,2h,7482,2952,0.05115176151761518,4519,0.10776720513387918,-0.7746917331096175,-0.5640757445715195,-0.3028991351244375,178.0,1.4833333333333334,0.18978882651697407,-0.1614154197093516,1.805258651805906,7471,487,0.507715440715928,0.5072584968192831,151,1.6608930127104757,1.69962505907154,-0.00047348752384217583,-0.0012861057380285994,255,0.047058823529411764
band,full,all,4h,3775,1524,0.04921259842519685,2245,0.09621380846325167,-0.729878843908464,-0.5346688276828622,-0.20614553877547412,357.0,1.4875,0.1814569536423841,0.0192067280372815,1.9122430174076448,3769,216,0.5611156149235681,0.5606106108701371,75,1.3179194822675067,1.351795046167296,0.005931815243679413,0.005228777788644842,175,0.022857142857142857
band,is,first,all,22725,9673,0.04497053654502223,13052,0.0978394115844315,-0.7156096071439274,-0.514155971115908,-0.2243291046395849,40.0,,0.18235423542354234,-0.0203496607192576,1.9739122870811743,22725,1277,0.5660648682564163,0.565555409874987,435,1.525489453297471,1.5991579567601688,0.00260844552603053,0.0011696610437705146,0,
band,is,first,15m,15125,6476,0.0426189005558987,8649,0.09746791536593825,-0.7140773679202554,-0.5026711874585571,-0.22663648470429043,26.0,1.7333333333333334,0.1807603305785124,-0.031564878374537,2.0075092369643035,15125,843,0.5738246087487495,0.5733081666008754,276,1.5538259997673052,1.6438510817402598,0.0036283087100442753,0.001956752785733965,0,
band,is,first,1h,4320,1816,0.048458149779735685,2504,0.09744408945686901,-0.7478041127351001,-0.5336205927362153,-0.21025669930962299,78.0,1.3,0.18518518518518517,0.05679522586133095,1.9671674027446429,4320,244,0.5504356767714804,0.5499402846623855,88,1.462691444556969,1.512959318315563,0.0012938560211175803,0.00024190033468808202,0,
band,is,first,2h,2185,903,0.05204872646733112,1282,0.09906396255850235,-0.6726275059786613,-0.5423574365613152,-0.3013638298714346,199.0,1.6583333333333334,0.18443935926773455,-0.0790291651728366,1.8514349257497695,2185,127,0.5346149279996689,0.5341337745644694,47,1.5681744312576684,1.608836453460795,-0.002658170440802045,-0.003560788989917503,0,
band,is,first,4h,1095,478,0.0502092050209205,617,0.10210696920583469,-0.6858196557708954,-0.4785314625698357,-0.17320384707211714,424.0,1.7666666666666666,0.18904109589041096,-0.0147965790589977,1.8358724170336345,1095,63,0.5861633428579293,0.5856357958493568,24,1.3462871191041763,1.382294971080628,0.004216803416940012,0.0033972382032642972,0,
band,is,first_fill,all,24857,10540,0.04516129032258064,14317,0.0970873786407767,-0.7152804064943524,-0.5148284259826152,-0.22561505946923358,43.0,,0.18175966528543266,-0.0220662969124473,1.975313736808999,24857,1390,0.5662518072568433,0.5657421806303137,476,1.5133059526468486,1.5867248193018626,0.002685616873601489,0.0012511814413826866,0,
band,is,first_fill,15m,16570,7054,0.04295435214062943,9516,0.09699453551912568,-0.714904055524794,-0.5044170063909547,-0.22880421568018738,27.0,1.8,0.18008449004224503,-0.0402239692187146,1.9857985329101906,16570,923,0.5725227139908733,0.5720074435482817,303,1.5470995791629518,1.6369630461240272,0.0036009229044780752,0.0019289720832518869,0,
