symbol,timeframe,arm,setups,adopted_candidates,entry_mismatches,exit_mismatches,cell_seconds
BTC/USDT:USDT,15m,band,5683,5683.0,0.0,0.0,2863.5
BTC/USDT:USDT,15m,zone_top,6438,,,,2863.5
BTC/USDT:USDT,1h,band,1407,1407.0,0.0,0.0,715.5
BTC/USDT:USDT,1h,zone_top,1626,1626.0,0.0,0.0,715.5
BTC/USDT:USDT,2h,band,763,763.0,0.0,0.0,539.3
BTC/USDT:USDT,2h,zone_top,897,897.0,0.0,0.0,539.3
BTC/USDT:USDT,4h,band,345,345.0,0.0,0.0,257.5
BTC/USDT:USDT,4h,zone_top,404,404.0,0.0,0.0,257.5
ETH/USDT:USDT,15m,band,5697,5697.0,0.0,0.0,2579.7
ETH/USDT:USDT,15m,zone_top,6476,,,,2579.7
ETH/USDT:USDT,1h,band,1431,1431.0,0.0,0.0,590.1
ETH/USDT:USDT,1h,zone_top,1618,1618.0,0.0,0.0,590.1
ETH/USDT:USDT,2h,band,660,660.0,0.0,0.0,284.8
ETH/USDT:USDT,2h,zone_top,762,762.0,0.0,0.0,284.8
ETH/USDT:USDT,4h,band,335,335.0,0.0,0.0,228.6
ETH/USDT:USDT,4h,zone_top,383,383.0,0.0,0.0,228.6
SOL/USDT:USDT,15m,band,5427,5427.0,0.0,0.0,2744.4
SOL/USDT:USDT,15m,zone_top,6250,,,,2744.4
SOL/USDT:USDT,1h,band,1323,1323.0,0.0,0.0,534.9
SOL/USDT:USDT,1h,zone_top,1536,1536.0,0.0,0.0,534.9
SOL/USDT:USDT,2h,band,605,605.0,0.0,0.0,269.2
SOL/USDT:USDT,2h,zone_top,703,703.0,0.0,0.0,269.2
SOL/USDT:USDT,4h,band,291,291.0,0.0,0.0,206.2
SOL/USDT:USDT,4h,zone_top,341,341.0,0.0,0.0,206.2
BNB/USDT:USDT,15m,band,5441,5441.0,0.0,0.0,2509.8
BNB/USDT:USDT,15m,zone_top,6146,,,,2509.8
BNB/USDT:USDT,1h,band,1330,1330.0,0.0,0.0,732.3
BNB/USDT:USDT,1h,zone_top,1528,1528.0,0.0,0.0,732.3
BNB/USDT:USDT,2h,band,612,612.0,0.0,0.0,439.0
BNB/USDT:USDT,2h,zone_top,715,715.0,0.0,0.0,439.0
BNB/USDT:USDT,4h,band,303,303.0,0.0,0.0,169.7
BNB/USDT:USDT,4h,zone_top,356,356.0,0.0,0.0,169.7
