arm,segment,scope,timeframe,width_bucket,guard_cut,n,open_share,mfe_r_pre_exit_median,cost_loss_r_median,reach_1r,breakeven_1r,ev_1r,reach_1_5r,breakeven_1_5r,ev_1_5r,reach_2r,breakeven_2r,ev_2r,reach_2_5r,breakeven_2_5r,ev_2_5r,reach_3r,breakeven_3r,ev_3r
band,full,first,all,0.00~0.30%,True,7653,0.004704037632301058,1.212749047163249,0.6124252635244654,0.5459297007709395,0.7587354362494981,-0.6115906240415329,0.4466222396445838,0.6377729829056763,-0.6303028590019203,0.37188030837580033,0.5500763024869681,-0.6663137162852345,0.3151705213641709,0.4835816326973994,-0.70713720781131,0.27675421403371225,0.4314293218875222,-0.7233985186833114
band,full,first,all,0.30~0.40%,False,3477,0.003738855335058959,1.188213874311701,0.3130657115168173,0.5510497555363819,0.5979128438215716,-0.10305167199569802,0.42824273799252227,0.4872186682903674,-0.15917706663745643,0.3572044866264021,0.41110840220935413,-0.1723725219210293,0.3011216566005177,0.3555643533044098,-0.20131550975483395,0.25855622663215416,0.3132427416175192,-0.2295579590403907
band,full,first,all,0.40~0.50%,False,3226,0.009299442033477991,1.1580819926163954,0.2436329912527613,0.5495970241785493,0.5775634014424267,-0.059971475383443544,0.4153750774953503,0.46882232400746476,-0.14160520938881302,0.3453192808431494,0.39454006852586776,-0.15499425824644866,0.2972721636701798,0.34057748512151337,-0.15796723769084656,0.25294482331060136,0.2996001556287677,-0.19352448414379664
band,full,first,all,0.50~0.75%,False,6934,0.008364580328814536,1.195637205985181,0.17781924333947807,0.5500432650706663,0.5580364252337221,-0.01681809178061769,0.4333717911739256,0.4513023669132034,-0.04678094118995289,0.3557830977790597,0.3788422707718083,-0.07155743629723745,0.301845976348428,0.32643120793531777,-0.08860290478531095,0.2659359676954139,0.2867593834702367,-0.08542214773860192
band,full,first,all,0.75~1.00%,False,4905,0.00835881753312946,1.1584984389549122,0.12650541346973554,0.5433231396534148,0.5416996460682378,0.003384921641855411,0.42813455657492355,0.43674362379982024,-0.02217046828798849,0.35575942915392456,0.3658575622532922,-0.03109036939050898,0.30417940876656474,0.3147687421472437,-0.03788372679139326,0.26850152905198776,0.27619984138938003,-0.03140353598436345
band,full,first,all,1.00~1.50%,False,5793,0.01156568272052477,1.0798595543823724,0.090389743870131,0.5202831002934576,0.5301030939654559,-0.020179304469988908,0.41446573450716384,0.4264633971890913,-0.030675170636448333,0.34403590540307266,0.35672132230227543,-0.038791988320925015,0.29345762126704644,0.30658385592237325,-0.04654431046964635,0.25599861902295873,0.26880333305664683,-0.05161003448835731
band,full,first,all,≥1.50%,False,8664,0.014773776546629732,1.1118917258152456,0.04650394113923838,0.5264312096029548,0.515411627862285,0.022317209285571474,0.4246306555863343,0.4135036637120883,0.028218345447780586,0.3493767313019391,0.34524191229063905,0.01281295140018518,0.29893813481071096,0.29632429210298605,0.010167227629664778,0.2592336103416436,0.25954862646748,-0.00023510006341992564
band,full,first,15m,0.00~0.30%,True,6768,0.003693853427895981,1.2143201523258726,0.6064916921953217,0.5480200945626478,0.7561304366332836,-0.5920551973528926,0.4462174940898345,0.635258656565185,-0.6175219056117598,0.3693853427895981,0.5477048931191714,-0.6610629767487093,0.3114657210401891,0.48136178206743074,-0.7077991548265496,0.2733451536643026,0.4293543853381115,-0.7247898896892753
band,full,first,15m,0.30~0.40%,False,3108,0.0028957528957528956,1.1651375363430985,0.31301934302726453,0.5463320463320464,0.5979188748792442,-0.11341864966033056,0.425997425997426,0.48722414160500976,-0.16520194193301188,0.3552123552123552,0.41111334472054883,-0.1786895567609165,0.3001930501930502,0.35556883267515954,-0.20465754783120935,0.25933075933075933,0.3132468251847845,-0.22625002629124796
band,full,first,15m,0.40~0.50%,False,2836,0.008110014104372355,1.1401264468700627,0.24376992573503298,0.5454866008462623,0.5775830145628964,-0.06884391046625989,0.4090267983074753,0.46883998641516583,-0.15849972576027044,0.3381523272214386,0.39455593384130516,-0.17763903471867748,0.2912552891396333,0.34059180846885334,-0.17998952427149514,0.25,0.2996131751268743,-0.20579943522064242
