scope,symbol,timeframe,segment,straight_base,shortcut_base,straight_reentry,shortcut_reentry,base_identical,reentry_identical,width_identical
4h+2h,BTC/USDT:USDT,4h,full,100,100,55,55,True,True,True
4h+2h,BTC/USDT:USDT,4h,is,65,65,42,42,True,True,True
4h+2h,BTC/USDT:USDT,4h,oos,35,35,13,13,True,True,True
4h+2h,BTC/USDT:USDT,2h,full,248,248,111,111,True,True,True
4h+2h,BTC/USDT:USDT,2h,is,166,166,74,74,True,True,True
4h+2h,BTC/USDT:USDT,2h,oos,82,82,37,37,True,True,True
4h+2h,ETH/USDT:USDT,4h,full,149,149,65,65,True,True,True
4h+2h,ETH/USDT:USDT,4h,is,95,95,40,40,True,True,True
4h+2h,ETH/USDT:USDT,4h,oos,47,47,23,23,True,True,True
4h+2h,ETH/USDT:USDT,2h,full,275,275,116,116,True,True,True
4h+2h,ETH/USDT:USDT,2h,is,172,172,69,69,True,True,True
4h+2h,ETH/USDT:USDT,2h,oos,94,94,42,42,True,True,True
4h+2h,SOL/USDT:USDT,4h,full,124,124,54,54,True,True,True
4h+2h,SOL/USDT:USDT,4h,is,65,65,26,26,True,True,True
4h+2h,SOL/USDT:USDT,4h,oos,51,51,20,20,True,True,True
4h+2h,SOL/USDT:USDT,2h,full,262,262,139,139,True,True,True
4h+2h,SOL/USDT:USDT,2h,is,165,165,78,78,True,True,True
4h+2h,SOL/USDT:USDT,2h,oos,89,89,52,52,True,True,True
4h+2h,BNB/USDT:USDT,4h,full,125,125,57,57,True,True,True
4h+2h,BNB/USDT:USDT,4h,is,81,81,40,40,True,True,True
4h+2h,BNB/USDT:USDT,4h,oos,43,43,14,14,True,True,True
4h+2h,BNB/USDT:USDT,2h,full,234,234,86,86,True,True,True
4h+2h,BNB/USDT:USDT,2h,is,146,146,62,62,True,True,True
4h+2h,BNB/USDT:USDT,2h,oos,88,88,24,24,True,True,True
4h+2h,XRP/USDT:USDT,4h,full,144,144,46,46,True,True,True
4h+2h,XRP/USDT:USDT,4h,is,92,92,31,31,True,True,True
4h+2h,XRP/USDT:USDT,4h,oos,52,52,15,15,True,True,True
4h+2h,XRP/USDT:USDT,2h,full,218,218,98,98,True,True,True
4h+2h,XRP/USDT:USDT,2h,is,147,147,66,66,True,True,True
4h+2h,XRP/USDT:USDT,2h,oos,70,70,31,31,True,True,True
4h+2h,TRX/USDT:USDT,4h,full,141,141,61,61,True,True,True
4h+2h,TRX/USDT:USDT,4h,is,93,93,46,46,True,True,True
4h+2h,TRX/USDT:USDT,4h,oos,48,48,15,15,True,True,True
4h+2h,TRX/USDT:USDT,2h,full,260,260,107,107,True,True,True
4h+2h,TRX/USDT:USDT,2h,is,172,172,72,72,True,True,True
4h+2h,TRX/USDT:USDT,2h,oos,88,88,35,35,True,True,True
4h+2h,DOGE/USDT:USDT,4h,full,122,122,69,69,True,True,True
4h+2h,DOGE/USDT:USDT,4h,is,74,74,40,40,True,True,True
4h+2h,DOGE/USDT:USDT,4h,oos,42,42,15,15,True,True,True
4h+2h,DOGE/USDT:USDT,2h,full,238,238,124,124,True,True,True
4h+2h,DOGE/USDT:USDT,2h,is,137,137,80,80,True,True,True
4h+2h,DOGE/USDT:USDT,2h,oos,95,95,32,32,True,True,True
4h+2h,LINK/USDT:USDT,4h,full,136,136,49,49,True,True,True
4h+2h,LINK/USDT:USDT,4h,is,92,92,32,32,True,True,True
4h+2h,LINK/USDT:USDT,4h,oos,43,43,17,17,True,True,True
4h+2h,LINK/USDT:USDT,2h,full,248,248,105,105,True,True,True
4h+2h,LINK/USDT:USDT,2h,is,165,165,75,75,True,True,True
4h+2h,LINK/USDT:USDT,2h,oos,81,81,28,28,True,True,True
4h+2h,LTC/USDT:USDT,4h,full,130,130,53,53,True,True,True
