scope,level,segment,num_cells,num_candidates,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events
4h+2h,straight,full,24,4563,4563,0.4093797939951786,-0.8927274759679407,-0.0397482185425177,0.9307765711612398,10,0
4h+2h,straight,is,24,2986,2986,0.4162759544541192,-0.5653704154837749,-0.0167290462709001,0.6999536789352861,10,0
4h+2h,straight,oos_warm,24,1577,1577,0.3963221306277742,-0.7531863272688606,-0.0833342986966393,0.8113735663175025,10,0
4h+2h,straight,oos,24,1482,1482,0.3893387314439946,-0.7877426849648947,-0.1028537265444996,0.8133540378147628,9,0
4h+2h,shortcut,full,24,4563,4563,0.4093797939951786,-0.8927274759679407,-0.0397482185425177,0.9307765711612398,10,0
4h+2h,shortcut,is,24,2986,2986,0.4162759544541192,-0.5653704154837749,-0.0167290462709001,0.6999536789352861,10,0
4h+2h,shortcut,oos_warm,24,1577,1577,0.3963221306277742,-0.7531863272688606,-0.0833342986966393,0.8113735663175025,10,0
4h+2h,shortcut,oos,24,1482,1482,0.3893387314439946,-0.7877426849648947,-0.1028537265444996,0.8133540378147628,9,0
15m+1h+2h+4h,straight,full,16,9233,9233,0.4203400844795841,-0.9712019504628513,-0.0785429942739507,0.9752872718292279,8,0
15m+1h+2h+4h,straight,is,16,6374,6374,0.4198305616567305,-0.917504334702201,-0.07290613722961493,0.9264074986724153,8,0
15m+1h+2h+4h,straight,oos_warm,16,2859,2859,0.42147604057362714,-0.6509143912811455,-0.09111009004190977,0.7602160066687407,7,0
15m+1h+2h+4h,straight,oos,16,2717,2717,0.4188443135811557,-0.6821597794188281,-0.10035118435940515,0.7819770274502749,7,0
15m+1h+2h+4h,shortcut,full,16,9233,9233,0.4203400844795841,-0.9712019504628513,-0.0785429942739507,0.9752872718292279,8,0
15m+1h+2h+4h,shortcut,is,16,6374,6374,0.4198305616567305,-0.917504334702201,-0.07290613722961493,0.9264074986724153,8,0
15m+1h+2h+4h,shortcut,oos_warm,16,2859,2859,0.42147604057362714,-0.6509143912811455,-0.09111009004190977,0.7602160066687407,7,0
15m+1h+2h+4h,shortcut,oos,16,2717,2717,0.4188443135811557,-0.6821597794188281,-0.10035118435940515,0.7819770274502749,7,0
