arm,symbol,timeframe,width_label,width_threshold,guard,total_taps,surviving_taps,survival_share,adopted_point,below_sample_gate
proximal,BTC/USDT:USDT,15m,off,,0.0,6865,6865,1.0,False,False
proximal,BTC/USDT:USDT,15m,off,,0.002,6865,6206,0.9040058266569556,False,False
proximal,BTC/USDT:USDT,15m,off,,0.0025,6865,5798,0.8445739257101238,False,False
proximal,BTC/USDT:USDT,15m,off,,0.003,6865,5410,0.7880553532410779,False,False
proximal,BTC/USDT:USDT,15m,off,,0.004,6865,4437,0.6463219227967953,False,False
proximal,BTC/USDT:USDT,15m,off,,0.005,6865,3554,0.5176984705025491,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.0,6865,5741,0.8362709395484341,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.002,6865,5084,0.7405680990531682,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.0025,6865,4688,0.682884195193008,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.003,6865,4308,0.6275309541150764,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.004,6865,3380,0.4923525127458121,False,False
proximal,BTC/USDT:USDT,15m,2.60,2.6,0.005,6865,2548,0.37115804806991987,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.0,6865,4515,0.6576839038601602,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.002,6865,3880,0.5651857246904588,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.0025,6865,3512,0.5115804806991988,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.003,6865,3155,0.45957756737072103,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.004,6865,2334,0.33998543335761106,False,False
proximal,BTC/USDT:USDT,15m,1.80,1.8,0.005,6865,1665,0.2425345957756737,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.0,6865,3885,0.5659140568099054,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.002,6865,3267,0.47589220684632194,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.0025,6865,2921,0.42549162418062636,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.003,6865,2592,0.3775673707210488,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.004,6865,1839,0.2678805535324108,False,False
proximal,BTC/USDT:USDT,15m,1.55,1.55,0.005,6865,1259,0.18339402767662055,False,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.0,6865,2955,0.4304442825928623,False,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.002,6865,2374,0.34581209031318283,False,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.0025,6865,2069,0.30138383102694827,False,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.003,6865,1782,0.2595775673707211,True,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.004,6865,1161,0.16911871813546978,False,False
proximal,BTC/USDT:USDT,15m,1.28,1.28,0.005,6865,745,0.10852148579752367,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.0,6865,2497,0.3637290604515659,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.002,6865,1956,0.2849235251274581,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.0025,6865,1675,0.24399126001456664,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.003,6865,1410,0.20538965768390385,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.004,6865,872,0.12702112163146395,False,False
proximal,BTC/USDT:USDT,15m,1.15,1.15,0.005,6865,544,0.07924253459577567,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.0,6865,1943,0.2830298616168973,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.002,6865,1452,0.21150764748725417,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.0025,6865,1211,0.17640203932993445,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.003,6865,1001,0.14581209031318282,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.004,6865,571,0.0831755280407866,False,False
proximal,BTC/USDT:USDT,15m,1.00,1.0,0.005,6865,336,0.048943918426802624,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.0,6865,1579,0.23000728332119447,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.002,6865,1133,0.16504005826656956,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.0025,6865,921,0.13415877640203933,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.003,6865,750,0.10924981791697014,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.004,6865,401,0.0584122359796067,False,False
proximal,BTC/USDT:USDT,15m,0.90,0.9,0.005,6865,232,0.033794610342316095,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.0,6865,1191,0.1734887108521486,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.002,6865,803,0.11697013838310269,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.0025,6865,637,0.09278951201747997,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.003,6865,507,0.07385287691187181,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.004,6865,268,0.039038601602330664,False,False
proximal,BTC/USDT:USDT,15m,0.80,0.8,0.005,6865,156,0.02272396212672979,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.0,6865,551,0.08026219956300072,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.002,6865,313,0.04559359067734887,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.0025,6865,237,0.03452294246176257,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.003,6865,186,0.027093954843408593,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.004,6865,105,0.01529497450837582,False,False
proximal,BTC/USDT:USDT,15m,0.60,0.6,0.005,6865,59,0.008594319009468318,False,False
mid,BTC/USDT:USDT,15m,off,,0.0,6865,6865,1.0,False,False
mid,BTC/USDT:USDT,15m,off,,0.002,6865,4654,0.677931536780772,False,False
mid,BTC/USDT:USDT,15m,off,,0.0025,6865,3733,0.5437727603787327,False,False
mid,BTC/USDT:USDT,15m,off,,0.003,6865,2996,0.4364166059723234,False,False
mid,BTC/USDT:USDT,15m,off,,0.004,6865,1958,0.2852148579752367,False,False
mid,BTC/USDT:USDT,15m,off,,0.005,6865,1347,0.19621267297887837,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.0,6865,5741,0.8362709395484341,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.002,6865,3583,0.5219227967953387,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.0025,6865,2721,0.39635833940276766,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.003,6865,2037,0.2967225054624909,False,False
mid,BTC/USDT:USDT,15m,2.60,2.6,0.004,6865,1182,0.17217771303714494,False,False
