scope,arm,width_label,width_threshold,guard,reentry,segment,num_cells,num_symbols,num_trades,win_rate,total_return,mean_net_r,max_drawdown,peak_concurrency,liquidation_events,symbols_below_gate,min_symbol_trades,adopted_point,exclude
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,34464,0.4077878365831012,-0.9999999999527696,-0.1019705274848225,0.9999999999641932,15,0,0,2213,False,-ADA
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,oos_warm,44,11,10605,0.4046204620462046,-0.9998534197006516,-0.1230507012281349,0.9998914857700484,13,0,0,439,False,-ADA
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,34509,0.4080964386102176,-0.9999999999730248,-0.1011131595124545,0.9999999999799504,16,0,0,2207,False,-BCH
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,oos_warm,44,11,10563,0.4003597462841995,-0.999937074151281,-0.1337245585280651,0.999952688565213,12,0,0,431,False,-BCH
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,35029,0.4068057894887094,-0.9999999999899168,-0.1034656834094199,0.9999999999924256,17,0,0,2216,False,-BNB
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,oos_warm,44,11,10895,0.4040385497934832,-0.999894062737496,-0.1224974245003377,0.9999219896771744,12,0,0,439,False,-BNB
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,35266,0.4057165541881699,-0.9999999999924056,-0.1051260783909637,0.999999999993659,17,0,0,2219,False,-BTC
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,oos_warm,44,11,10941,0.401151631477927,-0.9999178193387996,-0.1291418441674658,0.9999335917100226,12,0,0,441,False,-BTC
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,34436,0.4061737716343361,-0.99999999998886,-0.1064522641233257,0.9999999999910976,16,0,0,2221,False,-DOGE
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,oos_warm,44,11,10498,0.4029338921699371,-0.9998596612456602,-0.127665037952037,0.9998898496669928,12,0,0,443,False,-DOGE
15m+1h+2h+4h,bollinger,1.55,1.55,0.003,True,full,44,11,34367,0.4074839235312945,-0.9999999999673966,-0.1034935028736969,0.9999999999721556,16,0,0,2211,False,-DOT
