segment,axis,bucket,arm,num_trades,triggered,reach_rate,same_minute,median_rise_pct,median_stop_multiple,no_rise_share,missed_trades,missed_win_rate,missed_mean_net_r,window_closed_share
full,overall,전체,1_봉마감,49432,24299,0.49156416895937854,179,0.005784001102193513,1.598429402143751,,25133,0.14463056539211394,-0.7813031175630335,0.9997774720828613
full,overall,전체,2_교차,49432,31390,0.6350137562712413,2091,0.0039940727061777755,1.4360149178386763,0.24240203886588085,18042,0.12365591397849462,-0.8340672219123243,0.9997774720828613
full,overall,전체,C_고정오프셋,49432,28635,0.5792806279333226,8676,0.010259806091708956,1.9374824229668837,,20797,0.08058854642496514,-0.9646108669399978,0.9997774720828613
full,timeframe,15m,1_봉마감,34147,17164,0.5026503060298123,164,0.004677157319211818,1.5890066473254336,,16983,0.13590060648884178,-0.826775334447969,0.9997364336544938
full,timeframe,15m,2_교차,34147,22175,0.6493981901777609,1621,0.003258375319819214,1.4289140240377678,0.23720405862457722,11972,0.11451720681590377,-0.8817563061231996,0.9997364336544938
full,timeframe,15m,C_고정오프셋,34147,17720,0.518932849152195,5757,0.010259806091708956,2.2129273185751943,,16427,0.09021732513544774,-0.9526574235852965,0.9997364336544938
full,timeframe,1h,1_봉마감,8908,4244,0.4764256847777279,9,0.009106865327752527,1.6170186807890428,,4664,0.1509433962264151,-0.7325204024333047,0.9998877413560844
full,timeframe,1h,2_교차,8908,5453,0.6121463852716659,298,0.00618155773637278,1.4632888506939528,0.2490372272143774,3455,0.1287988422575977,-0.7882046420103382,0.9998877413560844
full,timeframe,1h,C_고정오프셋,8908,5975,0.6707453973955995,1667,0.010259806091708958,1.6842869574541264,,2933,0.04602795772246846,-1.0169397949403032,0.9998877413560844
full,timeframe,2h,1_봉마감,4320,1989,0.46041666666666664,6,0.012800928555170732,1.6082453694483174,,2331,0.1758901758901759,-0.6396010013184392,0.9997685185185186
full,timeframe,2h,2_교차,4320,2584,0.5981481481481481,120,0.008667016728909469,1.4408539863293215,0.25890092879256965,1736,0.15380184331797234,-0.6960811295211277,0.9997685185185186
full,timeframe,2h,C_고정오프셋,4320,3261,0.7548611111111111,850,0.010259806091708958,1.4645733687917937,,1059,0.047214353163361665,-0.9848768832680453,0.9997685185185186
full,timeframe,4h,1_봉마감,2057,902,0.4385026737967914,0,0.01953412477466506,1.6538224101564438,,1155,0.18441558441558442,-0.5956542491425515,1.0
full,timeframe,4h,2_교차,2057,1178,0.5726786582401555,52,0.013737650179903086,1.456876764105251,0.2733446519524618,879,0.16837315130830488,-0.6373270100578073,1.0
full,timeframe,4h,C_고정오프셋,2057,1679,0.8162372386971317,402,0.01025980609170896,1.3471997905845108,,378,0.023809523809523808,-1.021268953901315,1.0
is,overall,전체,1_봉마감,34589,16710,0.48310156408106625,120,0.006330503146745716,1.617184276444233,,17879,0.15140667822585155,-0.7568423418376111,0.9999132672236838
is,overall,전체,2_교차,34589,21535,0.6225967793229061,1526,0.00452928691634087,1.4601066478198519,0.23765962386812167,13054,0.13237321893672438,-0.8045428102872999,0.9999132672236838
is,overall,전체,C_고정오프셋,34589,20892,0.604007054265807,6571,0.010259806091708956,1.87497160447108,,13697,0.0761480616193327,-0.9708031999607986,0.9999132672236838
is,timeframe,15m,1_봉마감,23946,11830,0.494028230184582,108,0.005132084332135576,1.6078349200793556,,12116,0.14212611422911853,-0.8030929197543699,0.9998747181157605
is,timeframe,15m,2_교차,23946,15242,0.6365154931930176,1162,0.0036482326811304437,1.450085604796402,0.23126886235402178,8704,0.12293198529411764,-0.8524576077025641,0.9998747181157605
is,timeframe,15m,C_고정오프셋,23946,13016,0.5435563350872797,4385,0.010259806091708956,2.1313928688520876,,10930,0.08508691674290943,-0.9600260239005888,0.9998747181157605
is,timeframe,1h,1_봉마감,6270,2916,0.46507177033492825,8,0.010233983969840635,1.6582571736485647,,3354,0.15980918306499703,-0.7025634887972056,1.0
is,timeframe,1h,2_교차,6270,3742,0.5968102073365231,235,0.007106228620935311,1.498073212252795,0.2426509887760556,2528,0.13844936708860758,-0.7558452804840523,1.0
is,timeframe,1h,C_고정오프셋,6270,4364,0.6960127591706539,1284,0.010259806091708958,1.6343707246105594,,1906,0.046169989506820566,-1.011341876841569,1.0
is,timeframe,2h,1_봉마감,2970,1344,0.45252525252525255,4,0.0148518442744,1.614105820453228,,1626,0.1795817958179582,-0.6236105207606534,1.0
is,timeframe,2h,2_교차,2970,1751,0.5895622895622895,86,0.009947503748608495,1.4642975567126273,0.2581382067390063,1219,0.15914684167350288,-0.6746122113492129,1.0
is,timeframe,2h,C_고정오프셋,2970,2324,0.7824915824915825,618,0.01025980609170896,1.4325297843867995,,646,0.030959752321981424,-1.0179666253234674,1.0
is,timeframe,4h,1_봉마감,1403,620,0.4419101924447612,0,0.02255009877794359,1.687436578637472,,783,0.20051085568326948,-0.5503470827433653,1.0
is,timeframe,4h,2_교차,1403,800,0.5702066999287242,43,0.016118406949993457,1.480073161483518,0.29125,603,0.1890547263681592,-0.5797374350728384,1.0
is,timeframe,4h,C_고정오프셋,1403,1188,0.8467569493941554,284,0.01025980609170896,1.3153304891927748,,215,0.023255813953488372,-1.0175950298168919,1.0
oos_warm,overall,전체,1_봉마감,14843,7589,0.5112847807047093,59,0.004671183163786542,1.5547390837659827,,7254,0.1279294182519989,-0.8415918147225077,0.9992589099238698
