symbol,timeframe,num_bars,split_zones,split_first_taps,split_all_taps,split_retaps,split_retap_share,merged_zones,merged_first_taps,merged_all_taps,merged_retaps,merged_retap_share,bite_rate,bite_taps,cluster_members_p50,cluster_members_p90,cluster_members_max,width_mult_p50,width_mult_p90,all_tap_change,first_tap_change,retap_change
BTC/USDT:USDT,15m,205056,5998,5894,13584,7690,0.5661071849234394,5895,5895,11857,5962,0.502825335245003,0.21253268111663995,2520,1.0,2.0,6,1.7240611961057104,2.913933797490114,-0.1271348645465253,0.00016966406515100103,-0.2247074122236671
BTC/USDT:USDT,1h,51264,1508,1451,3439,1988,0.5780750218086653,1451,1451,2970,1519,0.5114478114478115,0.21077441077441078,626,1.0,2.0,5,1.6706491810749782,2.9329062110695854,-0.1363768537365513,0.0,-0.23591549295774647
BTC/USDT:USDT,2h,25632,727,694,1719,1025,0.5962769051774287,695,695,1515,820,0.5412541254125413,0.22442244224422442,340,1.0,2.0,5,1.655078222001491,2.3575909661229613,-0.11867364746945899,0.001440922190201729,-0.2
BTC/USDT:USDT,4h,12816,363,336,768,432,0.5625,336,336,690,354,0.5130434782608696,0.18840579710144928,130,1.0,2.0,3,1.5590373159047186,2.1724380455918197,-0.1015625,0.0,-0.18055555555555555
ETH/USDT:USDT,15m,205056,5992,5908,13606,7698,0.5657798030280758,5901,5901,11906,6005,0.5043675457752393,0.20712245926423653,2466,1.0,2.0,8,1.7286844418400409,2.8208998548621294,-0.12494487726003234,-0.001184834123222749,-0.2199272538321642
ETH/USDT:USDT,1h,51264,1470,1422,3268,1846,0.5648714810281518,1422,1422,2902,1480,0.5099931082012406,0.17436250861474845,506,1.0,2.0,5,1.6407837826795026,2.4012422360248635,-0.11199510403916768,0.0,-0.19826652221018418
ETH/USDT:USDT,2h,25632,722,690,1507,817,0.542136695421367,689,689,1354,665,0.4911373707533235,0.16100443131462333,218,1.0,2.0,4,1.6579533555211194,1.984073478237962,-0.10152621101526212,-0.0014492753623188406,-0.18604651162790697
ETH/USDT:USDT,4h,12816,366,347,743,396,0.5329744279946165,347,347,659,312,0.47344461305007585,0.17298937784522003,114,1.0,2.0,4,1.5714775070939624,2.433122385498231,-0.11305518169582772,0.0,-0.21212121212121213
SOL/USDT:USDT,15m,205056,5928,5819,12969,7150,0.5513146734520781,5819,5819,11463,5644,0.49236674518014484,0.1879089243653494,2154,1.0,2.0,5,1.6643835616438383,2.21138211382117,-0.11612306268794818,0.0,-0.21062937062937062
SOL/USDT:USDT,1h,51264,1460,1402,3170,1768,0.5577287066246057,1402,1402,2811,1409,0.5012451085023123,0.18605478477410176,523,1.0,2.0,5,1.6916299559471304,2.5325884543761674,-0.11324921135646687,0.0,-0.20305429864253394
SOL/USDT:USDT,2h,25632,716,679,1496,817,0.5461229946524064,679,679,1340,661,0.49328358208955225,0.1783582089552239,239,1.0,2.0,5,1.7551401869158836,2.6646341463414647,-0.10427807486631016,0.0,-0.1909424724602203
SOL/USDT:USDT,4h,12816,349,325,703,378,0.5376955903271693,325,325,642,317,0.4937694704049844,0.1806853582554517,116,1.0,2.0,3,1.686320291112721,2.0425159022970267,-0.08677098150782361,0.0,-0.16137566137566137
BNB/USDT:USDT,15m,205056,5958,5858,12819,6961,0.5430220766050394,5859,5859,11434,5575,0.48758089907294033,0.18777330767885256,2147,1.0,2.0,7,1.7223340040241382,2.9111111111111283,-0.10804274904438724,0.0001707067258449983,-0.19910932337307857
BNB/USDT:USDT,1h,51264,1415,1371,3022,1651,0.5463269358041033,1372,1372,2706,1334,0.49297856614929786,0.17812269031781228,482,1.0,2.0,6,1.6249201978271857,2.470909090909076,-0.10456651224354732,0.0007293946024799417,-0.19200484554815264
BNB/USDT:USDT,2h,25632,710,675,1446,771,0.533195020746888,675,675,1307,632,0.48355011476664117,0.1384850803366488,181,1.0,2.0,4,1.6332254584681736,2.470909090909076,-0.09612724757952974,0.0,-0.18028534370946822
BNB/USDT:USDT,4h,12816,365,344,696,352,0.5057471264367817,344,344,633,289,0.4565560821484992,0.15481832543443919,98,1.0,2.0,5,1.6885258475226228,2.6784214945424014,-0.09051724137931035,0.0,-0.17897727272727273
XRP/USDT:USDT,15m,205056,5734,5664,12819,7155,0.5581558623917622,5657,5657,11412,5755,0.5042937259025587,0.17875920084121977,2040,1.0,2.0,6,1.70466883821933,2.5197201865422927,-0.10975895155628364,-0.0012358757062146894,-0.19566736547868624
XRP/USDT:USDT,1h,51264,1445,1412,3182,1770,0.5562539283469516,1411,1411,2825,1414,0.5005309734513275,0.19539823008849558,552,1.0,2.0,4,1.6872037914691964,2.719528190930694,-0.11219358893777498,-0.000708215297450425,-0.20112994350282487
XRP/USDT:USDT,2h,25632,680,658,1573,915,0.5816910362364908,658,658,1369,711,0.5193571950328707,0.22132943754565376,303,1.0,2.0,4,1.6464646464646462,2.464968456136182,-0.12968849332485696,0.0,-0.22295081967213115
XRP/USDT:USDT,4h,12816,394,376,808,432,0.5346534653465347,376,376,715,339,0.47412587412587415,0.2041958041958042,146,1.0,2.0,4,1.6221033868092696,2.4899633153731493,-0.1150990099009901,0.0,-0.2152777777777778
TRX/USDT:USDT,15m,205056,5658,5542,11567,6025,0.5208783608541541,5541,5541,10382,4841,0.4662878058177615,0.15729146599884417,1633,1.0,2.0,6,1.645569620253161,2.3095238095239385,-0.10244661537131494,-0.00018044027426921688,-0.19651452282157678
TRX/USDT:USDT,1h,51264,1386,1329,2817,1488,0.5282215122470714,1329,1329,2512,1183,0.47093949044585987,0.17038216560509553,428,1.0,2.0,4,1.6615384615384707,2.223759608665268,-0.10827121050763223,0.0,-0.2049731182795699
TRX/USDT:USDT,2h,25632,709,666,1416,750,0.5296610169491526,665,665,1280,615,0.48046875,0.1578125,202,1.0,2.0,4,1.6623662712015073,2.2708810068650047,-0.096045197740113,-0.0015015015015015015,-0.18
TRX/USDT:USDT,4h,12816,375,339,696,357,0.5129310344827587,338,338,621,283,0.4557165861513688,0.1497584541062802,93,1.0,2.0,5,1.6983240223463667,3.5645161290322642,-0.10775862068965517,-0.0029498525073746312,-0.20728291316526612
DOGE/USDT:USDT,15m,205056,5780,5687,13045,7358,0.5640475277884247,5687,5687,11568,5881,0.5083852005532503,0.1849066390041494,2139,1.0,2.0,6,1.7053824362606218,2.6553752535497033,-0.11322345726331928,0.0,-0.20073389508018483
DOGE/USDT:USDT,1h,51264,1421,1376,3138,1762,0.5615041427660931,1377,1377,2785,1408,0.5055655296229803,0.18384201077199283,512,1.0,2.0,5,1.655507119603063,2.644927536231899,-0.11249203314212874,0.0007267441860465116,-0.20090805902383654
DOGE/USDT:USDT,2h,25632,683,651,1521,870,0.571992110453649,651,651,1335,684,0.5123595505617977,0.18352059925093633,245,1.0,2.0,5,1.7241379310344827,4.03576879910213,-0.1222879684418146,0.0,-0.21379310344827587
DOGE/USDT:USDT,4h,12816,359,335,799,464,0.5807259073842302,335,335,705,370,0.524822695035461,0.19858156028368795,140,1.0,2.0,5,1.6100966223169337,2.5918408308907868,-0.11764705882352941,0.0,-0.2025862068965517
LINK/USDT:USDT,15m,205056,5905,5839,13054,7215,0.5527041519840662,5838,5838,11537,5699,0.4939759036144578,0.18939065614977899,2185,1.0,2.0,6,1.6969696969696861,2.508474576271212,-0.11620959092998315,-0.00017126220243192326,-0.2101178101178101
LINK/USDT:USDT,1h,51264,1453,1421,3046,1625,0.5334865397242285,1420,1420,2722,1302,0.47832476120499634,0.15723732549595884,428,1.0,2.0,6,1.7273991655076528,2.5945945945946023,-0.10636900853578464,-0.0007037297677691766,-0.19876923076923078
LINK/USDT:USDT,2h,25632,705,680,1506,826,0.548472775564409,681,681,1356,675,0.497787610619469,0.16666666666666666,226,1.0,2.0,6,1.7228669455651184,2.6976596899692367,-0.099601593625498,0.0014705882352941176,-0.18280871670702178
LINK/USDT:USDT,4h,12816,373,351,743,392,0.5275908479138627,351,351,669,318,0.47533632286995514,0.15246636771300448,102,1.0,2.0,5,1.5857385398981325,1.9927788216158597,-0.09959623149394348,0.0,-0.18877551020408162
LTC/USDT:USDT,15m,205056,5832,5776,13229,7453,0.5633834756973316,5772,5772,11669,5897,0.5053560716428143,0.19393264204301996,2263,1.0,2.0,6,1.6747967479674761,2.470588235294114,-0.11792274548340767,-0.0006925207756232687,-0.20877498993693813
LTC/USDT:USDT,1h,51264,1438,1407,3255,1848,0.567741935483871,1406,1406,2876,1470,0.5111265646731572,0.18393602225312936,529,1.0,2.0,4,1.7214076246334304,2.3013698630136856,-0.11643625192012289,-0.0007107320540156361,-0.20454545454545456
LTC/USDT:USDT,2h,25632,710,687,1561,874,0.5598975016015375,688,688,1409,721,0.5117104329311568,0.15046132008516677,212,1.0,2.0,4,1.698873366866647,2.55038366675801,-0.09737347853939782,0.001455604075691412,-0.17505720823798626
LTC/USDT:USDT,4h,12816,356,339,735,396,0.5387755102040817,339,339,665,326,0.49022556390977445,0.13383458646616542,89,1.0,2.0,3,1.5451428571428558,1.9755351681957192,-0.09523809523809523,0.0,-0.17676767676767677
ADA/USDT:USDT,15m,205056,5854,5760,13086,7326,0.5598349381017882,5759,5759,11605,5846,0.5037483843171047,0.1971563981042654,2288,1.0,2.0,11,1.722649572649563,3.2377152471254846,-0.11317438483875898,-0.00017361111111111112,-0.20202020202020202
ADA/USDT:USDT,1h,51264,1428,1376,3129,1753,0.5602428891019495,1376,1376,2792,1416,0.5071633237822349,0.19269340974212035,538,1.0,2.0,6,1.6687116564417197,2.801923076923085,-0.10770214125918824,0.0,-0.19224187107815174
ADA/USDT:USDT,2h,25632,714,685,1463,778,0.531784005468216,685,685,1308,623,0.47629969418960244,0.1811926605504587,237,1.0,2.0,5,1.7142857142857142,2.256354148647862,-0.10594668489405332,0.0,-0.19922879177377892
ADA/USDT:USDT,4h,12816,365,345,746,401,0.5375335120643432,345,345,660,315,0.4772727272727273,0.18787878787878787,124,1.0,2.0,5,1.5674157303370766,1.8625000000000012,-0.11528150134048257,0.0,-0.2144638403990025
DOT/USDT:USDT,15m,205056,5752,5661,12987,7326,0.5641025641025641,5660,5660,11492,5832,0.5074834667594849,0.185085276714236,2127,1.0,2.0,8,1.639344262295083,2.4400000000000066,-0.11511511511511512,-0.0001766472354707649,-0.20393120393120392
DOT/USDT:USDT,1h,51264,1425,1372,2961,1589,0.5366430260047281,1372,1372,2629,1257,0.4781285659946748,0.17383035374667175,457,1.0,2.0,5,1.624012638230648,2.2857142857142856,-0.1121242823370483,0.0,-0.20893643801132789
DOT/USDT:USDT,2h,25632,716,678,1442,764,0.5298196948682385,679,679,1293,614,0.4748646558391338,0.16782675947409126,217,1.0,2.0,4,1.6274089935760148,1.9437816969377912,-0.10332871012482663,0.0014749262536873156,-0.19633507853403143
DOT/USDT:USDT,4h,12816,377,352,756,404,0.5343915343915344,352,352,676,324,0.47928994082840237,0.15088757396449703,102,1.0,2.0,4,1.6937269372693755,1.9767903247723848,-0.10582010582010581,0.0,-0.19801980198019803
BCH/USDT:USDT,15m,205056,5918,5858,12902,7044,0.5459618663773058,5850,5850,11427,5577,0.4880546075085324,0.18911350310667716,2161,1.0,2.0,6,1.6666666666666328,2.5984251968503815,-0.11432336071926832,-0.0013656538067599864,-0.20826235093696763
BCH/USDT:USDT,1h,51264,1471,1444,3346,1902,0.5684399282725643,1443,1443,2914,1471,0.5048043925875085,0.20144131777625257,587,1.0,2.0,5,1.6800000000000028,2.5283522348232172,-0.12910938433950986,-0.0006925207756232687,-0.22660357518401683
BCH/USDT:USDT,2h,25632,710,688,1529,841,0.5500327011118378,689,689,1362,673,0.49412628487518356,0.1762114537444934,240,1.0,2.0,6,1.7941729323308275,3.0565610859728447,-0.1092217135382603,0.0014534883720930232,-0.19976218787158145
