source,label,segment,entry_fee_r,phantom_entry_slippage_r,gross_r_before,slippage_r_before,cost_r_before,gross_r_after,slippage_r_after,cost_r_after,net_r_unchanged,identity_abs,independent_gross_delta
wan370_cost_decomposition.csv,taker_tp,full,0.030699,0.076708,0.095518,0.153464,0.245840,0.018809,0.076756,0.169132,-0.150322,1.799e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=15m,full,0.036029,0.090028,0.112812,0.180112,0.288635,0.022784,0.090084,0.198607,-0.175823,2.068e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=1h,full,0.023346,0.058337,0.067610,0.116707,0.186912,0.009274,0.058371,0.128575,-0.119301,1.250e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=2h,full,0.017436,0.043569,0.065903,0.087171,0.139490,0.022334,0.043602,0.095921,-0.073587,9.534e-15,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=4h,full,0.012634,0.031569,0.026467,0.063150,0.100191,-0.005102,0.031582,0.068622,-0.073724,6.745e-15,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.30~0.40%,full,0.057703,0.144186,0.156744,0.288451,0.461586,0.012558,0.144264,0.317400,-0.304842,3.153e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.40~0.50%,full,0.044727,0.111761,0.107831,0.223576,0.357848,-0.003930,0.111815,0.246087,-0.250017,2.379e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.50~0.75%,full,0.033079,0.082655,0.114676,0.165368,0.264965,0.032020,0.082713,0.182310,-0.150289,1.843e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.75~1.00%,full,0.023313,0.058253,0.087099,0.116549,0.186871,0.028846,0.058296,0.128618,-0.099772,1.285e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=1.00~1.50%,full,0.016650,0.041605,0.045593,0.083233,0.133313,0.003988,0.041628,0.091708,-0.087720,9.159e-15,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=≥1.50%,full,0.008945,0.022351,0.048961,0.044726,0.072142,0.026610,0.022375,0.049791,-0.023180,5.031e-15,
wan370_cost_decomposition.csv,taker_tp,is,0.029194,0.072948,0.097276,0.145945,0.234023,0.024327,0.072997,0.161074,-0.136747,1.582e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=15m,is,0.034416,0.085996,0.109198,0.172047,0.275827,0.023201,0.086051,0.189831,-0.166630,1.985e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=1h,is,0.021743,0.054330,0.076481,0.108697,0.174430,0.022152,0.054368,0.120101,-0.097949,1.157e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=2h,is,0.015691,0.039209,0.071509,0.078453,0.126123,0.032300,0.039245,0.086914,-0.054615,8.604e-15,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=4h,is,0.011332,0.028316,0.061895,0.056664,0.090361,0.033578,0.028347,0.062044,-0.028466,6.141e-15,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.30~0.40%,is,0.057686,0.144142,0.158647,0.288363,0.461720,0.014505,0.144221,0.317578,-0.303073,3.231e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.40~0.50%,is,0.044629,0.111518,0.101431,0.223086,0.357261,-0.010087,0.111568,0.245743,-0.255830,2.409e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.50~0.75%,is,0.033050,0.082583,0.101986,0.165218,0.265001,0.019403,0.082634,0.182417,-0.163014,1.910e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=0.75~1.00%,is,0.023304,0.058230,0.106313,0.116514,0.186961,0.048083,0.058283,0.128731,-0.080648,1.268e-14,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=1.00~1.50%,is,0.016648,0.041600,0.046581,0.083223,0.133443,0.004981,0.041623,0.091843,-0.086862,9.090e-15,
wan370_cost_decomposition.csv,taker_tp · axis=stop_width · bucket=≥1.50%,is,0.008815,0.022026,0.077237,0.044091,0.071268,0.055211,0.022065,0.049242,0.005969,4.954e-15,
wan370_cost_decomposition.csv,taker_tp,oos_warm,0.033977,0.084901,0.091838,0.169848,0.271590,0.006937,0.084947,0.186689,-0.179752,1.735e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=15m,oos_warm,0.039633,0.099032,0.120883,0.198125,0.317237,0.021851,0.099093,0.218205,-0.196354,2.057e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=1h,oos_warm,0.026825,0.067029,0.049172,0.134083,0.213987,-0.017857,0.067054,0.146958,-0.164815,1.540e-14,
wan370_cost_decomposition.csv,taker_tp · axis=timeframe · bucket=2h,oos_warm,0.020979,0.052422,0.054521,0.104872,0.166630,0.002099,0.052449,0.114208,-0.112110,1.137e-14,
