slippage_bp,segment,adopted,num_cells,num_candidates,num_trades,win_rate,mean_net_r,net_r_stderr,gross_r,cost_r,slippage_r,stop_fee_r,entry_fee_r,take_profit_fee_r,funding_r,breakeven_win_rate,linear_mean_net_r,linear_gap
0.0,full,False,48,122946,49431,0.40426048431146444,-0.05901226960137159,0.005576239886802549,0.010620667119489191,0.06963293672086153,0.0,0.03128884300161447,0.026525960267094594,0.010883662899711209,0.0009344705524412561,0.4278531746883446,-0.05899662517987224,-1.564442149935147e-05
0.0,is,False,48,83509,34606,0.4057388892099636,-0.05198871233329495,0.006665755599362596,0.014347223024908965,0.06633593535820428,0.0,0.029604746997518215,0.025095692522377352,0.010296188468223317,0.0013393073700853904,0.4265343741432817,-0.05197390995979646,-1.4802373498483401e-05
0.0,oos_warm,False,48,39436,14825,0.4008094435075885,-0.075407360516656,0.010176725961732703,0.001921767041043533,0.07732912755769934,0.0,0.03522002858797287,0.02986463450477969,0.012255004564201488,-1.0540099254702407e-05,0.43093165102307973,-0.07538975050236216,-1.7610014293845122e-05
0.0,oos,False,48,38563,14525,0.39924268502581756,-0.07979702767952074,0.010275252184935822,-0.0020315348164619677,0.07776549286305852,0.0,0.03549789700227924,0.0300099993622486,0.012260644554145692,-3.0480556150115647e-06,0.43110619714522336,-0.07977927873101953,-1.774894850120612e-05
5.0,full,True,48,122946,49431,0.40426048431146444,-0.09810767893188604,0.005726854755149141,0.010620667119489186,0.10872834605137459,0.039111053752013805,0.03127319858011371,0.026525960267094594,0.010883662899711209,0.0009344705524412561,0.44349133842054983,,
5.0,is,True,48,83509,34606,0.4057388892099636,-0.08897984370668988,0.006836706721344158,0.014347223024908965,0.10332706673159875,0.03700593374689341,0.029589944624019274,0.025095692522377352,0.010296188468223317,0.0013393073700853904,0.44133082669263946,,
5.0,oos_warm,True,48,39436,14825,0.4008094435075885,-0.11941478623732331,0.010483195429070405,0.0019217670410435306,0.12133655327836651,0.044025035734961145,0.0352024185736789,0.02986463450477969,0.012255004564201488,-1.0540099254702407e-05,0.44853462131134664,,
5.0,oos,True,48,38563,14525,0.39924268502581756,-0.12415164998386354,0.01058618748659276,-0.00203153481646197,0.12212011516740147,0.04437237125284401,0.03548014805377814,0.0300099993622486,0.012260644554145692,-3.0480556150115647e-06,0.44884804606696055,,
10.0,full,False,48,122946,49431,0.40426048431146444,-0.13720308826240693,0.0058805616652904385,0.010620667119489197,0.14782375538189635,0.07822210750403619,0.03125755415861311,0.026525960267094594,0.010883662899711209,0.0009344705524412561,0.45912950215275855,-0.13725788288785584,5.479462544891178e-05
10.0,is,False,48,83509,34606,0.4057388892099636,-0.12597097508009186,0.007011233869327712,0.01434722302490897,0.14031819810500157,0.07401186749379486,0.029575142250520655,0.025095692522377352,0.010296188468223317,0.0013393073700853904,0.4561272792420006,-0.1260228204303069,5.1845350215046215e-05
