window,measure,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr,mean_feature
1h,ratio,is,0,3,0.0,0.0021061505185513392,13635,7928,0.5814448111477815,-0.05979133930770234,0.010961546714682201,0.00037052171105827813
1h,ratio,is,1,3,0.0021061505185513392,0.0063694267515923,4544,2623,0.5772447183098591,-0.0341950362177937,0.018895124020482296,0.003801084778456511
1h,ratio,is,2,3,0.0063694267515923,0.8,4546,2501,0.5501539815222173,0.04476759110922766,0.019003483177549563,0.021438879018128562
1h,ratio,oos_warm,0,3,0.0,0.0021061505185513392,6901,3974,0.5758585712215621,-0.06174233913678494,0.01552497519540451,0.00048851680098741
1h,ratio,oos_warm,1,3,0.0021061505185513392,0.0063694267515923,2176,1218,0.5597426470588235,-0.005451419143374368,0.027648334103135996,0.0037957819732935584
1h,ratio,oos_warm,2,3,0.0063694267515923,0.8,1195,739,0.6184100418410042,-0.1434615345048607,0.0363385986593479,0.018267016376841732
1h,count,is,0,3,0.0,2.0,12852,7421,0.5774198568316216,-0.049937654233993885,0.011308711703937735,0.2535792094615624
1h,count,is,1,3,2.0,5.0,4460,2612,0.5856502242152466,-0.056558650673759384,0.0190029372812673,2.7697309417040357
1h,count,is,2,3,5.0,136.0,5413,3019,0.557731387400702,0.023448480947465215,0.01740950745084049,14.903565490485867
1h,count,oos_warm,0,3,0.0,2.0,5226,3030,0.5797933409873708,-0.07439241494584747,0.017832549567428826,0.2734404898584003
1h,count,oos_warm,1,3,2.0,5.0,2320,1302,0.5612068965517242,-0.013867529009518938,0.026794786309636554,2.7383620689655173
1h,count,oos_warm,2,3,5.0,136.0,2726,1599,0.5865737344093911,-0.0691251930899344,0.024452253310074213,18.357300073367572
4h,ratio,is,0,4,0.0,0.0021321961620469,9087,5209,0.5732364916914273,-0.04261508429063996,0.013483187016456061,0.0005275078474182941
4h,ratio,is,1,4,0.0021321961620469,0.0054495912806539,4543,2679,0.5896984371560643,-0.07606716726117582,0.018886929745869252,0.003578800027320818
4h,ratio,is,2,4,0.0054495912806539,0.0129629629629629,4546,2623,0.576990761108667,-0.03185060926944,0.01889201558216663,0.008564492952757106
4h,ratio,is,3,4,0.0129629629629629,0.8888888888888888,4548,2540,0.5584872471416007,0.02452411552114109,0.0189622789348135,0.036748801836172115
4h,ratio,oos_warm,0,4,0.0,0.0021321961620469,4776,2752,0.576214405360134,-0.06776638746995718,0.018697632512206953,0.0006720082868007861
4h,ratio,oos_warm,1,4,0.0021321961620469,0.0054495912806539,2409,1354,0.5620589456205894,-0.01934956204227825,0.02632368559513831,0.0035768226802114565
4h,ratio,oos_warm,2,4,0.0054495912806539,0.0129629629629629,1852,1023,0.5523758099352052,0.018708861106596364,0.029966222789630556,0.008410776596976357
4h,ratio,oos_warm,3,4,0.0129629629629629,0.8888888888888888,1235,802,0.6493927125506073,-0.22167299872493665,0.035075303984415225,0.029085482269492542
4h,count,is,0,4,0.0,2.0,8254,4687,0.5678458929004119,-0.028955118132872826,0.014173317114796741,0.34649866731281803
4h,count,is,1,4,2.0,5.0,4985,2902,0.5821464393179538,-0.05736229522929835,0.018086070133707863,2.8284854563691075
4h,count,is,2,4,5.0,11.0,4628,2682,0.5795159896283492,-0.04066981703517958,0.018726212105063148,7.080812445980985
4h,count,is,3,4,11.0,230.0,4858,2781,0.5724578015644298,-0.011106872545498421,0.0182745036292741,26.360024701523262
4h,count,oos_warm,0,4,0.0,2.0,3127,1787,0.5714742564758555,-0.058430178219479656,0.023173829211210122,0.356891589382795
4h,count,oos_warm,1,4,2.0,5.0,2355,1351,0.5736730360934182,-0.05448986282000182,0.026574150534824967,2.8632696390658174
4h,count,oos_warm,2,4,5.0,11.0,2227,1245,0.5590480466995958,-0.009232350417429978,0.027387390770954426,7.101481814099686
4h,count,oos_warm,3,4,11.0,230.0,2563,1548,0.6039797112758486,-0.10838371656621547,0.02498555091949402,33.00273117440499
24h,ratio,is,0,5,0.0,0.0080321285140562,4544,2600,0.5721830985915493,-0.04685617837074761,0.019120787931225264,0.00447866383471857
24h,ratio,is,1,5,0.0080321285140562,0.0153508771929824,4544,2731,0.601012323943662,-0.1090107626634939,0.018831409535913574,0.011578477617640245
24h,ratio,is,2,5,0.0153508771929824,0.0254596888260254,4537,2570,0.5664536037028873,-0.013324907837250306,0.019033325730900667,0.01994399212995037
24h,ratio,is,3,5,0.0254596888260254,0.0439716312056737,4550,2557,0.5619780219780219,0.00862670641312105,0.018962524714684067,0.03367213052498316
24h,ratio,is,4,5,0.0439716312056737,4.5,4546,2592,0.5701715794104707,-0.00846181204498809,0.018917139160253546,0.11122173662615913
24h,ratio,oos_warm,0,5,0.0,0.0080321285140562,3140,1794,0.5713375796178344,-0.05961759725422589,0.023122251455125118,0.004560088035637116
24h,ratio,oos_warm,1,5,0.0080321285140562,0.0153508771929824,2786,1618,0.5807609475951184,-0.0705498932764655,0.02438704792529791,0.01139439852763274
24h,ratio,oos_warm,2,5,0.0153508771929824,0.0254596888260254,2189,1188,0.542713567839196,0.03793414693649064,0.027648096307764193,0.019751628010430435
24h,ratio,oos_warm,3,5,0.0254596888260254,0.0439716312056737,1340,771,0.5753731343283582,-0.03737140911044005,0.03494140307360707,0.03214374542952397
24h,ratio,oos_warm,4,5,0.0439716312056737,4.5,817,560,0.6854345165238678,-0.3165135930988129,0.04210653052116905,0.06531035969559662
24h,count,is,0,5,0.0,7.0,4013,2309,0.5753800149514079,-0.05481593964470677,0.020319623117994106,3.7086967356092697
24h,count,is,1,5,7.0,14.0,5045,2925,0.5797819623389494,-0.05765915500823781,0.0180386012284087,9.963330029732408
24h,count,is,2,5,14.0,22.0,4319,2467,0.5711970363510072,-0.025930617592014538,0.019482837553450445,17.27228525121556
24h,count,is,3,5,22.0,37.0,4633,2632,0.5680984243470754,-0.007886049804091,0.01876178098600381,28.137276063026118
24h,count,is,4,5,37.0,366.0,4715,2719,0.5766702014846236,-0.02284760931465422,0.01853587196355294,65.75482502651113
24h,count,oos_warm,0,5,0.0,7.0,1284,747,0.5817757009345794,-0.0909151474226563,0.03604586776289817,3.880841121495327
24h,count,oos_warm,1,5,7.0,14.0,2100,1217,0.5795238095238096,-0.07774513189925335,0.02820909459968531,10.008571428571429
24h,count,oos_warm,2,5,14.0,22.0,2065,1164,0.563680387409201,-0.02704914500314515,0.028481796546917702,17.28280871670702
24h,count,oos_warm,3,5,22.0,37.0,2334,1279,0.5479862896315338,0.02216913532874392,0.026765602760277785,28.082262210796916
24h,count,oos_warm,4,5,37.0,366.0,2489,1524,0.6122940940136601,-0.13068266585733823,0.025271347248800285,71.99316994777018
