window,segment,control,stratum,n_lo,n_hi,delta,sigma,z,stop_rate_delta
1h,oos_warm,없음,—,6901,1195,-0.08171919536807577,0.03951605505795191,2.067999835718197,0.04255147061944209
1h,oos_warm,WAN-410 버킷 안,≥ 0R,3599,53,0.14643431786928796,0.18093946890382648,0.809300031421675,-0.0496102166744431
1h,oos_warm,WAN-410 버킷 안,[-3R ~ 0R),1321,53,0.410855875573123,0.17996905421650666,2.282925124887607,-0.15044348906631622
1h,oos_warm,WAN-410 버킷 안,[-5R ~ -3R),671,49,0.0441459798383211,0.19231279845794583,0.22955300007230026,-0.015754737066212554
1h,oos_warm,WAN-410 버킷 안,[-10R ~ -5R),744,204,0.09375681586448431,0.10175385576907908,0.9214079914303855,-0.030755850727387735
1h,oos_warm,WAN-410 버킷 안,[-20R ~ -10R),403,236,0.1838219687173946,0.10510943344716299,1.7488627108793167,-0.06629305631492621
1h,oos_warm,WAN-410 버킷 안,< -20R,163,600,0.010952779981357574,0.1049599910415955,0.10435195232645364,-0.0010531697341512603
1h,oos_warm,WAN-410 버킷 안(표본 가중 합),3버킷,1310,1040,0.10662301524149453,0.06068189747763972,1.7570811011765637,
1h,oos_warm,폭락일 제외,최악 10일 제외,6714,585,0.3292122578688763,0.05570560231488222,5.9098590480714455,-0.11916775509268801
4h,oos_warm,없음,—,4776,1235,-0.15390661125497945,0.03974768434966587,3.8720900040626702,0.07317830719047325
4h,oos_warm,WAN-410 버킷 안,≥ 0R,2982,39,0.1559090873151996,0.2104370892063761,0.7408821700736377,-0.05123045968116391
4h,oos_warm,WAN-410 버킷 안,[-3R ~ 0R),862,55,0.16412083920191103,0.17807848068715681,0.9216208413763022,-0.05005273149124656
4h,oos_warm,WAN-410 버킷 안,[-5R ~ -3R),374,41,-0.00410110479384046,0.20865441360084144,0.019655010996728426,0.008151819486109324
4h,oos_warm,WAN-410 버킷 안,[-10R ~ -5R),361,156,-0.12750394048417504,0.12256910857453716,1.040261628456218,0.062397897577953
4h,oos_warm,WAN-410 버킷 안,[-20R ~ -10R),167,234,0.21886232622034169,0.12958598000241883,1.6889352244452405,-0.07659040892573832
4h,oos_warm,WAN-410 버킷 안,< -20R,30,710,-0.17346366712641773,0.23854549433836802,0.727172263754292,0.08075117370892027
4h,oos_warm,WAN-410 버킷 안(표본 가중 합),2버킷,528,390,0.05157707047450698,0.08940515159674754,0.5768914827988871,
4h,oos_warm,폭락일 제외,최악 10일 제외,4722,535,0.21620551467849147,0.05900825263621597,3.6639877478052383,-0.07212768231424194
24h,oos_warm,없음,—,3140,817,-0.256895995844587,0.04803746896833946,5.347825382180357,0.1140969369060334
24h,oos_warm,WAN-410 버킷 안,≥ 0R,2110,32,0.11778949430604699,0.23513811398834483,0.5009374801393767,-0.040787914691943095
24h,oos_warm,WAN-410 버킷 안,[-3R ~ 0R),601,20,0.1670363714179972,0.30253220268592074,0.5521275749656609,-0.04908485856905154
24h,oos_warm,WAN-410 버킷 안,[-5R ~ -3R),244,15,0.028598363237016075,0.34928955805857226,0.0818758035481279,-0.010655737704918011
24h,oos_warm,WAN-410 버킷 안,[-10R ~ -5R),149,47,-0.6165846970856655,0.18302417601732354,3.3688702252499407,0.24475224903612736
24h,oos_warm,WAN-410 버킷 안,[-20R ~ -10R),36,116,0.20004522473027808,0.23933218787746283,0.8358475577580917,-0.07183908045977005
24h,oos_warm,WAN-410 버킷 안,< -20R,0,587,,,,
24h,oos_warm,폭락일 제외,최악 10일 제외,3119,262,0.036161343818428116,0.08314610375981382,0.4349132693323583,-0.003886546138050617
