window,segment,realized_bucket,realized_order,bin,n,share_of_realized_bucket,mean_net_r,stop_rate
1h,oos_warm,≥ 0R,0,0,3599,0.8875462392108509,-0.025155468346968635,0.559044178938594
1h,oos_warm,≥ 0R,0,1,403,0.09938347718865598,-0.05214975427498056,0.5707196029776674
1h,oos_warm,≥ 0R,0,2,53,0.013070283600493218,0.1212788495223193,0.5094339622641509
1h,oos_warm,[-3R ~ 0R),1,0,1321,0.7693651718112988,-0.08234637551277871,0.5844057532172596
1h,oos_warm,[-3R ~ 0R),1,1,343,0.1997670355270821,0.06165710774567863,0.5306122448979592
1h,oos_warm,[-3R ~ 0R),1,2,53,0.030867792661619105,0.3285095000603443,0.4339622641509434
1h,oos_warm,[-10R ~ -5R),3,0,744,0.4856396866840731,-0.07602262757122541,0.5846774193548387
1h,oos_warm,[-10R ~ -5R),3,1,584,0.381201044386423,0.012144544313117482,0.5547945205479452
1h,oos_warm,[-10R ~ -5R),3,2,204,0.13315926892950392,0.01773418829325893,0.553921568627451
1h,oos_warm,[-5R ~ -3R),2,0,671,0.6378326996197718,-0.0786714669670227,0.587183308494784
1h,oos_warm,[-5R ~ -3R),2,1,332,0.3155893536121673,0.041664191387385786,0.5421686746987951
1h,oos_warm,[-5R ~ -3R),2,2,49,0.04657794676806084,-0.03452548712870157,0.5714285714285714
1h,oos_warm,< -20R,5,0,163,0.173036093418259,-0.3535707524083574,0.6993865030674846
1h,oos_warm,< -20R,5,1,179,0.19002123142250532,-0.30101758828718583,0.6815642458100558
1h,oos_warm,< -20R,5,2,600,0.6369426751592356,-0.3426179724269998,0.6983333333333334
1h,oos_warm,[-20R ~ -10R),4,0,403,0.4137577002053388,-0.14835823290175168,0.6129032258064516
1h,oos_warm,[-20R ~ -10R),4,1,335,0.34394250513347024,0.06257581445970259,0.5373134328358209
1h,oos_warm,[-20R ~ -10R),4,2,236,0.24229979466119098,0.035463735815642924,0.5466101694915254
4h,oos_warm,≥ 0R,0,0,2982,0.7353884093711467,-0.03976521381940348,0.5640509725016767
4h,oos_warm,≥ 0R,0,1,779,0.19210850801479654,0.029713563163052726,0.5391527599486521
4h,oos_warm,≥ 0R,0,2,255,0.06288532675709001,-0.05576357525398939,0.5764705882352941
4h,oos_warm,≥ 0R,0,3,39,0.009617755856966708,0.11614387349579608,0.5128205128205128
4h,oos_warm,[-3R ~ 0R),1,0,862,0.5020384391380315,-0.16174344752245187,0.6136890951276102
4h,oos_warm,[-3R ~ 0R),1,1,577,0.3360512521840419,0.015101746638906748,0.5476603119584056
4h,oos_warm,[-3R ~ 0R),1,2,223,0.1298776936517181,0.27066464941219476,0.452914798206278
4h,oos_warm,[-3R ~ 0R),1,3,55,0.0320326150262085,0.002377391679459134,0.5636363636363636
4h,oos_warm,[-10R ~ -5R),3,0,361,0.23563968668407312,0.024330297244179535,0.5401662049861495
4h,oos_warm,[-10R ~ -5R),3,1,462,0.30156657963446476,-0.026782073488375403,0.5714285714285714
4h,oos_warm,[-10R ~ -5R),3,2,553,0.36096605744125326,-0.047315511085689654,0.5768535262206148
4h,oos_warm,[-10R ~ -5R),3,3,156,0.10182767624020887,-0.10317364323999548,0.6025641025641025
4h,oos_warm,[-5R ~ -3R),2,0,374,0.35551330798479086,-0.11635325147499963,0.6016042780748663
4h,oos_warm,[-5R ~ -3R),2,1,374,0.35551330798479086,-0.09889070130483385,0.5935828877005348
4h,oos_warm,[-5R ~ -3R),2,2,263,0.25,0.1703120733198237,0.49429657794676807
4h,oos_warm,[-5R ~ -3R),2,3,41,0.03897338403041825,-0.12045435626884006,0.6097560975609756
4h,oos_warm,< -20R,5,0,30,0.03184713375796178,-0.21277644859171518,0.6333333333333333
4h,oos_warm,< -20R,5,1,36,0.03821656050955414,-0.2716646244085832,0.6666666666666666
4h,oos_warm,< -20R,5,2,166,0.1762208067940552,-0.16079073678213054,0.6325301204819277
4h,oos_warm,< -20R,5,3,710,0.7537154989384289,-0.3862401157181329,0.7140845070422536
4h,oos_warm,[-20R ~ -10R),4,0,167,0.17145790554414783,-0.14690643699669628,0.6107784431137725
4h,oos_warm,[-20R ~ -10R),4,1,181,0.18583162217659138,-0.10682487158104587,0.5966850828729282
4h,oos_warm,[-20R ~ -10R),4,2,392,0.4024640657084189,-0.008737320680176703,0.5637755102040817
4h,oos_warm,[-20R ~ -10R),4,3,234,0.2402464065708419,0.07195588922364536,0.5341880341880342
24h,oos_warm,≥ 0R,0,0,2110,0.5203452527743526,-0.06535428172554851,0.5720379146919431
24h,oos_warm,≥ 0R,0,1,1162,0.2865598027127004,-0.024327542941950612,0.5602409638554217
24h,oos_warm,≥ 0R,0,2,571,0.1408138101109741,0.052560133575288034,0.5341506129597198
24h,oos_warm,≥ 0R,0,3,180,0.04438964241676942,0.1630737429806344,0.49444444444444446
24h,oos_warm,≥ 0R,0,4,32,0.007891491985203452,0.05243521258049846,0.53125
24h,oos_warm,[-3R ~ 0R),1,0,601,0.3500291205591147,-0.0006674918160372932,0.5490848585690515
24h,oos_warm,[-3R ~ 0R),1,1,554,0.32265579499126384,-0.14404617005226716,0.6101083032490975
24h,oos_warm,[-3R ~ 0R),1,2,400,0.23296447291788003,0.014226884896344263,0.55
24h,oos_warm,[-3R ~ 0R),1,3,142,0.08270238788584741,0.0067918214605838375,0.5563380281690141
24h,oos_warm,[-3R ~ 0R),1,4,20,0.011648223645894,0.1663688796019599,0.5
24h,oos_warm,[-10R ~ -5R),3,0,149,0.09725848563968668,-0.022566462125946284,0.5637583892617449
24h,oos_warm,[-10R ~ -5R),3,1,507,0.33093994778067887,-0.059774995108122085,0.5779092702169625
24h,oos_warm,[-10R ~ -5R),3,2,533,0.347911227154047,0.09095156208328083,0.5234521575984991
24h,oos_warm,[-10R ~ -5R),3,3,296,0.19321148825065274,-0.1034439167336666,0.6013513513513513
24h,oos_warm,[-10R ~ -5R),3,4,47,0.030678851174934726,-0.6391511592116117,0.8085106382978723
24h,oos_warm,[-5R ~ -3R),2,0,244,0.23193916349809887,-0.14390325304496898,0.610655737704918
24h,oos_warm,[-5R ~ -3R),2,1,363,0.3450570342205323,-0.09523622233988834,0.5922865013774105
24h,oos_warm,[-5R ~ -3R),2,2,305,0.2899239543726236,0.10590644006896809,0.5180327868852459
24h,oos_warm,[-5R ~ -3R),2,3,125,0.1188212927756654,-0.01229232068104482,0.568
24h,oos_warm,[-5R ~ -3R),2,4,15,0.014258555133079848,-0.11530488980795287,0.6
24h,oos_warm,< -20R,5,1,16,0.016985138004246284,-0.9520680571853884,0.9375
24h,oos_warm,< -20R,5,2,60,0.06369426751592357,-0.04351614031323848,0.5833333333333334
24h,oos_warm,< -20R,5,3,279,0.2961783439490446,-0.27886218669458634,0.6738351254480287
24h,oos_warm,< -20R,5,4,587,0.6231422505307855,-0.37723740541842976,0.7103918228279387
24h,oos_warm,[-20R ~ -10R),4,0,36,0.03696098562628337,-0.2896044932273642,0.6666666666666666
24h,oos_warm,[-20R ~ -10R),4,1,184,0.188911704312115,-0.04550032291612327,0.5760869565217391
24h,oos_warm,[-20R ~ -10R),4,2,320,0.32854209445585214,-0.09635131555837133,0.596875
24h,oos_warm,[-20R ~ -10R),4,3,318,0.3264887063655031,0.09296568847226022,0.5220125786163522
24h,oos_warm,[-20R ~ -10R),4,4,116,0.11909650924024641,-0.08955926849708604,0.5948275862068966
