window,dropped,n,bins,oos_delta,oos_z,full_delta,sign_kept
1h,ADA/USDT:USDT,30096,3,-0.10134615475587978,2.381455113320237,-0.08171919536807577,True
4h,ADA/USDT:USDT,30096,4,-0.1838603704543501,4.315300213042366,-0.15390661125497945,True
24h,ADA/USDT:USDT,30096,5,-0.25147353382616844,4.875987228604837,-0.256895995844587,True
1h,BCH/USDT:USDT,30154,3,-0.07612991421982336,1.896967397219657,-0.08171919536807577,True
4h,BCH/USDT:USDT,30154,4,-0.16835938173186304,4.108852123044882,-0.15390661125497945,True
24h,BCH/USDT:USDT,30154,5,-0.24091826936207694,4.769202471379839,-0.256895995844587,True
1h,BNB/USDT:USDT,30399,3,-0.12398301108702697,3.084544585738659,-0.08171919536807577,True
4h,BNB/USDT:USDT,30399,4,-0.1463899571814838,3.5140719716926725,-0.15390661125497945,True
24h,BNB/USDT:USDT,30399,5,-0.23009082866385974,4.572502028603757,-0.256895995844587,True
1h,BTC/USDT:USDT,30580,3,-0.12111362713334947,3.0328386218172727,-0.08171919536807577,True
4h,BTC/USDT:USDT,30580,4,-0.16671547148634014,4.12797449610718,-0.15390661125497945,True
24h,BTC/USDT:USDT,30580,5,-0.29960337168026896,6.115648000058791,-0.256895995844587,True
1h,DOGE/USDT:USDT,30222,3,-0.04577118863812364,1.080947996914479,-0.08171919536807577,True
4h,DOGE/USDT:USDT,30222,4,-0.15584972574578668,3.6640945753782117,-0.15390661125497945,True
24h,DOGE/USDT:USDT,30222,5,-0.23603260561325787,4.528489145062788,-0.256895995844587,True
1h,DOT/USDT:USDT,30035,3,-0.056450496136864106,1.3300806493270856,-0.08171919536807577,True
4h,DOT/USDT:USDT,30035,4,-0.1541578997716161,3.6870166861681204,-0.15390661125497945,True
24h,DOT/USDT:USDT,30035,5,-0.2619138420397229,5.116728610772417,-0.256895995844587,True
1h,ETH/USDT:USDT,30174,3,-0.08378059761406129,2.019176262826678,-0.08171919536807577,True
4h,ETH/USDT:USDT,30174,4,-0.1743474714210654,4.164338509635016,-0.15390661125497945,True
24h,ETH/USDT:USDT,30174,5,-0.2793975635962213,5.512790136093049,-0.256895995844587,True
1h,LINK/USDT:USDT,30007,3,-0.07823992690115403,1.8573576751287997,-0.08171919536807577,True
4h,LINK/USDT:USDT,30007,4,-0.1441596890259363,3.4773802956503315,-0.15390661125497945,True
24h,LINK/USDT:USDT,30007,5,-0.24474905757062548,4.845259669609508,-0.256895995844587,True
1h,LTC/USDT:USDT,30095,3,-0.06324831125417588,1.4809599988748383,-0.08171919536807577,True
4h,LTC/USDT:USDT,30095,4,-0.15147613374582505,3.552621701911839,-0.15390661125497945,True
24h,LTC/USDT:USDT,30095,5,-0.2516487387733203,4.7578010357357,-0.256895995844587,True
1h,SOL/USDT:USDT,30110,3,-0.09038680968592029,2.159586892274978,-0.08171919536807577,True
4h,SOL/USDT:USDT,30110,4,-0.15244392983101585,3.6576085350779644,-0.15390661125497945,True
24h,SOL/USDT:USDT,30110,5,-0.2533444382233457,5.088635271172099,-0.256895995844587,True
1h,TRX/USDT:USDT,30862,3,-0.09200878732841788,2.463358855434976,-0.08171919536807577,True
4h,TRX/USDT:USDT,30862,4,-0.13908391390400182,3.6212950752616515,-0.15390661125497945,True
24h,TRX/USDT:USDT,30862,5,-0.22063275248488895,4.7165995579791,-0.256895995844587,True
1h,XRP/USDT:USDT,30233,3,-0.055824928955597986,1.321738165675117,-0.08171919536807577,True
4h,XRP/USDT:USDT,30233,4,-0.14198009594428035,3.44496464406779,-0.15390661125497945,True
24h,XRP/USDT:USDT,30233,5,-0.23055511178942406,4.574473021127351,-0.256895995844587,True
