symbol,timeframe,segment,lens,combine_obs,real_total_return,real_num_trades,real_long,real_short,pool_size,real_zones,fake_zones,pool_k,random_mean_return,random_ci_low,random_ci_high,random_p_value,iterations,bucket_fallback_count,buy_hold,real_mean_net_r,random_mean_net_r,real_taps,real_invalidation_taps,fake_taps,fake_invalidation_taps
BTC/USDT:USDT,4h,is,baseline,False,0.2321508684085731,127,127,0,883,244,976,4,-0.0672084747807132,-0.2226850724331337,0.0912687452185509,0.0,200,0,4.737081522462245,0.2043275082865203,-0.0763365957445112,760,75,2860,316
BTC/USDT:USDT,4h,is,pen_5bp,False,0.1581056585290312,122,122,0,880,244,976,4,-0.0545204059790458,-0.2150889484681783,0.1171602697164918,0.01,200,0,4.737081522462245,0.1399414013351181,-0.0685555364879344,760,75,2860,316
BTC/USDT:USDT,4h,oos_warm,baseline,False,-0.0136741343071487,58,58,0,368,363,1452,4,-0.0703151180417083,-0.1769593376686685,0.0536559894947873,0.18,200,0,0.0802191530647187,-0.0111613790186336,-0.2161984500317174,1117,110,4139,425
BTC/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0234848142419734,57,57,0,364,363,1452,4,-0.0794835736579608,-0.1810423801734168,0.0458207650400589,0.17,200,0,0.0802191530647187,-0.0319381117162135,-0.2497352204534633,1117,110,4139,425
ETH/USDT:USDT,4h,is,baseline,False,-0.0467762393443245,125,125,0,782,248,992,4,-0.0345856948000149,-0.1887834149993194,0.1350259412258996,0.54,200,0,6.128286238337011,-0.0354836750524603,-0.0272683748114108,700,78,2643,331
ETH/USDT:USDT,4h,is,pen_5bp,False,-0.0946123327467781,122,122,0,775,248,992,4,-0.073875774028292,-0.2248475045670271,0.0697540650876842,0.59,200,0,6.128286238337011,-0.0739866453571291,-0.081962984721998,700,78,2643,331
ETH/USDT:USDT,4h,oos_warm,baseline,False,0.057434120641481,77,77,0,475,366,1464,4,-0.0355557904349684,-0.1587609783039259,0.1146952366517664,0.135,200,0,-0.2867911916521223,0.0421318772430254,-0.0690530617202334,1064,117,3992,514
ETH/USDT:USDT,4h,oos_warm,pen_5bp,False,0.0577077006429055,77,77,0,472,366,1464,4,-0.0323036929757376,-0.2002165171478976,0.1193271294309279,0.11,200,0,-0.2867911916521223,0.0420063554491892,-0.0612218553477304,1064,117,3992,514
SOL/USDT:USDT,4h,is,baseline,False,-0.0617986760386782,101,101,0,754,243,972,4,-0.0168732839892418,-0.1504176742852658,0.1411353632977892,0.72,200,0,49.09800307219662,-0.0450749074599938,-0.0212502880930895,680,72,2538,284
SOL/USDT:USDT,4h,is,pen_5bp,False,-0.0749339968619324,100,100,0,737,243,972,4,-0.0350060743312547,-0.2088492050511781,0.142731655369855,0.705,200,0,49.09800307219662,-0.0597228757467072,-0.0501995887662071,680,72,2538,284
SOL/USDT:USDT,4h,oos_warm,baseline,False,0.0187990280327177,69,69,0,350,349,1396,4,-0.0529992619772107,-0.1568990375495874,0.0797357058135145,0.13,200,0,-0.5093534417644393,0.0395059302935021,-0.1056676999483689,987,99,3923,445
SOL/USDT:USDT,4h,oos_warm,pen_5bp,False,-0.0062617268272626,69,69,0,350,349,1396,4,-0.0539623035581599,-0.1669002011497566,0.0833157564264911,0.23,200,0,-0.5093534417644393,0.0032872501384587,-0.1101574127608997,987,99,3923,445
BNB/USDT:USDT,4h,is,baseline,False,-0.0174473273316343,122,122,0,743,241,964,4,-0.0474229455936698,-0.1982786523891459,0.1390575037652484,0.37,200,0,16.737564322469982,0.0111806383672218,-0.0439232830189166,628,66,2647,303
BNB/USDT:USDT,4h,is,pen_5bp,False,-0.0876362906675418,119,119,0,740,241,964,4,-0.059283282642,-0.2332671663331761,0.113658835459437,0.64,200,0,16.737564322469982,-0.0663508791291709,-0.0618187757927096,628,66,2647,303
BNB/USDT:USDT,4h,oos_warm,baseline,False,0.0233684246638342,71,71,0,399,365,1460,4,-0.0150306190307741,-0.1315698054095948,0.1055966320334453,0.285,200,0,0.1131613705228808,0.0183552700120364,-0.0332853277551819,958,102,3854,481
