arm,retap_mode,timeframes,segment,excluded,num_trades,mean_net_r
flux_L0,every_tap,"1h,2h,4h",oos_warm,-,6276,-0.0942343714090144
flux_L0,every_tap,"1h,2h,4h",oos_warm,ADA/USDT:USDT,5883,-0.0897235730003546
flux_L0,every_tap,"1h,2h,4h",oos_warm,BCH/USDT:USDT,5772,-0.1007871268794039
flux_L0,every_tap,"1h,2h,4h",oos_warm,BNB/USDT:USDT,5842,-0.0886428545403698
flux_L0,every_tap,"1h,2h,4h",oos_warm,BTC/USDT:USDT,5886,-0.0989554488887392
flux_L0,every_tap,"1h,2h,4h",oos_warm,DOGE/USDT:USDT,5893,-0.0894951382945587
flux_L0,every_tap,"1h,2h,4h",oos_warm,DOT/USDT:USDT,5887,-0.0985747348622234
flux_L0,every_tap,"1h,2h,4h",oos_warm,ETH/USDT:USDT,5789,-0.1047242876582579
flux_L0,every_tap,"1h,2h,4h",oos_warm,LINK/USDT:USDT,5875,-0.0815446714462247
flux_L0,every_tap,"1h,2h,4h",oos_warm,LTC/USDT:USDT,5837,-0.0948691617619637
flux_L0,every_tap,"1h,2h,4h",oos_warm,SOL/USDT:USDT,5847,-0.0976816744740833
flux_L0,every_tap,"1h,2h,4h",oos_warm,TRX/USDT:USDT,5874,-0.0863852562347856
flux_L0,every_tap,"1h,2h,4h",oos_warm,XRP/USDT:USDT,5893,-0.0953437451932107
lux_L0,every_tap,"1h,2h,4h",oos_warm,-,11327,-0.1225959069988532
lux_L0,every_tap,"1h,2h,4h",oos_warm,ADA/USDT:USDT,10728,-0.1183776753753883
lux_L0,every_tap,"1h,2h,4h",oos_warm,BCH/USDT:USDT,10766,-0.1251450181849295
lux_L0,every_tap,"1h,2h,4h",oos_warm,BNB/USDT:USDT,10630,-0.1126665797624535
lux_L0,every_tap,"1h,2h,4h",oos_warm,BTC/USDT:USDT,10700,-0.1128258273763012
lux_L0,every_tap,"1h,2h,4h",oos_warm,DOGE/USDT:USDT,10632,-0.1156716487213838
lux_L0,every_tap,"1h,2h,4h",oos_warm,DOT/USDT:USDT,10680,-0.1283376224786365
lux_L0,every_tap,"1h,2h,4h",oos_warm,ETH/USDT:USDT,10602,-0.1240174245974768
lux_L0,every_tap,"1h,2h,4h",oos_warm,LINK/USDT:USDT,10655,-0.1195126506432109
lux_L0,every_tap,"1h,2h,4h",oos_warm,LTC/USDT:USDT,10673,-0.1185500360222228
