symbol,timeframe,direction,judgment_axis,lux_zones,flux_zones,lux_paired,lux_paired_share,flux_paired,flux_paired_share,overlap_ratio_p10,overlap_ratio_p50,overlap_ratio_p90,confirm_gap_bars_p50,lux_taps,flux_taps,tap_bars_both,gate_taps,gate_tap_share
BTC/USDT:USDT,1h,bullish,True,1875,783,674,0.35946666666666666,505,0.644955300127714,0.1822722272227126,0.9505723483866826,1.0,3.0,2873,1741,484,514,0.2952326249282022
BTC/USDT:USDT,1h,bearish,False,2260,725,787,0.34823008849557524,519,0.7158620689655173,0.2628948727542696,1.0,1.0,3.0,3397,1698,522,547,0.3221436984687868
BTC/USDT:USDT,2h,bullish,True,969,392,395,0.40763673890608876,286,0.7295918367346939,0.19083983948956448,0.9646462110179307,1.0,2.0,1560,947,279,298,0.3146779303062302
BTC/USDT:USDT,2h,bearish,False,1220,335,407,0.3336065573770492,259,0.7731343283582089,0.2725052388909285,0.9235908141962452,1.0,3.0,1801,772,270,273,0.3536269430051813
BTC/USDT:USDT,4h,bullish,True,541,197,189,0.34935304990757854,133,0.6751269035532995,0.19624553009323367,0.9321134492223265,1.0,2.0,812,428,128,131,0.3060747663551402
BTC/USDT:USDT,4h,bearish,False,647,166,215,0.3323029366306028,130,0.7831325301204819,0.219928203342339,0.8048514851485163,1.0,7.0,926,340,125,117,0.34411764705882353
ETH/USDT:USDT,1h,bullish,True,1940,773,686,0.35360824742268043,496,0.6416558861578266,0.18789832754450936,0.9870488601790104,1.0,3.0,2918,1726,463,468,0.2711471610660487
ETH/USDT:USDT,1h,bearish,False,2240,697,696,0.3107142857142857,504,0.7230989956958394,0.18672795030152017,0.884737449108632,1.0,5.0,3227,1542,462,478,0.3099870298313878
ETH/USDT:USDT,2h,bullish,True,1010,392,357,0.35346534653465345,261,0.6658163265306123,0.18599139494526548,0.8835858585858449,1.0,5.0,1588,806,223,218,0.2704714640198511
ETH/USDT:USDT,2h,bearish,False,1183,330,369,0.31191885038038886,235,0.7121212121212122,0.22115310364908056,0.888164026095066,1.0,5.0,1700,701,221,217,0.3095577746077033
ETH/USDT:USDT,4h,bullish,True,533,200,180,0.33771106941838647,138,0.69,0.15228412565466093,0.7972807654181708,1.0,3.0,771,408,119,112,0.27450980392156865
ETH/USDT:USDT,4h,bearish,False,641,166,169,0.26365054602184085,109,0.6566265060240963,0.20174632000118317,0.9954636565038475,1.0,5.0,889,335,108,102,0.3044776119402985
SOL/USDT:USDT,1h,bullish,True,1961,734,614,0.31310555838857723,450,0.6130790190735694,0.1746191338964399,0.9876619795974675,1.0,2.0,2761,1634,422,442,0.27050183598531213
SOL/USDT:USDT,1h,bearish,False,2220,726,660,0.2972972972972973,472,0.650137741046832,0.20532097095615517,0.9360781144071759,1.0,5.0,3001,1536,432,438,0.28515625
SOL/USDT:USDT,2h,bullish,True,967,360,291,0.30093071354705275,217,0.6027777777777777,0.2079002079002078,0.9333333333333261,1.0,4.0,1436,749,198,201,0.2683578104138852
SOL/USDT:USDT,2h,bearish,False,1203,356,383,0.3183707398171239,255,0.7162921348314607,0.1804771524771519,0.9863013698630212,1.0,6.0,1571,747,244,242,0.32396251673360105
SOL/USDT:USDT,4h,bullish,True,508,176,152,0.2992125984251969,107,0.6079545454545454,0.16829138064551136,1.0,1.0,3.0,711,365,108,105,0.2876712328767123
SOL/USDT:USDT,4h,bearish,False,645,173,201,0.3116279069767442,118,0.6820809248554913,0.1866404715127683,0.8480697384806976,1.0,5.0,830,338,106,109,0.3224852071005917
BNB/USDT:USDT,1h,bullish,True,2037,747,646,0.3171330387825233,483,0.6465863453815262,0.2034054133568691,1.0,1.0,3.0,2789,1603,461,471,0.29382407985028075
BNB/USDT:USDT,1h,bearish,False,2251,668,661,0.2936472678809418,451,0.6751497005988024,0.2467057101024962,0.9810218978102198,1.0,4.0,2995,1419,383,396,0.27906976744186046
BNB/USDT:USDT,2h,bullish,True,1012,387,316,0.31225296442687744,243,0.627906976744186,0.2381961517418752,1.0,1.0,5.0,1443,779,220,214,0.27471116816431324
BNB/USDT:USDT,2h,bearish,False,1188,323,340,0.28619528619528617,219,0.6780185758513931,0.13806162622696694,0.8722822192434543,1.0,6.0,1580,667,194,195,0.29235382308845576
BNB/USDT:USDT,4h,bullish,True,512,194,153,0.298828125,121,0.6237113402061856,0.21486229819563205,0.9205909510618634,1.0,3.0,736,381,126,129,0.33858267716535434
BNB/USDT:USDT,4h,bearish,False,585,171,176,0.30085470085470084,123,0.7192982456140351,0.21754472081177145,0.9383867896654718,1.0,5.0,794,315,95,99,0.3142857142857143
XRP/USDT:USDT,1h,bullish,True,1823,710,598,0.32803071859572136,455,0.6408450704225352,0.18754360035470788,0.9222371514947918,1.0,3.0,2737,1580,414,421,0.2664556962025316
XRP/USDT:USDT,1h,bearish,False,2407,735,814,0.3381803074366431,542,0.7374149659863946,0.24400649827873036,0.9710084033613481,1.0,4.0,3494,1602,533,576,0.3595505617977528
XRP/USDT:USDT,2h,bullish,True,929,334,307,0.3304628632938644,215,0.6437125748502994,0.2328982725527786,1.0,1.0,3.0,1365,779,206,212,0.27214377406931967
XRP/USDT:USDT,2h,bearish,False,1276,346,455,0.3565830721003135,276,0.7976878612716763,0.1991176470588256,0.9761904761904787,1.0,3.0,1950,794,280,281,0.353904282115869
XRP/USDT:USDT,4h,bullish,True,471,195,168,0.35668789808917195,128,0.6564102564102564,0.2295170704405576,0.8882760326490204,1.0,2.0,626,405,96,111,0.2740740740740741
XRP/USDT:USDT,4h,bearish,False,645,199,237,0.3674418604651163,158,0.7939698492462312,0.1916008873755332,0.9930795847750873,1.0,6.0,1020,403,161,169,0.41935483870967744
TRX/USDT:USDT,1h,bullish,True,2030,743,580,0.2857142857142857,455,0.6123822341857336,0.2743921568627571,1.0,1.0,4.0,2471,1468,424,420,0.28610354223433243
TRX/USDT:USDT,1h,bearish,False,2282,643,643,0.2817703768624014,472,0.7340590979782271,0.23973553719007507,0.9734513274336507,1.0,5.0,3276,1349,403,425,0.31504818383988137
TRX/USDT:USDT,2h,bullish,True,982,388,295,0.3004073319755601,224,0.5773195876288659,0.2155764315811275,1.0,1.0,6.0,1211,738,215,200,0.27100271002710025
TRX/USDT:USDT,2h,bearish,False,1199,321,345,0.2877397831526272,246,0.7663551401869159,0.21762048192770816,0.9639423076923083,1.0,5.0,1751,678,198,206,0.30383480825958703
TRX/USDT:USDT,4h,bullish,True,513,216,162,0.3157894736842105,130,0.6018518518518519,0.22346570397112578,1.0,1.0,2.0,576,377,94,86,0.22811671087533156
TRX/USDT:USDT,4h,bearish,False,578,159,179,0.3096885813148789,123,0.7735849056603774,0.13620323992599814,0.9136363636363544,1.0,1.0,838,319,93,89,0.27899686520376177
DOGE/USDT:USDT,1h,bullish,True,1796,688,550,0.3062360801781737,406,0.5901162790697675,0.23244572158365576,1.0,1.0,3.0,2623,1588,395,409,0.2575566750629723
DOGE/USDT:USDT,1h,bearish,False,2461,733,870,0.35351483136936207,559,0.762619372442019,0.1744228663905953,0.9746159127971844,1.0,5.0,3733,1550,542,572,0.3690322580645161
DOGE/USDT:USDT,2h,bullish,True,902,331,316,0.35033259423503327,211,0.6374622356495468,0.2124245671422959,1.0,1.0,1.5,1274,834,211,233,0.2793764988009592
DOGE/USDT:USDT,2h,bearish,False,1283,352,414,0.32268121590023385,276,0.7840909090909091,0.17458475497731699,0.94842355358634,1.0,5.0,1951,687,249,256,0.3726346433770015
DOGE/USDT:USDT,4h,bullish,True,464,175,160,0.3448275862068966,124,0.7085714285714285,0.18942982456140456,1.0,1.0,2.5,626,441,117,131,0.29705215419501135
DOGE/USDT:USDT,4h,bearish,False,658,184,223,0.33890577507598785,149,0.8097826086956522,0.16868571428571652,0.9720279720279732,1.0,3.0,1032,358,144,146,0.40782122905027934
LINK/USDT:USDT,1h,bullish,True,1977,732,578,0.29236216489630756,442,0.6038251366120219,0.21319447955108678,1.0,1.0,4.0,2636,1530,353,364,0.23790849673202613
LINK/USDT:USDT,1h,bearish,False,2234,721,657,0.29409131602506716,488,0.6768377253814147,0.179556284665269,0.9743589743589662,1.0,6.0,3019,1516,435,440,0.29023746701846964
LINK/USDT:USDT,2h,bullish,True,997,367,309,0.30992978936810434,225,0.6130790190735694,0.20778816199376615,0.9415584415584393,1.0,3.0,1393,774,206,210,0.2713178294573643
LINK/USDT:USDT,2h,bearish,False,1178,338,382,0.3242784380305603,248,0.7337278106508875,0.18456486042692846,0.8528940161480272,1.0,4.0,1628,732,213,220,0.3005464480874317
LINK/USDT:USDT,4h,bullish,True,534,191,163,0.3052434456928839,125,0.6544502617801047,0.26903241278801615,0.9448742746615068,1.0,4.0,696,404,115,120,0.297029702970297
