symbol,timeframe,detector,ruler,direction,num_taps,cancelled_taps,rank_le_1,rank_le_3,rank_le_5,rank_le_10,rank_gt_10
BTC/USDT:USDT,1h,flux,screen,bullish,1452,289,943,1304,1379,1420,32
BTC/USDT:USDT,1h,flux,tradable,bullish,1452,289,1207,1445,1452,1452,0
BTC/USDT:USDT,1h,flux,screen,bearish,1464,234,878,1298,1375,1422,42
BTC/USDT:USDT,1h,flux,tradable,bearish,1464,234,1158,1462,1464,1464,0
BTC/USDT:USDT,1h,lux,screen,bullish,2316,557,2052,2316,2316,2316,0
BTC/USDT:USDT,1h,lux,tradable,bullish,2316,557,1838,2300,2315,2316,0
BTC/USDT:USDT,1h,lux,screen,bearish,2924,473,2391,2904,2923,2924,0
BTC/USDT:USDT,1h,lux,tradable,bearish,2924,473,2085,2871,2917,2924,0
BTC/USDT:USDT,2h,flux,screen,bullish,806,141,508,725,776,795,11
BTC/USDT:USDT,2h,flux,tradable,bullish,806,141,658,801,806,806,0
BTC/USDT:USDT,2h,flux,screen,bearish,665,107,384,595,631,665,0
BTC/USDT:USDT,2h,flux,tradable,bearish,665,107,546,663,665,665,0
BTC/USDT:USDT,2h,lux,screen,bullish,1264,296,1143,1252,1263,1264,0
BTC/USDT:USDT,2h,lux,tradable,bullish,1264,296,1011,1242,1257,1264,0
BTC/USDT:USDT,2h,lux,screen,bearish,1542,259,1248,1514,1536,1542,0
BTC/USDT:USDT,2h,lux,tradable,bearish,1542,259,1060,1496,1532,1542,0
BTC/USDT:USDT,4h,flux,screen,bullish,360,68,215,323,337,359,1
BTC/USDT:USDT,4h,flux,tradable,bullish,360,68,294,360,360,360,0
BTC/USDT:USDT,4h,flux,screen,bearish,298,42,192,268,289,298,0
BTC/USDT:USDT,4h,flux,tradable,bearish,298,42,263,297,298,298,0
BTC/USDT:USDT,4h,lux,screen,bullish,657,155,591,653,657,657,0
BTC/USDT:USDT,4h,lux,tradable,bullish,657,155,513,648,657,657,0
BTC/USDT:USDT,4h,lux,screen,bearish,799,127,649,793,799,799,0
BTC/USDT:USDT,4h,lux,tradable,bearish,799,127,546,786,799,799,0
ETH/USDT:USDT,1h,flux,screen,bullish,1433,293,949,1273,1362,1406,27
ETH/USDT:USDT,1h,flux,tradable,bullish,1433,293,1208,1428,1433,1433,0
ETH/USDT:USDT,1h,flux,screen,bearish,1312,230,766,1134,1225,1285,27
ETH/USDT:USDT,1h,flux,tradable,bearish,1312,230,1058,1308,1312,1312,0
ETH/USDT:USDT,1h,lux,screen,bullish,2342,576,2040,2338,2342,2342,0
ETH/USDT:USDT,1h,lux,tradable,bullish,2342,576,1798,2318,2339,2342,0
ETH/USDT:USDT,1h,lux,screen,bearish,2778,449,2287,2757,2777,2778,0
ETH/USDT:USDT,1h,lux,tradable,bearish,2778,449,1992,2722,2774,2778,0
ETH/USDT:USDT,2h,flux,screen,bullish,672,134,429,616,639,672,0
ETH/USDT:USDT,2h,flux,tradable,bullish,672,134,560,669,672,672,0
ETH/USDT:USDT,2h,flux,screen,bearish,606,95,390,522,568,604,2
ETH/USDT:USDT,2h,flux,tradable,bearish,606,95,514,606,606,606,0
ETH/USDT:USDT,2h,lux,screen,bullish,1277,311,1122,1264,1270,1277,0
ETH/USDT:USDT,2h,lux,tradable,bullish,1277,311,1005,1259,1270,1277,0
ETH/USDT:USDT,2h,lux,screen,bearish,1452,248,1197,1447,1452,1452,0
ETH/USDT:USDT,2h,lux,tradable,bearish,1452,248,1039,1433,1450,1452,0
ETH/USDT:USDT,4h,flux,screen,bullish,333,75,212,299,317,333,0
ETH/USDT:USDT,4h,flux,tradable,bullish,333,75,268,332,333,333,0
ETH/USDT:USDT,4h,flux,screen,bearish,293,42,188,264,292,293,0
ETH/USDT:USDT,4h,flux,tradable,bearish,293,42,251,293,293,293,0
ETH/USDT:USDT,4h,lux,screen,bullish,626,145,552,621,626,626,0
ETH/USDT:USDT,4h,lux,tradable,bullish,626,145,487,618,626,626,0
ETH/USDT:USDT,4h,lux,screen,bearish,771,118,628,770,771,771,0
ETH/USDT:USDT,4h,lux,tradable,bearish,771,118,534,761,770,771,0
SOL/USDT:USDT,1h,flux,screen,bullish,1411,223,864,1261,1340,1403,8
SOL/USDT:USDT,1h,flux,tradable,bullish,1411,223,1161,1402,1410,1411,0
SOL/USDT:USDT,1h,flux,screen,bearish,1322,214,782,1191,1264,1283,39
SOL/USDT:USDT,1h,flux,tradable,bearish,1322,214,1089,1318,1321,1322,0
SOL/USDT:USDT,1h,lux,screen,bullish,2256,505,2002,2256,2256,2256,0
SOL/USDT:USDT,1h,lux,tradable,bullish,2256,505,1800,2246,2256,2256,0
SOL/USDT:USDT,1h,lux,screen,bearish,2518,483,2163,2497,2518,2518,0
SOL/USDT:USDT,1h,lux,tradable,bearish,2518,483,1876,2478,2508,2518,0
SOL/USDT:USDT,2h,flux,screen,bullish,634,115,380,544,598,613,21
SOL/USDT:USDT,2h,flux,tradable,bullish,634,115,532,633,634,634,0
SOL/USDT:USDT,2h,flux,screen,bearish,656,91,373,587,623,629,27
SOL/USDT:USDT,2h,flux,tradable,bearish,656,91,540,654,656,656,0
SOL/USDT:USDT,2h,lux,screen,bullish,1209,227,1057,1209,1209,1209,0
SOL/USDT:USDT,2h,lux,tradable,bullish,1209,227,961,1209,1209,1209,0
SOL/USDT:USDT,2h,lux,screen,bearish,1332,239,1130,1326,1332,1332,0
SOL/USDT:USDT,2h,lux,tradable,bearish,1332,239,972,1310,1331,1332,0
SOL/USDT:USDT,4h,flux,screen,bullish,311,54,179,269,293,311,0
SOL/USDT:USDT,4h,flux,tradable,bullish,311,54,266,310,310,311,0
SOL/USDT:USDT,4h,flux,screen,bearish,293,45,184,271,278,287,6
SOL/USDT:USDT,4h,flux,tradable,bearish,293,45,256,293,293,293,0
SOL/USDT:USDT,4h,lux,screen,bullish,593,118,527,593,593,593,0
SOL/USDT:USDT,4h,lux,tradable,bullish,593,118,474,591,593,593,0
SOL/USDT:USDT,4h,lux,screen,bearish,700,130,579,694,700,700,0
SOL/USDT:USDT,4h,lux,tradable,bearish,700,130,482,682,698,700,0
BNB/USDT:USDT,1h,flux,screen,bullish,1324,279,840,1219,1288,1319,5
BNB/USDT:USDT,1h,flux,tradable,bullish,1324,279,1096,1317,1323,1324,0
BNB/USDT:USDT,1h,flux,screen,bearish,1216,203,753,1101,1170,1192,24
BNB/USDT:USDT,1h,flux,tradable,bearish,1216,203,994,1214,1216,1216,0
BNB/USDT:USDT,1h,lux,screen,bullish,2183,606,1973,2181,2183,2183,0
BNB/USDT:USDT,1h,lux,tradable,bullish,2183,606,1767,2162,2182,2182,1
BNB/USDT:USDT,1h,lux,screen,bearish,2536,459,2148,2527,2536,2536,0
BNB/USDT:USDT,1h,lux,tradable,bearish,2536,459,1859,2513,2536,2536,0
BNB/USDT:USDT,2h,flux,screen,bullish,641,138,420,596,625,639,2
BNB/USDT:USDT,2h,flux,tradable,bullish,641,138,536,638,640,641,0
BNB/USDT:USDT,2h,flux,screen,bearish,565,102,369,523,542,561,4
BNB/USDT:USDT,2h,flux,tradable,bearish,565,102,488,565,565,565,0
BNB/USDT:USDT,2h,lux,screen,bullish,1130,313,1005,1130,1130,1130,0
BNB/USDT:USDT,2h,lux,tradable,bullish,1130,313,897,1124,1129,1129,1
BNB/USDT:USDT,2h,lux,screen,bearish,1343,237,1141,1342,1343,1343,0
BNB/USDT:USDT,2h,lux,tradable,bearish,1343,237,998,1336,1343,1343,0
BNB/USDT:USDT,4h,flux,screen,bullish,318,63,193,285,309,318,0
BNB/USDT:USDT,4h,flux,tradable,bullish,318,63,260,316,317,318,0
BNB/USDT:USDT,4h,flux,screen,bearish,276,39,182,257,268,276,0
BNB/USDT:USDT,4h,flux,tradable,bearish,276,39,247,276,276,276,0
BNB/USDT:USDT,4h,lux,screen,bullish,573,163,510,572,573,573,0
BNB/USDT:USDT,4h,lux,tradable,bullish,573,163,459,566,573,573,0
BNB/USDT:USDT,4h,lux,screen,bearish,689,105,584,689,689,689,0
BNB/USDT:USDT,4h,lux,tradable,bearish,689,105,502,685,689,689,0
XRP/USDT:USDT,1h,flux,screen,bullish,1295,285,924,1222,1267,1283,12
XRP/USDT:USDT,1h,flux,tradable,bullish,1295,285,1088,1285,1295,1295,0
XRP/USDT:USDT,1h,flux,screen,bearish,1307,295,828,1213,1277,1306,1
XRP/USDT:USDT,1h,flux,tradable,bearish,1307,295,1051,1299,1306,1307,0
XRP/USDT:USDT,1h,lux,screen,bullish,2159,578,1922,2154,2159,2159,0
XRP/USDT:USDT,1h,lux,tradable,bullish,2159,578,1729,2135,2156,2159,0
XRP/USDT:USDT,1h,lux,screen,bearish,2941,553,2318,2881,2929,2941,0
XRP/USDT:USDT,1h,lux,tradable,bearish,2941,553,1967,2836,2923,2941,0
XRP/USDT:USDT,2h,flux,screen,bullish,640,139,448,606,627,640,0
XRP/USDT:USDT,2h,flux,tradable,bullish,640,139,514,633,640,640,0
XRP/USDT:USDT,2h,flux,screen,bearish,662,132,415,622,655,660,2
XRP/USDT:USDT,2h,flux,tradable,bearish,662,132,524,653,660,662,0
XRP/USDT:USDT,2h,lux,screen,bullish,1090,275,975,1090,1090,1090,0
XRP/USDT:USDT,2h,lux,tradable,bullish,1090,275,859,1078,1087,1090,0
XRP/USDT:USDT,2h,lux,screen,bearish,1621,329,1269,1560,1590,1621,0
XRP/USDT:USDT,2h,lux,tradable,bearish,1621,329,1057,1526,1583,1621,0
XRP/USDT:USDT,4h,flux,screen,bullish,312,93,227,298,311,312,0
XRP/USDT:USDT,4h,flux,tradable,bullish,312,93,264,310,312,312,0
XRP/USDT:USDT,4h,flux,screen,bearish,333,70,212,301,323,333,0
XRP/USDT:USDT,4h,flux,tradable,bearish,333,70,254,332,333,333,0
XRP/USDT:USDT,4h,lux,screen,bullish,484,142,435,484,484,484,0
XRP/USDT:USDT,4h,lux,tradable,bullish,484,142,387,482,484,484,0
XRP/USDT:USDT,4h,lux,screen,bearish,853,167,641,825,850,853,0
XRP/USDT:USDT,4h,lux,tradable,bearish,853,167,546,802,847,853,0
TRX/USDT:USDT,1h,flux,screen,bullish,1189,279,744,1082,1157,1189,0
TRX/USDT:USDT,1h,flux,tradable,bullish,1189,279,994,1183,1188,1189,0
