segment,top_n,num_days,days_share,sum_net_r_top,total_net_r,share_of_total,num_trades_top,num_stops_top,min_symbols_stopped_top,num_reentry_trades_top,reentry_share_top
full,1,2132,0.00046904315196998124,-468.4492029774499,-4877.976861045085,0.09603350247895329,804,635,12,284,0.35323383084577115
full,5,2132,0.0023452157598499064,-1006.2804530869926,-4877.976861045085,0.20629053432438824,1904,1471,12,658,0.34558823529411764
full,10,2132,0.004690431519699813,-1522.2854482943121,-4877.976861045085,0.31207311794590376,2902,2235,12,965,0.33252929014472776
full,20,2132,0.009380863039399626,-2236.7361414354264,-4877.976861045085,0.4585376694378611,4602,3476,10,1434,0.3116036505867014
is,1,1423,0.0007027406886858749,-132.5641530369774,-3085.8550552807856,0.04295864538748247,282,211,12,95,0.33687943262411346
is,5,1423,0.0035137034434293743,-608.9566012150497,-3085.8550552807856,0.19733804417448245,1206,923,12,419,0.3474295190713101
is,10,1423,0.007027406886858749,-1069.4296045159333,-3085.8550552807856,0.34655859894839575,2302,1723,10,756,0.32841007819287577
is,20,1423,0.014054813773717497,-1684.6606777817053,-3085.8550552807856,0.5459299440843037,4332,3125,10,1410,0.3254847645429363
oos_warm,1,710,0.0014084507042253522,-468.4492029774498,-1792.1218057643084,0.26139361815178874,804,635,12,284,0.35323383084577115
oos_warm,5,710,0.007042253521126761,-827.9515576760347,-1792.1218057643084,0.4619951361637095,1469,1150,12,430,0.292716133424098
oos_warm,10,710,0.014084507042253521,-1062.749571286708,-1792.1218057643084,0.5930119079341619,1879,1471,10,489,0.2602448110697179
oos_warm,20,710,0.028169014084507043,-1380.0863010315563,-1792.1218057643084,0.7700851005732693,2430,1900,9,558,0.22962962962962963
oos,1,708,0.0014124293785310734,-470.29624528339525,-1811.514047719173,0.25961501423382954,784,624,12,274,0.3494897959183674
oos,5,708,0.007062146892655367,-827.8651320516992,-1811.514047719173,0.45700177323716656,1404,1112,10,418,0.29772079772079774
oos,10,708,0.014124293785310734,-1059.0559855467468,-1811.514047719173,0.5846247711300803,1806,1428,10,469,0.2596899224806202
oos,20,708,0.02824858757062147,-1376.8696899721904,-1811.514047719173,0.7600656984723738,2380,1870,9,545,0.22899159663865545
