segment,bucket,threshold,num_stops,observed_share,null_mean,null_p05,null_p95,null_max,p_value,draws,num_identical_draws
full,1h,5,29454,0.5208460650505874,0.00017960209139675427,0.0,0.0006111224281931147,0.0016636110545257012,0.004975124378109453,200,0
full,1h,8,29454,0.301724723297345,0.0,0.0,0.0,0.0,0.004975124378109453,200,0
full,4h,5,29454,0.684015753378149,0.021736606233448766,0.01643240306919264,0.027059143070550688,0.03249134243226726,0.004975124378109453,200,0
full,4h,8,29454,0.43236911794662863,2.4784409587831874e-05,0.0,0.00030556121409655736,0.0006111224281931147,0.004975124378109453,200,0
full,1d,5,29454,0.9219121341753242,0.8584825490595505,0.8480681741019895,0.8679636042642765,0.8741087797922183,0.004975124378109453,200,0
full,1d,8,29454,0.7477761933862973,0.22906107829157332,0.21141440890880694,0.247810144632308,0.25531337000067905,0.004975124378109453,200,0
is,1h,5,20555,0.5496959377280467,0.0002520068109948918,0.0,0.0011189491607881295,0.0019459985405010946,0.004975124378109453,200,0
is,1h,8,20555,0.32828995378253467,0.0,0.0,0.0,0.0,0.004975124378109453,200,0
is,4h,5,20555,0.7077596691802481,0.02403891997081002,0.017270737046947215,0.031038676720992458,0.03663342252493311,0.004975124378109453,200,0
is,4h,8,20555,0.4595475553393335,3.69739722695208e-05,0.0,0.0,0.0012648990513257116,0.004975124378109453,200,0
is,1d,5,20555,0.9294089029433228,0.8752933592799805,0.8648017513986864,0.8867915349063488,0.8940890294332279,0.004975124378109453,200,0
is,1d,8,20555,0.7683775237168572,0.2534806616395038,0.23313062515203115,0.2760885429335928,0.29005108246168815,0.004975124378109453,200,0
oos_warm,1h,5,8899,0.45420833801550736,0.00015788290819193168,0.0,0.0010113495898415553,0.002584560062928419,0.004975124378109453,200,0
oos_warm,1h,8,8899,0.24036408585234295,0.0,0.0,0.0,0.0,0.004975124378109453,200,0
oos_warm,4h,5,8899,0.6291718170580964,0.0177963816159119,0.009776379368468367,0.027418811102371054,0.03753230700078661,0.004975124378109453,200,0
oos_warm,4h,8,8899,0.3695920889987639,1.573210473086864e-05,0.0,0.0,0.001123721766490617,0.004975124378109453,200,0
oos_warm,1d,5,8899,0.9045960220249466,0.8238768400943927,0.7993032925047758,0.8439150466344533,0.8638049219013372,0.004975124378109453,200,0
oos_warm,1d,8,8899,0.7001910327003034,0.18218563883582425,0.1555230924823014,0.20923699292055287,0.2490167434543207,0.004975124378109453,200,0
oos,1h,5,8733,0.4455513569220199,0.00016317416695293713,0.0,0.0011450818733539448,0.00332073743272644,0.004975124378109453,200,0
oos,1h,8,8733,0.23313866941486316,0.0,0.0,0.0,0.0,0.004975124378109453,200,0
oos,4h,5,8733,0.6213214244818505,0.017945723119203023,0.010305736860185504,0.02576434215046376,0.042482537501431356,0.004975124378109453,200,0
oos,4h,8,8733,0.36024275735715106,2.5191801213786787e-05,0.0,0.0,0.0017176228100309172,0.004975124378109453,200,0
oos,1d,5,8733,0.9033550898889271,0.8182216878506813,0.7931982136722776,0.8407191114164663,0.8485056681552731,0.004975124378109453,200,0
oos,1d,8,8733,0.6878506813237146,0.17967307912515745,0.15275392190541623,0.21092408107179664,0.24126875071567616,0.004975124378109453,200,0
