segment,indicator,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r
full,open_cells_before,0–1,0,15224,0.3079786373199547,0.3731607987388334,-0.17634604936367176,-2684.692255512539,0.5503700267527161
full,open_cells_before,2–3,1,9015,0.1823717430004855,0.41985579589572936,-0.06592412507787318,-594.3059875770267,0.12183452371885456
full,open_cells_before,4–6,2,14167,0.2865957274639909,0.4237312063245571,-0.05295088536224358,-750.1551929269048,0.15378408186343473
full,open_cells_before,7–10,3,9216,0.18643793494092895,0.4104817708333333,-0.07527575323754415,-693.741341837207,0.14221907188148683
full,open_cells_before,11+,4,1810,0.03661595727463991,0.4,-0.08568070894552253,-155.08208319139578,0.03179229578349592
full,realized_net_r_today_before,≥ 0R,0,19903,0.40263392134649617,0.41742450886800986,-0.07691120987048308,-1530.763810052225,0.3138112077317749
full,realized_net_r_today_before,[-3R ~ 0R),1,7076,0.14314614015212818,0.4098360655737705,-0.08886258290381924,-628.791636627425,0.12890418600565137
full,realized_net_r_today_before,[-5R ~ -3R),2,3318,0.06712251173329017,0.41742013261000604,-0.06310759438110183,-209.39099815649587,0.042925787497817856
full,realized_net_r_today_before,[-10R ~ -5R),3,5866,0.11866806926687166,0.4024889191953631,-0.1007849748333247,-591.2046623722827,0.12119874267825331
full,realized_net_r_today_before,[-20R ~ -10R),4,5936,0.12008415601229973,0.3957210242587601,-0.10736471178172283,-637.3169291363067,0.1306518967373204
full,realized_net_r_today_before,< -20R,5,7333,0.14834520148891406,0.3645165689349516,-0.17462277713082763,-1280.5088247003591,0.26250817934917464
full,stops_today_before,0,0,7221,0.14607946269622915,0.42279462678299407,-0.0677486393916554,-489.21292504714364,0.10029012826074114
full,stops_today_before,1–2,1,7805,0.157893672115229,0.42664958360025623,-0.05218239655712146,-407.28360512833297,0.08349437004936314
full,stops_today_before,3–5,2,7539,0.15251254248260238,0.39249237299376577,-0.13737208375164786,-1035.6481394036732,0.2123109987819377
full,stops_today_before,6–10,3,7901,0.15983573393753034,0.4124794329831667,-0.07915723510000083,-625.4213145251066,0.12821325978801526
full,stops_today_before,11–20,4,7885,0.1595120569671468,0.4,-0.10278888458689522,-810.4903549676688,0.16615297244235333
full,stops_today_before,21+,5,11081,0.22416653180126234,0.3809222994314593,-0.13626211731550972,-1509.9205219731632,0.3095382706775807
is,open_cells_before,0–1,0,10781,0.31168868715487585,0.37250718857248866,-0.1716444183134582,-1850.4984738373928,0.5996712226229342
is,open_cells_before,2–3,1,5787,0.1673075255138917,0.42025228961465355,-0.05928034219577187,-343.0553402869318,0.1111702701978387
is,open_cells_before,4–6,2,9659,0.2792506288126283,0.4263381302412258,-0.04223348675376821,-407.93324855464715,0.13219455912440073
is,open_cells_before,7–10,3,6826,0.1973459770447252,0.4170817462642836,-0.054802488606962095,-374.08178723112326,0.12122467858331884
is,open_cells_before,11+,4,1536,0.04440718147387898,0.404296875,-0.0718009149548733,-110.28620537068538,0.03573926947150477
is,realized_net_r_today_before,≥ 0R,0,14348,0.4148139581948018,0.41448285475327573,-0.07957314173552633,-1141.7154376213318,0.3699834947424141
is,realized_net_r_today_before,[-3R ~ 0R),1,4781,0.13822313452253607,0.41413930140138044,-0.0717534186359668,-343.0530944985573,0.1111695424292513
is,realized_net_r_today_before,[-5R ~ -3R),2,2134,0.061695914886235506,0.42221180880974696,-0.046272717973246384,-98.74598015490778,0.03199955227512222
is,realized_net_r_today_before,[-10R ~ -5R),3,3838,0.11096013183382,0.39421573736321003,-0.11710862278148855,-449.4628942353531,0.14565262664109652
is,realized_net_r_today_before,[-20R ~ -10R),4,4204,0.12154153054439272,0.4008087535680305,-0.08711086390403393,-366.2140718525586,0.11867507231937566
is,realized_net_r_today_before,< -20R,5,5284,0.15276533001821388,0.38001514004542014,-0.1299514717861604,-686.6635769180716,0.22251971159273728
is,stops_today_before,0,0,5003,0.14464135996993263,0.4265440735558665,-0.05279805683640904,-264.14867835255444,0.08559983331055027
is,stops_today_before,1–2,1,5562,0.16080256729017897,0.42125134843581447,-0.06273906269823186,-348.9546667275656,0.11308200173900047
is,stops_today_before,3–5,2,5160,0.1491803752638122,0.39825581395348836,-0.11656225196108026,-601.4612201191742,0.19490909629404024
is,stops_today_before,6–10,3,5253,0.15186909132961346,0.40757662288216256,-0.08741243708596122,-459.17753201255425,0.14880074526727005
is,stops_today_before,11–20,4,5527,0.15979068489982365,0.39135154695132984,-0.11910184344009839,-658.2758886934238,0.21332041748588407
is,stops_today_before,21+,5,8084,0.2337159212466391,0.3955962394854033,-0.09325050338638174,-753.83706937551,0.2442879059032527
oos_warm,open_cells_before,0–1,0,4443,0.29933301893148284,0.37474679270763,-0.18775462112877808,-834.1937816751611,0.4654782833354297
oos_warm,open_cells_before,2–3,1,3228,0.21747625143165128,0.4191449814126394,-0.0778347730142794,-251.25064729009387,0.1401973049387342
oos_warm,open_cells_before,4–6,2,4508,0.3037121875631611,0.4181455190771961,-0.07591436210564739,-342.22194437225846,0.19095908730729755
oos_warm,open_cells_before,7–10,3,2390,0.16101866199555345,0.3916317991631799,-0.13374876761760776,-319.65955460608257,0.17836932376912473
oos_warm,open_cells_before,11+,4,274,0.018459880078151317,0.3759124087591241,-0.16348860518507388,-44.795877820710245,0.02499600064941209
oos_warm,realized_net_r_today_before,≥ 0R,0,5555,0.374250488445732,0.42502250225022503,-0.07003571060862003,-389.0483724308843,0.21708813049398826
oos_warm,realized_net_r_today_before,[-3R ~ 0R),1,2295,0.15461833861079297,0.4008714596949891,-0.12450481138512733,-285.7385421288672,0.1594414739052877
oos_warm,realized_net_r_today_before,[-5R ~ -3R),2,1184,0.07976824092164657,0.40878378378378377,-0.09345018412296305,-110.64501800158826,0.06173967508553362
oos_warm,realized_net_r_today_before,[-10R ~ -5R),3,2028,0.13663006130836083,0.4181459566074951,-0.06989239060006387,-141.74176813692952,0.07909159281529922
oos_warm,realized_net_r_today_before,[-20R ~ -10R),4,1732,0.1166880010779492,0.3833718244803695,-0.15652589912456644,-271.1028572837491,0.15127479416396494
oos_warm,realized_net_r_today_before,< -20R,5,2049,0.13804486963551843,0.32454856027330403,-0.28982198525245906,-593.8452477822887,0.3313643335359249
oos_warm,stops_today_before,0,0,2218,0.14943070807788184,0.4143372407574391,-0.10147170725635198,-225.0642466945887,0.12558535138107013
oos_warm,stops_today_before,1–2,1,2243,0.1511150037054504,0.4400356665180562,-0.026004876683356503,-58.328938400768635,0.032547418491954756
oos_warm,stops_today_before,3–5,2,2379,0.1602775719194233,0.3799915931063472,-0.18250816279297902,-434.1869192844971,0.24227533970511775
oos_warm,stops_today_before,6–10,3,2648,0.1784005928720609,0.42220543806646527,-0.06278088463464986,-166.24378251255283,0.0927636625913676
