arm,segment,zone_id,timeframe,num_cascade,num_classified,share_of_classified
base,full,real,15m,1213,34135,3.5535374249304232
base,full,real,1h,301,8896,3.383543165467626
base,full,real,2h,150,4308,3.4818941504178276
base,full,real,4h,47,2045,2.298288508557458
base,full,proxy,15m,1236,34135,3.620916947414677
base,full,proxy,1h,307,8896,3.4509892086330938
base,full,proxy,2h,150,4308,3.4818941504178276
base,full,proxy,4h,47,2045,2.298288508557458
base,is,real,15m,948,23934,3.9608924542491857
base,is,real,1h,230,6258,3.6752956216043464
base,is,real,2h,112,2958,3.786342123056119
base,is,real,4h,36,1391,2.5880661394680087
base,is,proxy,15m,967,23934,4.040277429598061
base,is,proxy,1h,234,6258,3.7392138063279
base,is,proxy,2h,112,2958,3.786342123056119
base,is,proxy,4h,36,1391,2.5880661394680087
base,oos_warm,real,15m,265,10189,2.6008440475022083
base,oos_warm,real,1h,71,2626,2.703731911652704
base,oos_warm,real,2h,38,1338,2.8400597907324365
base,oos_warm,real,4h,11,642,1.7133956386292832
base,oos_warm,proxy,15m,269,10189,2.640102070860732
base,oos_warm,proxy,1h,73,2626,2.77989337395278
base,oos_warm,proxy,2h,38,1338,2.8400597907324365
base,oos_warm,proxy,4h,11,642,1.7133956386292832
base,oos,real,15m,257,10031,2.5620576213737416
base,oos,real,1h,69,2555,2.700587084148728
base,oos,real,2h,38,1287,2.9526029526029527
base,oos,real,4h,10,613,1.631321370309951
base,oos,proxy,15m,261,10031,2.601934004585784
base,oos,proxy,1h,71,2555,2.7788649706457926
base,oos,proxy,2h,38,1287,2.9526029526029527
base,oos,proxy,4h,10,613,1.631321370309951
no_same_step_reopen,full,real,15m,45,29249,0.1538514137235461
no_same_step_reopen,full,real,1h,6,7817,0.07675578866572855
no_same_step_reopen,full,real,2h,4,3802,0.10520778537611783
no_same_step_reopen,full,real,4h,1,1899,0.0526592943654555
no_same_step_reopen,full,proxy,15m,67,29249,0.22906766043283533
no_same_step_reopen,full,proxy,1h,8,7817,0.10234105155430473
no_same_step_reopen,full,proxy,2h,4,3802,0.10520778537611783
no_same_step_reopen,full,proxy,4h,2,1899,0.105318588730911
no_same_step_reopen,is,real,15m,30,20250,0.14814814814814814
no_same_step_reopen,is,real,1h,5,5439,0.09192866335723479
no_same_step_reopen,is,real,2h,4,2615,0.15296367112810708
no_same_step_reopen,is,real,4h,1,1279,0.07818608287724785
no_same_step_reopen,is,proxy,15m,47,20250,0.23209876543209876
no_same_step_reopen,is,proxy,1h,5,5439,0.09192866335723479
no_same_step_reopen,is,proxy,2h,4,2615,0.15296367112810708
no_same_step_reopen,is,proxy,4h,2,1279,0.1563721657544957
no_same_step_reopen,oos_warm,real,15m,15,8987,0.16690775564704574
no_same_step_reopen,oos_warm,real,1h,1,2366,0.042265426880811495
no_same_step_reopen,oos_warm,real,2h,0,1175,0.0
no_same_step_reopen,oos_warm,real,4h,0,608,0.0
no_same_step_reopen,oos_warm,proxy,15m,20,8987,0.22254367419606097
no_same_step_reopen,oos_warm,proxy,1h,3,2366,0.12679628064243448
no_same_step_reopen,oos_warm,proxy,2h,0,1175,0.0
no_same_step_reopen,oos_warm,proxy,4h,0,608,0.0
no_same_step_reopen,oos,real,15m,15,8885,0.16882386043894204
no_same_step_reopen,oos,real,1h,1,2308,0.04332755632582322
no_same_step_reopen,oos,real,2h,0,1134,0.0
no_same_step_reopen,oos,real,4h,0,575,0.0
no_same_step_reopen,oos,proxy,15m,20,8885,0.22509848058525606
no_same_step_reopen,oos,proxy,1h,3,2308,0.12998266897746968
no_same_step_reopen,oos,proxy,2h,0,1134,0.0
no_same_step_reopen,oos,proxy,4h,0,575,0.0
