arm,segment,zone_id,chain_length,num_chains,num_trades
base,full,proxy,2,992,1984
base,full,proxy,3,231,693
base,full,proxy,4,62,248
base,full,proxy,5,21,105
base,full,proxy,6,2,12
base,full,proxy,7,1,7
base,full,real,2,965,1930
base,full,real,3,230,690
base,full,real,4,62,248
base,full,real,5,21,105
base,full,real,6,2,12
base,full,real,7,1,7
base,is,proxy,2,774,1548
base,is,proxy,3,175,525
base,is,proxy,4,50,200
base,is,proxy,5,16,80
base,is,proxy,6,1,6
base,is,proxy,7,1,7
base,is,real,2,751,1502
base,is,real,3,175,525
base,is,real,4,50,200
base,is,real,5,16,80
base,is,real,6,1,6
base,is,real,7,1,7
base,oos_warm,proxy,2,218,436
base,oos_warm,proxy,3,56,168
base,oos_warm,proxy,4,12,48
base,oos_warm,proxy,5,5,25
base,oos_warm,proxy,6,1,6
base,oos_warm,real,2,214,428
base,oos_warm,real,3,55,165
base,oos_warm,real,4,12,48
base,oos_warm,real,5,5,25
base,oos_warm,real,6,1,6
base,oos,proxy,2,209,418
base,oos,proxy,3,55,165
base,oos,proxy,4,12,48
base,oos,proxy,5,5,25
base,oos,proxy,6,1,6
base,oos,real,2,205,410
base,oos,real,3,54,162
base,oos,real,4,12,48
base,oos,real,5,5,25
base,oos,real,6,1,6
no_same_step_reopen,full,proxy,2,81,162
no_same_step_reopen,full,real,2,56,112
no_same_step_reopen,is,proxy,2,58,116
no_same_step_reopen,is,real,2,40,80
no_same_step_reopen,oos_warm,proxy,2,23,46
no_same_step_reopen,oos_warm,real,2,16,32
no_same_step_reopen,oos,proxy,2,23,46
no_same_step_reopen,oos,real,2,16,32
