arm,check,segment,metric,left,right,abs_diff
base,(a) 기준 팔 ≡ 채택 북 인자,full,num_trades,49432.0,49432.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,full,win_rate,0.4041106975238712,0.4041106975238712,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,full,total_return,-0.9999999999999996,-0.9999999999999996,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,full,max_drawdown,0.9999999999999996,0.9999999999999996,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,full,peak_concurrency,24.0,24.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,full,liquidation_events,0.0,0.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,num_trades,34589.0,34589.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,win_rate,0.4057359276070427,0.4057359276070427,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,total_return,-0.9999999999875891,-0.9999999999875891,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,max_drawdown,0.9999999999910006,0.9999999999910006,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,peak_concurrency,24.0,24.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,is,liquidation_events,0.0,0.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,num_trades,14843.0,14843.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,win_rate,0.4003233847604932,0.4003233847604932,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,total_return,-0.9999985857315258,-0.9999985857315258,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,max_drawdown,0.9999990779430544,0.9999990779430544,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,peak_concurrency,17.0,17.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos_warm,liquidation_events,0.0,0.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,num_trades,14534.0,14534.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,win_rate,0.3990642631071969,0.3990642631071969,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,total_return,-0.9999985524869902,-0.9999985524869902,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,max_drawdown,0.9999990865000083,0.9999990865000083,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,peak_concurrency,17.0,17.0,0.0
base,(a) 기준 팔 ≡ 채택 북 인자,oos,liquidation_events,0.0,0.0,0.0
base,(c) 기준 팔 ≡ 공개 book_trades.csv 집계,oos_warm,num_trades,14843.0,14843.0,0.0
base,(c) 기준 팔 ≡ 공개 book_trades.csv 집계,oos_warm,mean_net_r,-0.120738516860763,-0.120738516860763,0.0
base,(b) 존 식별자 누락 0건,all,trades_without_zone_key,0.0,0.0,0.0
no_same_step_reopen,(a) 기준 팔 ≡ 채택 북 인자,—,skipped_not_base_arm,0.0,0.0,0.0
no_same_step_reopen,(b) 존 식별자 누락 0건,all,trades_without_zone_key,0.0,0.0,0.0
