check,arm,segment,metric,left,right,abs_diff
b 문턱 뒤 진입이 실제로 0건,loss-10R_both,oos_warm,leaked_entries,0.0,0.0,0.0
b 문턱 뒤 진입이 실제로 0건,loss-10R_entry,oos_warm,leaked_entries,1.0,0.0,1.0
b 문턱 뒤 진입이 실제로 0건,loss-10R_reentry,oos_warm,leaked_entries,4.0,0.0,4.0
b 문턱 뒤 진입이 실제로 0건,loss-15R_both,oos_warm,leaked_entries,0.0,0.0,0.0
b 문턱 뒤 진입이 실제로 0건,loss-15R_entry,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-15R_reentry,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-1R_both,oos_warm,leaked_entries,7.0,0.0,7.0
b 문턱 뒤 진입이 실제로 0건,loss-1R_entry,oos_warm,leaked_entries,12.0,0.0,12.0
b 문턱 뒤 진입이 실제로 0건,loss-1R_reentry,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-20R_both,oos_warm,leaked_entries,8.0,0.0,8.0
b 문턱 뒤 진입이 실제로 0건,loss-20R_entry,oos_warm,leaked_entries,6.0,0.0,6.0
b 문턱 뒤 진입이 실제로 0건,loss-20R_reentry,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-2R_both,oos_warm,leaked_entries,4.0,0.0,4.0
b 문턱 뒤 진입이 실제로 0건,loss-2R_entry,oos_warm,leaked_entries,6.0,0.0,6.0
b 문턱 뒤 진입이 실제로 0건,loss-2R_reentry,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-30R_both,oos_warm,leaked_entries,3.0,0.0,3.0
b 문턱 뒤 진입이 실제로 0건,loss-30R_entry,oos_warm,leaked_entries,2.0,0.0,2.0
b 문턱 뒤 진입이 실제로 0건,loss-30R_reentry,oos_warm,leaked_entries,1.0,0.0,1.0
b 문턱 뒤 진입이 실제로 0건,loss-3R_both,oos_warm,leaked_entries,8.0,0.0,8.0
