segment,indicator,convention,bucket,order,num_trades,share_of_trades,win_rate,mean_net_r,sum_net_r,share_of_total_net_r,total_trades,zero_duration_trades,negative_raw_trades,negative_raw_min
full,open_cells_before,wan408,0–1,0,15224,0.3079786373199547,0.3731607987388334,-0.17634604936367176,-2684.692255512539,0.5503700267527161,49432,11411,9693,-131
full,open_cells_before,wan408,2–3,1,9015,0.1823717430004855,0.41985579589572936,-0.06592412507787318,-594.3059875770267,0.12183452371885456,49432,11411,9693,-131
full,open_cells_before,wan408,4–6,2,14167,0.2865957274639909,0.4237312063245571,-0.05295088536224358,-750.1551929269048,0.15378408186343473,49432,11411,9693,-131
full,open_cells_before,wan408,7–10,3,9216,0.18643793494092895,0.4104817708333333,-0.07527575323754415,-693.741341837207,0.14221907188148683,49432,11411,9693,-131
full,open_cells_before,wan408,11+,4,1810,0.03661595727463991,0.4,-0.08568070894552253,-155.08208319139578,0.03179229578349592,49432,11411,9693,-131
full,open_cells_before,interval,0–1,0,8082,0.16349732966499433,0.3740410789408562,-0.17699556694437435,-1430.4781720444334,0.29325234883093443,49432,11411,9693,-131
full,open_cells_before,interval,2–3,1,11711,0.2369113125101149,0.40696780804371957,-0.09395897730832486,-1100.3535832577925,0.22557581034159235,49432,11411,9693,-131
full,open_cells_before,interval,4–6,2,16533,0.3344594594594595,0.4119034657956814,-0.08203817276791718,-1356.3371103719749,0.27805320709975095,49432,11411,9693,-131
full,open_cells_before,interval,7–10,3,10973,0.22198171225117333,0.41018864485555456,-0.07815281102450694,-857.5707953719146,0.17580460502393114,49432,11411,9693,-131
full,open_cells_before,interval,11+,4,2133,0.04315018611425797,0.41068917018284107,-0.062464697608514905,-133.2371999989623,0.027314028703780188,49432,11411,9693,-131
full,open_cells_before,open_end,0–1,0,4783,0.09675918433403463,0.39786744720886474,-0.12351152346545305,-590.7556167352619,0.12110668696544197,49432,11411,9693,-131
full,open_cells_before,open_end,2–3,1,8223,0.16634973296649944,0.431837528882403,-0.03525253022410237,-289.8815560327938,0.05942659514188126,49432,11411,9693,-131
full,open_cells_before,open_end,4–6,2,15291,0.30933403463343584,0.4161925315545092,-0.07301738180676456,-1116.508785207237,0.22888767556966627,49432,11411,9693,-131
full,open_cells_before,open_end,7–10,3,16218,0.32808706910503316,0.3895054877296831,-0.13022537455467614,-2111.9951245277375,0.43296538394715384,49432,11411,9693,-131
full,open_cells_before,open_end,11+,4,4917,0.09946997896099692,0.37441529387838113,-0.15636277782022712,-768.8357785420568,0.15761365837584762,49432,11411,9693,-131
full,realized_net_r_today_before,strict,≥ 0R,0,19903,0.40263392134649617,0.41742450886800986,-0.07691120987048308,-1530.763810052225,0.3138112077317749,49432,11411,0,0
full,realized_net_r_today_before,strict,[-3R ~ 0R),1,7076,0.14314614015212818,0.4098360655737705,-0.08886258290381924,-628.791636627425,0.12890418600565137,49432,11411,0,0
