arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
base,멈춤 없음(채택 북),base,,,both,full,48,12,49431,0.40426048431146444,-0.09810767893188604,-4849.560677282059,-29.418246687520018,20.65579126431821,-1.4242130117928955,24,247.06611451684418,44657,False,0,2125,0.0,0,0.0,0.010620667119489186,0.10872834605137628,0.039111053752013805,0.026525960267094594,0.010883662899711209,0.03126939259741602,3.805982697688772e-06,0.0009344705524412561,2.842170943040401e-14,0.008608235529573184,6216,0,3042
base,멈춤 없음(채택 북),base,,,both,is,48,12,34606,0.4057388892099636,-0.08897984370668988,-3079.23647131371,-18.356675084331364,13.004535840445596,-1.4115594212320905,24,247.06611451684418,29832,False,0,1417,0.0,0,0.0,0.014347223024908965,0.10332706673159929,0.03700593374689341,0.025095692522377352,0.010296188468223317,0.029589944624019274,0.0,0.0013393073700853904,2.842170943040401e-14,0.009278597092494975,4625,0,2361
base,멈춤 없음(채택 북),base,,,both,oos_warm,48,12,14825,0.4008094435075885,-0.11941478623732331,-1770.324205968318,-11.06157160318877,9.956212511599691,-1.1110220468176284,16,42.65054766675442,12185,False,0,709,0.0,0,0.0,0.0019217670410435306,0.12133655327836702,0.044025035734961145,0.02986463450477969,0.012255004564201488,0.035189728284928175,1.2690288750722003e-05,-1.0540099254702407e-05,2.842170943040401e-14,0.007237420176222316,1591,0,681
base,멈춤 없음(채택 북),base,,,both,oos,48,12,14525,0.39924268502581756,-0.12415164998386354,-1803.3027160156178,-11.185677849155468,10.233882959200226,-1.093004277433091,16,69.04169611021733,12226,False,0,708,0.0,0,0.0,-0.00203153481646197,0.1221201151674018,0.04437237125284401,0.0300099993622486,0.012260644554145692,0.03546537503576395,1.4773018014194422e-05,-3.0480556150115647e-06,2.842170943040401e-14,0.007188415755405703,1509,0,683
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,full,48,12,27816,0.39671412136899625,-0.11874276702699527,-3302.9488076229004,-21.419955076653125,20.010930795455536,-1.070412730702041,21,462.5721831765947,24793,False,1564,2125,0.736,65347,1.3219841799680363,-0.008181488207755647,0.11056127881923962,0.039897241785047825,0.026858951055401408,0.010898418043738756,0.03189508504664656,6.749484681114492e-06,0.001004833403724446,2.842170943040401e-14,0.00846543289338537,15770,0,1629
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,is,48,12,19601,0.39589816846079284,-0.11597178617413452,-2273.162980799211,-14.628156684495424,13.615880829175326,-1.0743452346579776,21,462.5721831765947,16578,False,1045,1417,0.7374735356386732,44072,1.2735363809743976,-0.010254578848018009,0.10571720732611645,0.038047987207233104,0.025500370365938198,0.010279124567273548,0.030423170570906655,0.0,0.0014665546147651107,2.842170943040401e-14,0.00907321534014136,11160,0,1271
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,oos_warm,48,12,8208,0.39814814814814814,-0.12668063027390047,-1039.794613288175,-6.854740692519699,6.715115603571608,-1.0207926560301996,14,9.419555890168654,6397,False,520,709,0.7334273624823695,21291,1.4361551433389546,-0.004517090154353088,0.1221635401195474,0.04434735383088649,0.030096401833153697,0.01235655688276639,0.03543727086953932,2.2873253641554665e-05,-9.691655044003644e-05,2.842170943040401e-14,0.007199854215486801,4618,0,358
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,oos,48,12,8007,0.3960284750843012,-0.13331251592165314,-1067.4333149846766,-7.0548266393321155,6.595049162253502,-1.0697155496141153,13,114.8425993623349,6135,False,517,708,0.730225988700565,20871,1.4369018932874356,-0.010171246396983104,0.12314126952466982,0.04477218892287211,0.030274368870545156,0.012363459052115035,0.035773998784192795,2.5843478539807796e-05,-6.858958359511627e-05,2.842170943040401e-14,0.007159980571309979,4439,0,359
loss-2R_entry,하루 -2R · 신규 진입만,loss,-2.0,,entry,full,48,12,30958,0.4008656889979973,-0.10862975447779996,-3362.959939123731,-21.61537133810149,17.656643247141627,-1.2242061549043717,21,173.50893506654515,26492,False,1344,2125,0.6324705882352941,54399,1.100503732475572,0.0021940604694447186,0.11082381494724468,0.0397973167375423,0.027018452833501443,0.011099964950576469,0.03181586999968535,6.0644636568861265e-06,0.0010861459622822816,2.842170943040401e-14,0.008381223973415971,14376,0,1824
loss-2R_entry,하루 -2R · 신규 진입만,loss,-2.0,,entry,is,48,12,21829,0.40075129414998395,-0.10396536930780725,-2269.4600466201246,-14.517676916146115,11.883762716360403,-1.2216397501912082,21,173.50893506654515,17363,False,896,1417,0.6323218066337333,36558,1.0564064035138416,0.0018782353749598722,0.10584360468276717,0.0378537461542574,0.025634818165431044,0.010493695350801208,0.030267855424947174,0.0,0.001593489587330279,2.842170943040401e-14,0.008996924465678001,10185,0,1421
