arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades
base,멈춤 없음(채택 북),base,,,both,full,12,12,2601,0.4071510957324106,-0.024976559432990094,-64.96403108520724,-0.6522375871838826,0.9390064325726867,-0.6946039606958647,9,0.5809958338507996,0,True,0,671,0.0,0,0.0,0.0181831182286459,0.04315967766163604,0.015175351196039286,0.010765122004226428,0.004698618149455761,0.012132419748964817,1.791067389545275e-06,0.00038637549556025765,2.842170943040401e-14,0.026275401765819162,291,0,192
base,멈춤 없음(채택 북),base,,,both,is,12,12,1728,0.4149305555555556,-0.001740819238847526,-3.008135644728525,-0.14492544783796438,0.5385342360074312,-0.2691109276773344,9,0.11503409303031714,0,True,0,443,0.0,0,0.0,0.03732638888888883,0.0390672081277364,0.013118628379978977,0.009721287179972662,0.004481301105758263,0.010489655252632372,0.0,0.0012563362093941262,2.842170943040401e-14,0.029500411267646964,207,0,114
base,멈춤 없음(채택 북),base,,,both,oos_warm,12,12,873,0.3917525773195876,-0.070968952394592,-61.95589544047881,-0.5073121393459189,0.7810916740148319,-0.6494911624628145,8,0.2637446378257066,0,True,0,228,0.0,0,0.0,-0.019708716480288605,0.051260235914303454,0.019246390172158588,0.012831269285223558,0.0051287714730631866,0.015384077308715653,5.336272944109118e-06,-0.001335608597801627,2.842170943040401e-14,0.021820409913384027,84,0,61
base,멈춤 없음(채택 북),base,,,both,oos,12,12,823,0.3863912515188335,-0.08713061491922278,-71.70849607852034,-0.5919016373733283,0.7964702146624104,-0.7431560232597149,8,0.2568022367336139,0,True,0,227,0.0,0,0.0,-0.034640944233041086,0.05248967068618181,0.019803747052942848,0.013008991477410506,0.005080564467385867,0.015816843221065774,1.8232922469126592e-05,-0.0012387084550923248,2.842170943040401e-14,0.0212287188481445,74,0,59
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,full,12,12,1743,0.4102122776821572,-0.019159057841515087,-33.394237817760796,-0.38707151121482913,0.7999210918590012,-0.4838871173096366,9,0.18466260136000867,0,True,294,671,0.43815201192250375,1696,0.6520569011918493,0.02598639731079071,0.04514545515230572,0.01563187502139242,0.011337325494425444,0.005089772765329936,0.01249657453831721,2.6727287895623985e-06,0.0005872346040511863,2.842170943040401e-14,0.025799024181032554,590,0,128
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,is,12,12,1176,0.4200680272108844,0.008840372485016923,10.396278042379903,-0.012990871858448917,0.4815041145783745,-0.02697977330852983,9,0.09717592641263492,0,True,190,443,0.4288939051918736,1120,0.6481481481481481,0.05017006802721092,0.041329695542194,0.013516579054191574,0.01026902513787359,0.004872427529801777,0.010807856611732829,0.0,0.0018638072085941828,2.842170943040401e-14,0.02945314439076476,390,0,82
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,oos_warm,12,12,567,0.3897707231040564,-0.07723195037061845,-43.79051586014066,-0.37408063935638003,0.7039630589525672,-0.5313924283370464,8,0.17812422807588682,0,True,104,228,0.45614035087719296,576,0.6597938144329897,-0.02417232713808092,0.05305962323253774,0.020019155545957103,0.013553059567273746,0.005540562883462401,0.015999100608270037,8.216166279025151e-06,-0.0020604715387046594,2.842170943040401e-14,0.02070342147925184,200,0,36
loss-1R_entry,하루 -1R · 신규 진입만,loss,-1.0,,entry,oos,12,12,541,0.3844731977818854,-0.09457079452786178,-51.162799839573225,-0.42102666305134573,0.7101758820795168,-0.5928484389226335,8,0.1952469117446876,0,True,100,227,0.44052863436123346,528,0.6415552855407047,-0.03975877468353559,0.054812019844326376,0.020894764270494966,0.013777598007236021,0.0054117405441004435,0.01667971655099991,2.7736959689632504e-05,-0.001979536488194664,2.842170943040401e-14,0.02036625395673866,176,0,34
loss-2R_entry,하루 -2R · 신규 진입만,loss,-2.0,,entry,full,12,12,1998,0.4089089089089089,-0.02289923502207398,-45.75267157410381,-0.4756040194629871,0.7879536282022562,-0.6035939203022572,9,0.17969773979951473,0,True,174,671,0.2593144560357675,1125,0.43252595155709345,0.02266981507142546,0.04556905009349945,0.01588003244054936,0.011396349463907425,0.005048870450701236,0.01269534232470984,2.331614754858489e-06,0.0005461237988767495,2.842170943040401e-14,0.02519021382233242,494,0,146
loss-2R_entry,하루 -2R · 신규 진입만,loss,-2.0,,entry,is,12,12,1348,0.422106824925816,0.013890959478860638,18.72501337750414,0.07529168440945323,0.4202212927945423,0.17917151201156625,9,0.09178063814778623,0,True,110,443,0.24830699774266365,734,0.42476851851851855,0.055267062314540046,0.04137610283567944,0.013584183913808907,0.010305794682164733,0.004883174529103451,0.010861913457482832,0.0,0.0017410362531195191,2.842170943040401e-14,0.028131753279756484,332,0,96
