arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13779,0.4024239785180347,-0.11566746470399684,-1593.7819961563725,-9.653442749466135,9.326154680902626,-1.0350935706903623,16,470.70724377587294,11376,False,0,707,0.0,0,0.0,0.005950373494699921,0.12161783819869688,0.04410727245864382,0.029954637682089332,0.012312918773328813,0.03525452141610889,1.3653641826653144e-05,-2.5165773300873667e-05,2.842170943040401e-14,0.007197010760134758,1492,0,685,ADA/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6174,0.413508260447036,-0.09406746715722814,-580.7725422287265,-3.308375107540493,3.3624883487034105,-0.983906787012724,13,121.33644334566388,4524,False,385,707,0.5445544554455446,18731,1.3593874736918499,0.03351813021772151,0.12758559737494965,0.045772703885871124,0.03180131946150728,0.0134989415332004,0.036569428919417626,3.042510772907652e-05,-8.722153277611581e-05,2.842170943040401e-14,0.0067049763672036005,361,0,308,ADA/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9814,0.41746484613817,-0.08196721571703545,-804.426255046986,-4.310598619347113,4.40193827048361,-0.979250129028624,15,56.137966262113956,7206,False,164,707,0.23196605374823195,8262,0.5996080992815154,0.04350150030701751,0.1254687160240532,0.04499716008588324,0.031251441839359684,0.01326127810506587,0.03596059901658889,1.913018808741397e-05,-2.0893210932156512e-05,2.842170943040401e-14,0.006810208206292694,665,0,477,ADA/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,13675,0.39882998171846434,-0.12488040219129397,-1707.739499965945,-10.59689744761624,8.306907617164761,-1.2756729623090568,16,27.104636608003826,10947,False,0,708,0.0,0,0.0,-0.0029240735782180044,0.12195632861307598,0.04422725822323972,0.02993260346760653,0.012241115363593139,0.035355267685893844,8.84798941266056e-06,0.00019123588332953825,2.842170943040401e-14,0.00720558482132477,1429,0,688,BCH/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6215,0.4173773129525342,-0.08535720999298346,-530.4950601063922,-2.939737070892492,3.0453420489593657,-0.9653224575863456,13,46.59140499316258,4588,False,376,708,0.5310734463276836,18438,1.3482998171846434,0.043043168755892126,0.1284003787488753,0.04586120888968953,0.03203002148566805,0.013694146563541398,0.03665115420419064,1.9468424009353684e-05,0.00014437918177639426,2.842170943040401e-14,0.006646910422725543,356,0,308,BCH/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9704,0.41467436108821104,-0.08950253805926721,-868.532629327129,-4.564995466064583,4.178089747071317,-1.0926034964338602,14,28.898988016316537,6877,False,168,708,0.23728813559322035,8174,0.5977330895795246,0.03642964693094279,0.12593218499021067,0.04517412558335198,0.031231312209198944,0.01316894790524237,0.03610876211743977,1.2468699012585856e-05,0.00023656847596443626,2.842170943040401e-14,0.006874840847913542,631,0,476,BCH/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,14075,0.4007815275310835,-0.11764942293843529,-1655.9156278584767,-10.389213410186223,9.797747667490752,-1.0603675214721004,16,567.4723169103185,11636,False,0,708,0.0,0,0.0,0.002019447532012094,0.11966887047044743,0.0434210683820775,0.02945022360717461,0.012082200143848134,0.0347061474743422,1.3338803970861861e-05,-4.10794096647908e-06,2.842170943040401e-14,0.007353126686854379,1524,0,687,BNB/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,44,11,6377,0.41681041241963307,-0.08307453783624999,-529.7663277817662,-3.193125280849076,3.25017801704699,-0.9824462734352778,13,65.65009311871967,4881,False,384,708,0.5423728813559322,18718,1.3298756660746003,0.04178154868499503,0.12485608652124502,0.04460840340763911,0.031242143204650907,0.013407138151330305,0.03563942278405311,2.945658069928155e-05,-7.04776071277863e-05,2.842170943040401e-14,0.0068697738280530055,381,0,310,BNB/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,44,11,9973,0.4189311140078211,-0.07643546845086228,-762.2909268604495,-4.041262188637877,4.001574262037566,-1.0099180782365644,14,17.716645022695797,7371,False,175,708,0.24717514124293785,8402,0.5969449378330373,0.04716973067412717,0.1236051991249899,0.044264688495677294,0.030821992676966472,0.013125551224828407,0.03537521972653318,1.8825194614447076e-05,-1.0781936303533664e-06,2.842170943040401e-14,0.006971238786105913,663,0,480,BNB/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,44,11,14159,0.39974574475598557,-0.11947398606511178,-1691.6321686959177,-10.34104131171008,9.144690527654117,-1.1308246332052598,16,66.60575092197855,11492,False,0,706,0.0,0,0.0,-0.0005703987560512279,0.11890358730906055,0.04327565488449139,0.029285112757236907,0.011974736723687296,0.034589953975759,1.3259669884164186e-05,-0.00023513070199844704,2.842170943040401e-14,0.00740983980722546,1488,0,691,BTC/USDT:USDT
