arm,label,kind,threshold,stop_limit,scope,segment,num_cells,num_symbols,num_trades,win_rate,mean_net_r,sum_net_r,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,liquidation_events,wallet_defined,trip_days,trading_days,trip_day_share,blocked_candidates,blocked_share_of_base,gross_r,cost_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,identity_max_abs,stop_width_p50,reentry_trades,symbols_below_gate,min_symbol_trades,exclude
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,809,0.39555006180469715,-0.062344295712470243,-50.436535231388426,-0.40424042466101257,0.6874423065907055,-0.5880354188059773,7,0.18848552422525341,0,True,0,225,0.0,0,0.0,-0.010143027796405387,0.05220126791606495,0.019524525640583747,0.013145089818930342,0.005333250957136684,0.015606052276649879,5.7584255626789375e-06,-0.0014134092027983773,2.842170943040401e-14,0.02100319581402647,80,0,61,ADA/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,580,0.3931034482758621,-0.0728967942695552,-42.280140676342015,-0.3294174951877238,0.5215623358303182,-0.6315975532690581,7,0.1010962811750321,0,True,35,225,0.15555555555555556,382,0.4721878862793572,-0.015871912909123972,0.057024881360431295,0.02165386965162412,0.014457104734401049,0.005792382491168624,0.017306402162612585,8.032010827943553e-06,-0.002192909690203079,2.842170943040401e-14,0.019483515485890654,35,0,43,ADA/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,704,0.3963068181818182,-0.06200994909397379,-43.655004162157546,-0.34037345655134704,0.5579193477055989,-0.6100764527186718,7,0.11881401049104756,0,True,5,225,0.022222222222222223,117,0.1446229913473424,-0.008104700976266936,0.05390524811770696,0.02026859375734537,0.013576606368370171,0.005467547925235862,0.016200150286727163,6.617281648021677e-06,-0.0016142675016196416,2.842170943040401e-14,0.020624927676221764,44,0,55,ADA/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,785,0.38980891719745225,-0.07609794835165173,-59.73688945604661,-0.48470255483536084,0.7429491493341505,-0.6524034050914027,7,0.19648174115408207,0,True,0,213,0.0,0,0.0,-0.0244658719583337,0.05163207639331808,0.019401575565043846,0.012849234591674648,0.005083711191264564,0.015507565342472987,5.9344793378436435e-06,-0.001215944776475798,2.842170943040401e-14,0.021979765958144375,68,0,61,BCH/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,553,0.39059674502712477,-0.07844287483949929,-43.378909786243106,-0.320415676298801,0.538170820265393,-0.5953791328574662,7,0.11290974604454361,0,True,34,213,0.1596244131455399,382,0.48662420382165605,-0.022071807391124573,0.05637106744837475,0.021460161957124607,0.01410209420630562,0.00551361506197662,0.017151121330430053,8.424170488620725e-06,-0.0018643492779508322,2.842170943040401e-14,0.02070342147925184,26,0,41,BCH/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,683,0.39824304538799415,-0.05627465619196081,-38.435590179109234,-0.2756379046486293,0.5501223027109009,-0.5010484092179807,7,0.11572335028841121,0,True,4,213,0.018779342723004695,110,0.14012738853503184,-0.003229442880368815,0.05304521331159197,0.019950366498071446,0.013255303626643752,0.005274511138838199,0.015945492310600256,6.820741259454261e-06,-0.0013872810038211445,2.842170943040401e-14,0.021820409913384027,35,0,55,BCH/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,797,0.3889585947302384,-0.07713980092946719,-61.480421340785355,-0.5280359263753358,0.7580356862238544,-0.6965845223009756,7,0.212085904655535,0,True,0,220,0.0,0,0.0,-0.026606912782047555,0.05053288814741971,0.018918281181582303,0.01270857311930256,0.005135939264112354,0.015121212505718172,5.8451270767970645e-06,-0.001356963050372464,2.842170943040401e-14,0.021905402706831105,79,0,61,BNB/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,576,0.3923611111111111,-0.07267568795377047,-41.86119626137179,-0.3406061521122394,0.5108676823867103,-0.6667208826382788,7,0.12003663908823377,0,True,34,220,0.15454545454545454,361,0.45294855708908405,-0.01771824563765949,0.054957442316111035,0.020807817231676004,0.013965080065163714,0.005638409523364851,0.016629842869769065,8.087788680915383e-06,-0.002091795162543578,2.842170943040401e-14,0.020683390229695314,35,0,44,BNB/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,697,0.39741750358680056,-0.05739175623184885,-40.002054093598645,-0.3138325971189331,0.5637671156459065,-0.5566706329782571,7,0.12334475844642383,0,True,4,220,0.01818181818181818,110,0.13801756587202008,-0.005316656366272444,0.05207509986557644,0.019524820922134475,0.013140702039364117,0.005329710339236176,0.015605363070057575,6.683739282937246e-06,-0.0015321802444988697,2.842170943040401e-14,0.021758881775099406,44,0,55,BNB/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,811,0.38964241676942046,-0.07453375405754488,-60.4468745406689,-0.49195111367945366,0.7033788608766348,-0.6994112860689691,7,0.17450195586682185,0,True,0,225,0.0,0,0.0,-0.024914561636611536,0.04961919242093352,0.018898591300507705,0.012562998358615098,0.0049985789260838355,0.015105569379127883,5.744224759811665e-06,-0.0019522897681608306,2.842170943040401e-14,0.021979765958144375,80,0,61,BTC/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,578,0.3806228373702422,-0.10112085885009466,-58.447856415354714,-0.48738552036472393,0.5984138816934766,-0.814462256432707,7,0.14376236567438447,0,True,32,225,0.14222222222222222,359,0.44266337854500615,-0.047068701535107074,0.05405215731498765,0.020944770660035476,0.013772050757316434,0.005384728752994289,0.01673937881651327,8.059803252953739e-06,-0.0027968314751248566,2.842170943040401e-14,0.021018874498582075,33,0,43,BTC/USDT:USDT
loss-10R_both,하루 -10R · 둘 다,loss,-10.0,,both,oos_warm,11,11,704,0.3991477272727273,-0.05227571325602057,-36.80210213223848,-0.2602483018778277,0.4809939451521898,-0.5410635715912876,7,0.10393746054764555,0,True,4,225,0.017777777777777778,117,0.1442663378545006,-0.0010024282489942164,0.051273285007026374,0.01955557413865664,0.013069698277170827,0.005247268136057492,0.015630019799623588,6.617281648021677e-06,-0.002235892626130221,2.842170943040401e-14,0.02186038616180732,44,0,55,BTC/USDT:USDT
base,멈춤 없음(채택 북),base,,,both,oos_warm,11,11,795,0.38742138364779877,-0.08334318226639646,-66.25782990178519,-0.5265969612866238,0.7166874784495006,-0.7347651202528006,8,0.19857596725133916,0,True,0,220,0.0,0,0.0,-0.03144654088050328,0.051896641385893325,0.019799160242566123,0.012910215459314811,0.004984262054111362,0.01583140852995769,0.0,-0.0016284049000566654,2.842170943040401e-14,0.021710183306720063,73,0,61,DOGE/USDT:USDT
loss-3R_both,하루 -3R · 둘 다,loss,-3.0,,both,oos_warm,11,11,567,0.37918871252204583,-0.10940344611275522,-62.03175394593221,-0.48795183268075853,0.5964581666153282,-0.8180822394463947,8,0.14415242414010987,0,True,33,220,0.15,363,0.45660377358490567,-0.052028218694885435,0.057375227417869906,0.022191682864075087,0.014223927189940368,0.005336848400570383,0.01774446961811637,0.0,-0.0021217006548323713,2.842170943040401e-14,0.01980216650026059,30,0,41,DOGE/USDT:USDT
