arm,label,combine_obs,retap_mode,segment,adopted_arm,num_cells,num_symbols,num_trades,win_rate,mean_net_r,gross_r,slippage_r,entry_fee_r,take_profit_fee_r,stop_fee_r,other_fee_r,funding_r,cost_r,identity_max_abs,stop_width_p50,stop_width_p90,entry_in_zone_p50,retap_trades,retap_trade_share,reentry_trades,zone_retap_and_reentry,total_return_flat,max_drawdown,return_over_mdd,peak_concurrency,max_concurrent_risk,max_effective_concurrent_risk,liquidation_events,symbols_below_gate,min_symbol_trades,net_r_stderr,long_trades,short_trades,long_win_rate,short_win_rate,long_mean_net_r,short_mean_net_r,long_net_r_sum,short_net_r_sum,btc_return_corr,btc_days
long_only,롱 온리(채택 북),False,every_tap,full,True,48,12,49237,0.4040457379612893,-0.0985068921254742,0.010083680898175556,0.03907452976045706,0.026482948018681656,0.010855152850676755,0.031240173017714618,3.820978750318941e-06,0.0009339483973686503,0.10859057302365072,2.842170943040401e-14,0.008627994063998426,0.02686551845065631,-0.007778409090906297,15800,0.3208968864878039,6005,2387,-29.421737282700878,20.971504959896244,-1.4029387656710375,24,148.90418120944162,148.90418120944162,44447,0,3030,0.005737463475368035,49237,0,0.4040457379612893,,-0.0985068921254742,,-4850.183847581973,0.0,0.355318438436655,2125
long_only,롱 온리(채택 북),False,every_tap,is,True,48,12,34471,0.40561631516347074,-0.08913431048464886,0.014040787908676848,0.03696030887550629,0.02505183511590882,0.010270519723286409,0.029553462976858107,0.0,0.0013389717017660357,0.10317509839332605,2.842170943040401e-14,0.009303969296167065,0.028859333519712968,-0.0074199999999987176,10979,0.31849960836645297,4475,1772,-18.30474366173135,13.159834425472187,-1.390955468733001,24,148.90418120944162,148.90418120944162,29681,0,2349,0.006849514473262043,34471,0,0.40561631516347074,,-0.08913431048464886,,-3072.5488167163307,0.0,0.3371460426394519,1417
long_only,롱 온리(채택 북),False,every_tap,oos_warm,True,48,12,14766,0.4003792496275227,-0.12038703987983271,0.0008458754153779288,0.04401014591413008,0.029823859089484945,0.012219969898914036,0.03517777167803994,1.274099490244167e-05,-1.1572280261170891e-05,0.12123291529521077,2.842170943040401e-14,0.007255331008671369,0.021284103893478522,-0.008778195488719389,4822,0.3265610185561425,1530,615,-11.11699362096965,10.003860996790737,-1.1112703009903886,16,81.6013790544761,81.6013790544761,12147,0,681,0.010501997697459842,14766,0,0.4003792496275227,,-0.12038703987983271,,-1777.6350308656097,0.0,0.4439004065160737,709
long_only,롱 온리(채택 북),False,every_tap,oos,True,48,12,14471,0.39879759519038077,-0.12516112297902873,-0.003144775289137594,0.0443576274975187,0.02996856329617877,0.01222488334211147,0.035453530801995065,1.4828145024958467e-05,-3.0853929379428644e-06,0.12201634768989136,2.842170943040401e-14,0.007202142497635458,0.02073831785749651,-0.008951552795034352,4704,0.325063920945339,1454,585,-11.241943119987914,10.283168547113432,-1.0932372710300093,16,36.60900952368801,36.60900952368801,12180,0,683,0.010603668720032445,14471,0,0.39879759519038077,,-0.12516112297902873,,-1811.206610629525,0.0,0.4503848361988881,708
short_only,숏만,False,every_tap,full,False,48,12,42213,0.4025063369104304,-0.10764961478067246,0.0062555112595550424,0.04255100427418418,0.02842848861217433,0.011406835800246562,0.03405184846337117,5.975357689629196e-06,-0.0025390264674375247,0.11390512604022777,2.842170943040401e-14,0.007808173997041746,0.023043098894554012,-0.007421779548471962,13541,0.3207779593963945,3507,1354,-27.125491468101217,20.00047642006306,-1.3562422663537579,18,21.3122161865941,21.3122161865941,40414,0,2364,0.006216430782905892,0,42213,,0.4025063369104304,,-0.10764961478067246,0.0,-4544.213188736527,-0.3590156142834573,2108
short_only,숏만,False,every_tap,is,False,48,12,29114,0.4021432987566119,-0.10404337387304113,0.005326031815217056,0.04100936342859272,0.027415172049391923,0.011010361471589616,0.03282004010983725,3.854378412018139e-06,-0.002889385749565384,0.10936940568825865,2.842170943040401e-14,0.008227980493322547,0.02451385799547955,-0.007139354838709385,9261,0.3180943875798585,2454,960,-18.614770033984648,13.827241036222366,-1.3462389196240008,18,21.3122161865941,21.3122161865941,27315,0,1828,0.0074734562017386595,0,29114,,0.4021432987566119,,-0.10404337387304113,0.0,-3029.1187869397195,-0.3621684476525447,1410
short_only,숏만,False,every_tap,oos_warm,False,48,12,13105,0.40305227012590616,-0.11640657455430344,0.007597397695505314,0.045992809678291634,0.0306771601215097,0.012278516770652155,0.036793397420941905,1.9247445566754462e-05,-0.0017571591871541519,0.12400397224980828,2.842170943040401e-14,0.007042289563399067,0.01993950725215285,-0.008145886344360998,4282,0.32674551697825255,1051,391,-8.605653263643047,8.195964083244867,-1.0499866978719092,18,3.805596751939246,3.805596751939246,11878,0,535,0.011192664251586543,0,13105,,0.40305227012590616,,-0.11640657455430344,0.0,-1525.5081595341464,-0.3852786159888728,699
short_only,숏만,False,every_tap,oos,False,48,12,12335,0.40543169841913257,-0.11233853761419545,0.013543891106574559,0.04665686978997472,0.03114805552074362,0.012482598826530585,0.037323709631853434,2.044894804639783e-05,-0.0017492539963795386,0.1258824287207695,2.842170943040401e-14,0.0069088576767189535,0.019166343784681183,-0.007819167222001554,3994,0.3237940818808269,912,355,-7.422031031692095,6.772421127634796,-1.095919892135262,18,286.5738273082123,286.5738273082123,11129,0,516,0.011557958889590205,0,12335,,0.40543169841913257,,-0.11233853761419545,0.0,-1385.695861471101,-0.3892331552717463,699
both,롱+숏 한 지갑,False,every_tap,full,False,48,12,83470,0.40239607044447107,-0.10344426759580297,0.005980255905665565,0.040124337904550215,0.026948239376481466,0.010899311796226094,0.03209456421641879,4.172208728418506e-06,-0.0006461020009353877,0.10942452350146856,2.842170943040401e-14,0.008406367093975586,0.025725052838173584,-0.007649999999997929,27351,0.3276746136336408,9203,3595,-50.86122379566853,39.843497096245734,-1.2765250919819722,24,61.65271012480898,61.65271012480898,81504,0,4952,0.004409190539580697,45494,37976,0.40367960610190357,0.40085843690752054,-0.09769144863520511,-0.1103359556565128,-4444.374764210022,-4190.11825201173,0.007027846051696727,2135
both,롱+숏 한 지갑,False,every_tap,is,False,48,12,58114,0.40239873352376365,-0.09839467202195162,0.00600567219861636,0.038301489904907796,0.025685768434708465,0.010366889740065726,0.03063864142645301,1.8578070546342456e-06,-0.0005943030926201341,0.10440034422056789,2.842170943040401e-14,0.009000764560313138,0.02764454513025607,-0.0073339393939396555,18845,0.32427642220463226,6709,2626,-34.06025947504,26.673797593866613,-1.2769182698931416,24,61.65271012480898,61.65271012480898,56148,0,3842,0.005276034275049742,31991,26123,0.4053014910443562,0.3988439306358382,-0.08810874378652518,-0.1109911245802183,-2818.6868224747273,-2899.4211474090425,-0.011748658827620731,1423
