scope,unit,offset_ms,segment,bin,bins,lo,hi,n,stops,stop_rate,mean_net_r,net_r_stderr
self,coin,-86400000,is,0,5,-0.6162511706,-0.02718165331,2996,1722,0.5747663551,-0.03949874297,0.02340398933
self,coin,-86400000,is,1,5,-0.02718165331,-0.006140022818,2997,1774,0.5919252586,-0.09065507187,0.02329558776
self,coin,-86400000,is,2,5,-0.006140022818,0.01063867193,2990,1760,0.5886287625,-0.08565440469,0.02340514958
self,coin,-86400000,is,3,5,0.01063867193,0.03501600027,3001,1695,0.5648117294,-0.02197501401,0.02354860843
self,coin,-86400000,is,4,5,0.03501600027,0.5317701101,2998,1696,0.5657104736,-0.0141160114,0.02345822354
self,coin,-86400000,oos_warm,0,5,-0.6162511706,-0.02718165331,1622,954,0.588162762,-0.08054463424,0.03170216057
self,coin,-86400000,oos_warm,1,5,-0.02718165331,-0.006140022818,2008,1141,0.5682270916,-0.04018425608,0.02885611441
self,coin,-86400000,oos_warm,2,5,-0.006140022818,0.01063867193,2254,1323,0.5869565217,-0.09033265182,0.0270597116
self,coin,-86400000,oos_warm,3,5,0.01063867193,0.03501600027,2415,1383,0.5726708075,-0.05065400599,0.02626890271
self,coin,-86400000,oos_warm,4,5,0.03501600027,0.5317701101,1776,1015,0.571509009,-0.03311493022,0.03046413812
self,coin,-43200000,is,0,5,-0.5513301492,-0.02152488381,2996,1755,0.5857810414,-0.06731325012,0.02332509648
self,coin,-43200000,is,1,5,-0.02152488381,-0.005093667936,2997,1762,0.5879212546,-0.08194469598,0.02335296291
self,coin,-43200000,is,2,5,-0.005093667936,0.007369355485,2996,1717,0.5730974633,-0.04426630843,0.02348459392
self,coin,-43200000,is,3,5,0.007369355485,0.02457638308,2996,1697,0.5664218959,-0.0268178101,0.02354073737
self,coin,-43200000,is,4,5,0.02457638308,0.4142883122,2997,1716,0.5725725726,-0.03142415859,0.02342925253
self,coin,-43200000,oos_warm,0,5,-0.5513301492,-0.02152488381,1390,801,0.5762589928,-0.04938491656,0.03440448863
self,coin,-43200000,oos_warm,1,5,-0.02152488381,-0.005093667936,2077,1209,0.5820895522,-0.07619559988,0.02825746369
self,coin,-43200000,oos_warm,2,5,-0.005093667936,0.007369355485,2336,1338,0.5727739726,-0.05448494598,0.02673838692
self,coin,-43200000,oos_warm,3,5,0.007369355485,0.02457638308,2353,1364,0.5796855079,-0.06704952202,0.02648454254
self,coin,-43200000,oos_warm,4,5,0.02457638308,0.4142883122,1919,1104,0.5752996352,-0.04384422437,0.02929616449
self,coin,-21600000,is,0,5,-0.5346858501,-0.01416891757,2997,1776,0.5925925926,-0.08196094375,0.02324516487
self,coin,-21600000,is,1,5,-0.01416891757,-0.002378136385,2996,1710,0.5707610147,-0.03891298858,0.02350974764
self,coin,-21600000,is,2,5,-0.002378136385,0.006338878162,2996,1743,0.5817757009,-0.07052005316,0.02343580731
self,coin,-21600000,is,3,5,0.006338878162,0.01908789948,2996,1727,0.576435247,-0.05104457761,0.02345974263
self,coin,-21600000,is,4,5,0.01908789948,0.2563762963,2997,1691,0.5642308976,-0.009335027571,0.02347496195
self,coin,-21600000,oos_warm,0,5,-0.5346858501,-0.01416891757,1346,771,0.572808321,-0.03625405385,0.03495249446
self,coin,-21600000,oos_warm,1,5,-0.01416891757,-0.002378136385,2078,1188,0.5717035611,-0.04978869962,0.02834467601
self,coin,-21600000,oos_warm,2,5,-0.002378136385,0.006338878162,2307,1293,0.5604681404,-0.0250382301,0.02701943276
self,coin,-21600000,oos_warm,3,5,0.006338878162,0.01908789948,2339,1367,0.5844377939,-0.08055573573,0.02655885553
self,coin,-21600000,oos_warm,4,5,0.01908789948,0.2563762963,2005,1197,0.5970074813,-0.09857495444,0.02840528054
self,coin,-7200000,is,0,5,-0.532602191,-0.006857721787,2997,1781,0.5942609276,-0.08234761077,0.02318965806
self,coin,-7200000,is,1,5,-0.006857721787,-0.0006980743492,2996,1693,0.5650867824,-0.02731936381,0.023578354
self,coin,-7200000,is,2,5,-0.0006980743492,0.004269578867,2996,1749,0.5837783712,-0.07488000564,0.02340833207
self,coin,-7200000,is,3,5,0.004269578867,0.01219446622,2996,1688,0.5634178905,-0.01905632699,0.02356611882
self,coin,-7200000,is,4,5,0.01219446622,0.2250634283,2997,1736,0.5792459126,-0.0481571964,0.0233824019
self,coin,-7200000,oos_warm,0,5,-0.532602191,-0.006857721787,1535,883,0.5752442997,-0.03835409708,0.0326621511
self,coin,-7200000,oos_warm,1,5,-0.006857721787,-0.0006980743492,1900,1087,0.5721052632,-0.05308906033,0.02966554368
self,coin,-7200000,oos_warm,2,5,-0.0006980743492,0.004269578867,2323,1341,0.5772707706,-0.06945803185,0.02680092532
self,coin,-7200000,oos_warm,3,5,0.004269578867,0.01219446622,2241,1253,0.5591253905,-0.0149859981,0.02734463188
self,coin,-7200000,oos_warm,4,5,0.01219446622,0.2250634283,2076,1252,0.6030828516,-0.1162848445,0.0278570083
self,coin,-3600000,is,0,5,-0.5395609736,-0.004648114555,2997,1768,0.5899232566,-0.07175445853,0.02322436051
self,coin,-3600000,is,1,5,-0.004648114555,-0.0004003328504,2995,1761,0.5879799666,-0.08379179342,0.02336383993
self,coin,-3600000,is,2,5,-0.0004003328504,0.003008128284,2997,1684,0.5618952286,-0.02254527976,0.02363956385
self,coin,-3600000,is,3,5,0.003008128284,0.00941091422,2996,1680,0.5607476636,-0.01057057034,0.02354092942
self,coin,-3600000,is,4,5,0.00941091422,0.1551383883,2997,1754,0.5852519186,-0.06311738669,0.02334900126
self,coin,-3600000,oos_warm,0,5,-0.5395609736,-0.004648114555,1476,847,0.5738482385,-0.03721313635,0.03337577846
self,coin,-3600000,oos_warm,1,5,-0.004648114555,-0.0004003328504,1889,1094,0.5791424034,-0.07106799582,0.02970327407
self,coin,-3600000,oos_warm,2,5,-0.0004003328504,0.003008128284,2172,1223,0.5630755064,-0.03203908423,0.02779670379
self,coin,-3600000,oos_warm,3,5,0.003008128284,0.00941091422,2363,1342,0.5679221329,-0.03832447549,0.02657545977
self,coin,-3600000,oos_warm,4,5,0.00941091422,0.1551383883,2175,1310,0.6022988506,-0.1134533613,0.02721878404
self,coin,-1800000,is,0,5,-0.5174751282,-0.003217578167,2997,1729,0.5769102436,-0.03807115707,0.02334350984
