symbol,first_listed_day,last_listed_day,wanted_days,listed_in_window,missing_in_window,missing_before_first,files_read,snapshots,min_gap_ms,gaps_regular,gaps_longer,raw_rows,duplicate_rows,conflicting_rows,files_with_duplicates,offgrid_rows,spill_rows,zero_rows,files_shifted,files_short,missing_snapshots_in_files
BTCUSDT,2020-09-01,2026-09-13,2139,2139,0,0,2139,614913,300000,614488,424,686909,71511,0,250,0,0,485,872,95,1119
ETHUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488090,300000,488010,79,488308,0,0,0,0,0,218,872,31,358
SOLUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488081,300000,488005,75,488291,0,0,0,2,1,207,872,35,367
BNBUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488104,300000,488038,65,488308,0,0,0,5,1,198,872,31,344
XRPUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488101,300000,488033,67,488307,0,0,0,0,0,206,872,32,347
TRXUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488116,300000,488070,45,488300,0,0,0,0,0,184,872,30,332
DOGEUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488102,300000,488046,55,488308,0,0,0,0,0,206,872,31,346
LINKUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488105,300000,488056,48,488308,0,0,0,2,1,200,872,31,343
LTCUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488074,300000,487982,91,488265,0,0,0,4,1,186,872,32,374
ADAUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488092,300000,488036,55,488308,0,0,0,0,0,216,872,31,356
DOTUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488114,300000,488073,40,488308,0,0,0,0,0,194,872,28,334
BCHUSDT,2021-12-01,2026-09-13,2139,1696,443,443,1696,488063,300000,487979,83,488271,0,0,0,4,1,203,872,32,385
