name,value,reference,diff
"(a-1) WAN-375 첫 탭·가드 통과 oos_warm(데이터 끝 포함) ≡ 이슈가 인용한 10,274",10274,10274,0
(a-2) 모집단 ≡ 그 집합 − 데이터 끝(익절 켠 판이 미결),10272,10272,0
(b) net R 평균 ≡ WAN-375 _ev_at · 15m,-0.07092325072,-0.07092325072,1.249000903e-16
(b) net R 평균 ≡ WAN-375 _ev_at · 1h,-0.05588844425,-0.05588844425,-5.551115123e-17
(b) net R 평균 ≡ WAN-375 _ev_at · 2h,-0.03028444247,-0.03028444247,-1.734723476e-17
(b) net R 평균 ≡ WAN-375 _ev_at · 4h,0.01577965572,0.01577965572,-6.938893904e-18
(c-1) 라벨링 후 셋업 원열 불일치 행,0,0,0
(c-2) net R 최대 절대차(CSV 왕복 끝자리 1e-12까지 허용),0,0,0
(d) 0점 변화율 ≠ 0인 (셋업 × 판) 수,0,0,0
(e) 기준점 지연 최댓값(ms) · entry — 간격 미만 · 음수 없음,240000,300000,0
(e) 기준점 지연 최댓값(ms) · exit — 간격 미만 · 음수 없음,240000,300000,0
(f) 같은 시각인데 값이 다른 중복 행(전 종목),0,0,0
(g) BTC 셋업 자기 범위 ≠ BTC 범위인 (셋업 × 점) 수,0,0,0
(h) 변화율 ≤ −100%인 (셋업 × 판 × 점) 수,0,0,0
(i) 판정 점 데이터 시각 > 체결 시각인 셋업 수(인과 위반),0,0,0
"(j) 시각 검산 — 보정 뒤 최적 시차 ≠ 0분인 (종목, 날) · 대조 60칸",0,0,0
