align,symbol,segment,reason,n,n_total
entry,ADAUSDT,is,no_anchor,656,1992
entry,ADAUSDT,is,hole_self,34,1992
entry,ADAUSDT,is,hole_btc,2,1992
entry,ADAUSDT,oos_warm,no_anchor,1,909
entry,ADAUSDT,oos_warm,hole_self,10,909
entry,ADAUSDT,oos_warm,hole_btc,0,909
exit,ADAUSDT,is,no_anchor,656,1992
exit,ADAUSDT,is,hole_self,34,1992
exit,ADAUSDT,is,hole_btc,2,1992
exit,ADAUSDT,oos_warm,no_anchor,0,909
exit,ADAUSDT,oos_warm,hole_self,10,909
exit,ADAUSDT,oos_warm,hole_btc,0,909
entry,BCHUSDT,is,no_anchor,657,1931
entry,BCHUSDT,is,hole_self,43,1931
entry,BCHUSDT,is,hole_btc,4,1931
entry,BCHUSDT,oos_warm,no_anchor,1,912
entry,BCHUSDT,oos_warm,hole_self,6,912
entry,BCHUSDT,oos_warm,hole_btc,0,912
exit,BCHUSDT,is,no_anchor,657,1931
exit,BCHUSDT,is,hole_self,47,1931
exit,BCHUSDT,is,hole_btc,3,1931
exit,BCHUSDT,oos_warm,no_anchor,1,912
exit,BCHUSDT,oos_warm,hole_self,6,912
exit,BCHUSDT,oos_warm,hole_btc,0,912
entry,BNBUSDT,is,no_anchor,659,1828
entry,BNBUSDT,is,hole_self,27,1828
entry,BNBUSDT,is,hole_btc,0,1828
entry,BNBUSDT,oos_warm,no_anchor,0,770
entry,BNBUSDT,oos_warm,hole_self,9,770
entry,BNBUSDT,oos_warm,hole_btc,0,770
exit,BNBUSDT,is,no_anchor,658,1828
exit,BNBUSDT,is,hole_self,29,1828
exit,BNBUSDT,is,hole_btc,0,1828
exit,BNBUSDT,oos_warm,no_anchor,0,770
exit,BNBUSDT,oos_warm,hole_self,9,770
exit,BNBUSDT,oos_warm,hole_btc,0,770
entry,BTCUSDT,is,no_anchor,24,1697
entry,BTCUSDT,is,hole_self,159,1697
entry,BTCUSDT,is,hole_btc,0,1697
entry,BTCUSDT,oos_warm,no_anchor,3,720
entry,BTCUSDT,oos_warm,hole_self,15,720
entry,BTCUSDT,oos_warm,hole_btc,0,720
exit,BTCUSDT,is,no_anchor,24,1697
exit,BTCUSDT,is,hole_self,173,1697
exit,BTCUSDT,is,hole_btc,0,1697
exit,BTCUSDT,oos_warm,no_anchor,0,720
exit,BTCUSDT,oos_warm,hole_self,19,720
exit,BTCUSDT,oos_warm,hole_btc,0,720
entry,DOGEUSDT,is,no_anchor,565,1801
entry,DOGEUSDT,is,hole_self,22,1801
