scope,unit,offset_ms,dropped,n_stop,n_tp,delta,z,full_delta,sign_kept
self,coin,-86400000,ADAUSDT,5298,3879,-0.001675301449,1.702630814,-0.002057375843,True
self,coin,-43200000,ADAUSDT,5298,3879,0.0007433669353,1.119997909,0.0004108647234,True
self,coin,-21600000,ADAUSDT,5298,3879,0.001719403891,3.282976206,0.001259874314,True
self,coin,-7200000,ADAUSDT,5298,3879,0.0009780825008,2.617024282,0.0006981595297,True
self,coin,-3600000,ADAUSDT,5298,3879,0.001062250322,3.540129933,0.0008610310438,True
self,coin,-1800000,ADAUSDT,5298,3879,0.0008909002659,3.508466604,0.000782389081,True
self,coin,-300000,ADAUSDT,5298,3879,7.187795659e-06,0.0457210734,-3.166905846e-06,False
self,usdt,-86400000,ADAUSDT,5298,3879,0.02292866624,8.188440291,0.02515943317,True
self,usdt,-43200000,ADAUSDT,5298,3879,0.0266706151,9.363245831,0.0287019601,True
self,usdt,-21600000,ADAUSDT,5298,3879,0.02775246918,10.13773252,0.0297971118,True
self,usdt,-7200000,ADAUSDT,5298,3879,0.02428501639,10.15053482,0.0262820967,True
self,usdt,-3600000,ADAUSDT,5298,3879,0.02419906196,10.17881934,0.02626371154,True
self,usdt,-1800000,ADAUSDT,5298,3879,0.02414641884,10.25579356,0.02629085619,True
self,usdt,-300000,ADAUSDT,5298,3879,0.01356632324,8.431484308,0.01458579518,True
btc,coin,-86400000,ADAUSDT,5298,3879,0.002460207665,3.72163451,0.002515522051,True
btc,coin,-43200000,ADAUSDT,5298,3879,0.001377185668,2.681940957,0.001569918634,True
btc,coin,-21600000,ADAUSDT,5298,3879,0.001937010465,4.454145119,0.001966887277,True
btc,coin,-7200000,ADAUSDT,5298,3879,0.001180432524,4.438719267,0.0011943967,True
btc,coin,-3600000,ADAUSDT,5298,3879,0.0009326816525,4.408808742,0.000919091142,True
btc,coin,-1800000,ADAUSDT,5298,3879,0.0007865030928,4.577670535,0.0007778655766,True
btc,coin,-300000,ADAUSDT,5298,3879,0.0001453557546,1.654627447,0.0001760584683,True
btc,usdt,-86400000,ADAUSDT,5298,3879,0.007581381304,6.517838113,0.007835372468,True
btc,usdt,-43200000,ADAUSDT,5298,3879,0.00576597437,5.898617977,0.006190313929,True
btc,usdt,-21600000,ADAUSDT,5298,3879,0.006371522167,7.588655111,0.006656553544,True
btc,usdt,-7200000,ADAUSDT,5298,3879,0.004348143879,7.76135088,0.004517508284,True
btc,usdt,-3600000,ADAUSDT,5298,3879,0.004105038681,8.084293835,0.004230507833,True
btc,usdt,-1800000,ADAUSDT,5298,3879,0.004058951741,8.802032267,0.004166911581,True
btc,usdt,-300000,ADAUSDT,5298,3879,0.001948738129,7.904244567,0.002007448594,True
self,coin,-86400000,BCHUSDT,5312,3858,-0.002032191346,2.043565793,-0.002057375843,True
self,coin,-43200000,BCHUSDT,5312,3858,0.0005664638202,0.8360286989,0.0004108647234,True
