scope,offset_ms,control,measure,n_stop,n_tp,delta,z
self,-86400000,없음,coin,5816,4260,-0.00209027639,2.271173504
self,-86400000,없음,implied_price,5816,4260,0.01099396286,7.168147292
self,-86400000,없음,usdt,5816,4260,0.008824019306,4.61979784
self,-86400000,폭락일 제외,coin,4977,4016,-0.00179151283,2.013529677
self,-86400000,폭락일 제외,implied_price,4977,4016,-0.001994125703,2.466964715
self,-86400000,폭락일 제외,usdt,4977,4016,-0.00384904894,2.927859946
self,-43200000,없음,coin,5816,4260,0.000397084684,0.6584550322
self,-43200000,없음,implied_price,5816,4260,0.01085233217,7.491110561
self,-43200000,없음,usdt,5816,4260,0.01163768968,6.862971365
self,-43200000,폭락일 제외,coin,4977,4016,-0.0008784867798,1.466956243
self,-43200000,폭락일 제외,implied_price,4977,4016,-0.002529640995,4.47266878
self,-43200000,폭락일 제외,usdt,4977,4016,-0.003475897733,4.049349748
self,-21600000,없음,coin,5816,4260,0.001178702703,2.578758929
self,-21600000,없음,implied_price,5816,4260,0.01126512268,8.465847918
self,-21600000,없음,usdt,5816,4260,0.01299162994,8.355647151
self,-21600000,폭락일 제외,coin,4977,4016,-0.0002298669726,0.5276791637
self,-21600000,폭락일 제외,implied_price,4977,4016,-0.001138086452,2.706466153
self,-21600000,폭락일 제외,usdt,4977,4016,-0.001380163054,2.235579718
self,-7200000,없음,coin,5816,4260,0.0005839240571,1.954495711
self,-7200000,없음,implied_price,5816,4260,0.009072930189,7.751683239
self,-7200000,없음,usdt,5816,4260,0.009934413868,7.730155726
self,-7200000,폭락일 제외,coin,4977,4016,4.331049031e-05,0.1570848511
self,-7200000,폭락일 제외,implied_price,4977,4016,-0.001209738652,4.41828868
self,-7200000,폭락일 제외,usdt,4977,4016,-0.001159634265,2.884179328
self,-3600000,없음,coin,5816,4260,0.0007829488028,3.353903596
self,-3600000,없음,implied_price,5816,4260,0.008958835216,7.817747792
self,-3600000,없음,usdt,5816,4260,0.01004518807,7.968514389
self,-3600000,폭락일 제외,coin,4977,4016,0.000123606705,0.5781757127
self,-3600000,폭락일 제외,implied_price,4977,4016,-0.0008992751142,4.044661852
self,-3600000,폭락일 제외,usdt,4977,4016,-0.0007713110644,2.372146149
self,-1800000,없음,coin,5816,4260,0.0008197460351,4.490672461
self,-1800000,없음,implied_price,5816,4260,0.009152520933,7.96958315
self,-1800000,없음,usdt,5816,4260,0.01025733231,8.225112885
self,-1800000,폭락일 제외,coin,4977,4016,0.0002079282773,1.289975322
self,-1800000,폭락일 제외,implied_price,4977,4016,-0.0007030156352,4.016416806
self,-1800000,폭락일 제외,usdt,4977,4016,-0.0004902235387,1.955835844
self,-300000,없음,coin,5816,4260,2.135261265e-06,0.02565448013
self,-300000,없음,implied_price,5816,4260,0.006146086135,7.632722936
self,-300000,없음,usdt,5816,4260,0.006195584202,7.448779988
self,-300000,폭락일 제외,coin,4977,4016,7.476967332e-05,1.001576658
self,-300000,폭락일 제외,implied_price,4977,4016,-0.0002297948625,2.717751256
self,-300000,폭락일 제외,usdt,4977,4016,-0.0001552949217,1.290569422
btc,-86400000,없음,coin,5816,4260,0.002337449962,3.724832614
btc,-86400000,없음,implied_price,5816,4260,0.002977508835,4.970772395
btc,-86400000,없음,usdt,5816,4260,0.005568356806,5.555670181
btc,-86400000,폭락일 제외,coin,4977,4016,-0.0001659922107,0.269010543
btc,-86400000,폭락일 제외,implied_price,4977,4016,-0.0006061016715,1.101765664
btc,-86400000,폭락일 제외,usdt,4977,4016,-0.0007506241599,0.8354414985
btc,-43200000,없음,coin,5816,4260,0.001372380097,2.88090948
btc,-43200000,없음,implied_price,5816,4260,0.002372889015,4.979710451
btc,-43200000,없음,usdt,5816,4260,0.003941695257,4.926088614
btc,-43200000,폭락일 제외,coin,4977,4016,-0.001053879774,2.346641136
btc,-43200000,폭락일 제외,implied_price,4977,4016,-0.00116213059,2.87760006
btc,-43200000,폭락일 제외,usdt,4977,4016,-0.0022321198,3.426513789
btc,-21600000,없음,coin,5816,4260,0.001858905128,4.682964145
btc,-21600000,없음,implied_price,5816,4260,0.002550651515,6.743269469
btc,-21600000,없음,usdt,5816,4260,0.004616107034,6.864927951
btc,-21600000,폭락일 제외,coin,4977,4016,-0.0006135717955,1.79572019
btc,-21600000,폭락일 제외,implied_price,4977,4016,-0.0005605553528,1.928295231
btc,-21600000,폭락일 제외,usdt,4977,4016,-0.001171721497,2.439728666
btc,-7200000,없음,coin,5816,4260,0.00097442909,4.351012561
btc,-7200000,없음,implied_price,5816,4260,0.001347254898,5.504568156
btc,-7200000,없음,usdt,5816,4260,0.002382754205,5.911096513
btc,-7200000,폭락일 제외,coin,4977,4016,-6.927313176e-05,0.3272208302
btc,-7200000,폭락일 제외,implied_price,4977,4016,-0.0006406073607,3.525124983
btc,-7200000,폭락일 제외,usdt,4977,4016,-0.0007112358387,2.283013259
btc,-3600000,없음,coin,5816,4260,0.0007596160579,4.477990231
btc,-3600000,없음,implied_price,5816,4260,0.001360237089,5.978079217
btc,-3600000,없음,usdt,5816,4260,0.002163945573,6.21424037
btc,-3600000,폭락일 제외,coin,4977,4016,2.445077941e-05,0.1552010518
btc,-3600000,폭락일 제외,implied_price,4977,4016,-0.0005019107914,3.218570911
btc,-3600000,폭락일 제외,usdt,4977,4016,-0.0004785113778,1.882456379
btc,-1800000,없음,coin,5816,4260,0.0006444762116,4.839714925
btc,-1800000,없음,implied_price,5816,4260,0.001477697151,7.030222843
btc,-1800000,없음,usdt,5816,4260,0.002160855699,7.086801894
btc,-1800000,폭락일 제외,coin,4977,4016,-6.3244732e-05,0.539288469
btc,-1800000,폭락일 제외,implied_price,4977,4016,-0.0003536526336,2.924621524
btc,-1800000,폭락일 제외,usdt,4977,4016,-0.0004189465557,2.188033044
btc,-300000,없음,coin,5816,4260,3.201270706e-06,0.06392150175
btc,-300000,없음,implied_price,5816,4260,0.0008710297491,7.702602434
btc,-300000,없음,usdt,5816,4260,0.0008761524191,6.631872231
btc,-300000,폭락일 제외,coin,4977,4016,-3.336163369e-05,0.6885119183
btc,-300000,폭락일 제외,implied_price,4977,4016,-6.630681382e-05,1.249626745
btc,-300000,폭락일 제외,usdt,4977,4016,-9.979819176e-05,1.255845412
