segment,timeframe,arm,variant,n_total,n_a,n_b,n_c,n_c_data_end,n_d,net_a,net_b,net_c,net_d,stop_rate_a,stop_rate_b,tp_before_share_a,tp_before_share_b,delta,sigma,z,mult_median_a,mult_p25_a,mult_p75_a,mult_lt1_share_a,cost_delta_r_median_a,delta_no_crash,sigma_no_crash,n_a_no_crash,n_b_no_crash,delta_pooled,sigma_pooled,delta_ex_tp_before,sigma_ex_tp_before,verdict
is,15m,1봉확인,D 제외(정본),15125,5481,3255,4673,0,1716,0.6279419372,0.05428055253,-0.8761975355,-0.1279239516,0.3165480752,0.5385560676,0.229702609,0.1351766513,0.5736613847,0.02779267663,20.64073901,1.592207502,1.266792578,2.122380578,0.07316183178,0.0389054863,0.5736613847,0.02779267663,5481,3255,0.5726796645,0.02817978207,0.5482001221,0.03070380443,닫음 — 밀림 게이트
is,15m,1봉확인,D 포함(병기),15125,6609,3843,4673,0,0,0.5011169212,0.02264733889,-0.8761975355,,0.3635950976,0.5487900078,0.190497806,0.114493885,0.4784695823,0.02583838365,18.51778303,1.64921414,1.306098794,2.196605697,0.06112876381,0.03812408232,0.4784695823,0.02583838365,6609,3843,0.4770104719,0.02574721612,0.4408092987,0.02788979581,닫음 — 밀림 게이트
is,15m,2봉확인,D 제외(정본),15125,2953,5193,5406,0,1573,0.8663532516,0.3278749379,-0.8725336346,-0.152342342,0.2248560786,0.4332755633,0.368100237,0.2077797034,0.5384783138,0.02653637417,20.29208325,1.962467725,1.530451344,2.611707028,0.02302742973,0.0280532409,0.5384783138,0.02653637417,2953,5193,0.5366560914,0.02701421134,0.4968779292,0.03490878957,닫음 — 밀림 게이트
is,15m,2봉확인,D 포함(병기),15125,3568,6151,5406,0,0,0.6915950706,0.2526012012,-0.8725336346,,0.2903587444,0.460412941,0.3046524664,0.1754186311,0.4389938694,0.02565084269,17.11420848,2.001379413,1.558724496,2.66804545,0.01933856502,0.0278214307,0.4389938694,0.02565084269,3568,6151,0.4363334962,0.02600406832,0.3642582698,0.03142710755,닫음 — 밀림 게이트
is,1h,1봉확인,D 제외(정본),4320,1399,883,1404,0,634,0.6236850521,0.1455082381,-0.7688803718,-0.01788963137,0.3323802716,0.5198187995,0.2551822731,0.1664779162,0.478176814,0.05338792618,8.956647096,1.61253993,1.267777105,2.227786336,0.07005003574,0.02026164382,0.478176814,0.05338792618,1399,883,0.5174075007,0.05875560043,0.4540623373,0.06005650607,닫음 — 밀림 게이트
is,1h,1봉확인,D 포함(병기),4320,1781,1135,1404,0,0,0.467953054,0.1376676182,-0.7688803718,,0.3902302077,0.5198237885,0.2004491859,0.1295154185,0.3302854358,0.04800109249,6.88078997,1.706208488,1.330319401,2.416814504,0.05614823133,0.01945840607,0.3302854358,0.04800109249,1781,1135,0.3287177379,0.04924279834,0.2782187811,0.05232010849,닫음 — 밀림 게이트
is,1h,2봉확인,D 제외(정본),4320,742,1419,1574,0,585,0.8044389495,0.3755210388,-0.7677161899,-0.01915158607,0.2614555256,0.4298801973,0.3571428571,0.2410147992,0.4289179106,0.05279785606,8.123775142,1.916889185,1.491472121,2.64656518,0.01347708895,0.01510905152,0.4289179106,0.05279785606,742,1419,0.4121195178,0.05824638592,0.4087416703,0.06892120724,닫음 — 밀림 게이트
is,1h,2봉확인,D 포함(병기),4320,933,1813,1574,0,0,0.6126996542,0.3016578044,-0.7677161899,,0.3344051447,0.4555984556,0.2840300107,0.1886376172,0.3110418497,0.04944843994,6.29022574,1.972440491,1.547182347,2.724497578,0.01071811361,0.01487157203,0.3110418497,0.04944843994,933,1813,0.285261486,0.05345750934,0.2439618657,0.05940530341,닫음 — 밀림 게이트
is,2h,1봉확인,D 제외(정본),2185,692,447,692,0,354,0.5969654939,0.2954234219,-0.7630758878,-0.1669328096,0.348265896,0.4675615213,0.2557803468,0.1968680089,0.301542072,0.07523562126,4.007969455,1.5941328,1.255668345,2.235006971,0.07947976879,0.01413260934,0.301542072,0.07523562126,692,447,0.2564054636,0.1573723157,0.2899650773,0.08632634811,닫음 — 밀림 게이트
is,2h,1봉확인,D 포함(병기),2185,919,574,692,0,0,0.4185014865,0.1767548966,-0.7630758878,,0.4156692057,0.5104529617,0.1926006529,0.1533101045,0.2417465898,0.06725960588,3.594231436,1.706608009,1.344483993,2.471180869,0.06093579978,0.01327157455,0.2417465898,0.06725960588,919,574,0.2135415143,0.08459768206,0.2254842967,0.07328270077,닫음 — 밀림 게이트
