name,detail,expected,actual,diff
(a) 모집단 건수,is · 이슈 본문 값,22725,22725,0
(a) 모집단 건수,is · WAN-375 표(첫 탭 · 가드) − 데이터 끝,22725,22725,0
(a) 모집단 건수,oos_warm · 이슈 본문 값,10272,10272,0
(a) 모집단 건수,oos_warm · WAN-375 표(첫 탭 · 가드) − 데이터 끝,10272,10272,0
(b) 셋업 원열 불변,13열 × 전 행,0,0,0
(c) 인과,1봉확인 · 라벨 봉 마감 > 진입 시각,0,0,0
(d) 전체성,1봉확인 · is · A+B+C+D,22725,22725,0
(d) 전체성,1봉확인 · oos_warm · A+B+C+D,10272,10272,0
(c) 인과,2봉확인 · 라벨 봉 마감 > 진입 시각,0,0,0
(d) 전체성,2봉확인 · is · A+B+C+D,22725,22725,0
(d) 전체성,2봉확인 · oos_warm · A+B+C+D,10272,10272,0
(e) 구조,2봉확인 충족 − 1봉확인 충족(집합),0,0,0
(e) 구조,진부분집합(1봉 충족에만 있는 셋업 존재),1,1,0
(e) 구조,집합 키 유일성,1,1,0
