segment,timeframe,arm,n_cond,n_flip_all,n_flip_ab,share_of_a
is,15m,1봉확인,8829,98,64,0.01167670133
is,15m,2봉확인,4770,153,105,0.03555706062
is,1h,1봉확인,2465,26,17,0.01215153681
is,1h,2봉확인,1315,27,17,0.02291105121
is,2h,1봉확인,1248,12,7,0.01011560694
is,2h,2봉확인,625,17,11,0.03293413174
is,4h,1봉확인,571,3,2,0.006493506494
is,4h,2봉확인,278,7,4,0.02352941176
oos_warm,15m,1봉확인,3788,70,51,0.02031063321
oos_warm,15m,2봉확인,2129,95,59,0.043866171
oos_warm,1h,1봉확인,1048,11,10,0.01547987616
oos_warm,1h,2봉확인,533,8,7,0.02127659574
oos_warm,2h,1봉확인,551,2,0,0
oos_warm,2h,2봉확인,260,4,3,0.01840490798
oos_warm,4h,1봉확인,299,0,0,0
oos_warm,4h,2봉확인,159,0,0,0
