segment,timeframe,arm,variant,bucket,order,n_a,n_b,delta,sigma
is,15m,1봉확인,D 제외(정본),≥ 0R,0,2814,1712,0.5893480823,0.0386601742
is,15m,1봉확인,D 제외(정본),[-3R ~ 0R),1,1121,650,0.5737121771,0.06188015392
is,15m,1봉확인,D 제외(정본),[-5R ~ -3R),2,431,257,0.4398342177,0.09853104489
is,15m,1봉확인,D 제외(정본),[-10R ~ -5R),3,533,323,0.6010134015,0.08754661236
is,15m,1봉확인,D 제외(정본),[-20R ~ -10R),4,412,223,0.5537649481,0.1018044536
is,15m,1봉확인,D 제외(정본),< -20R,5,170,90,0.4739358465,0.1478116832
is,15m,1봉확인,D 포함(병기),≥ 0R,0,3606,2116,0.4785752719,0.03496335966
is,15m,1봉확인,D 포함(병기),[-3R ~ 0R),1,1308,741,0.4807650321,0.05856814263
is,15m,1봉확인,D 포함(병기),[-5R ~ -3R),2,478,287,0.3408281482,0.09449576506
is,15m,1봉확인,D 포함(병기),[-10R ~ -5R),3,579,349,0.5782532605,0.08482176759
is,15m,1봉확인,D 포함(병기),[-20R ~ -10R),4,445,243,0.4665969924,0.09889789142
is,15m,1봉확인,D 포함(병기),< -20R,5,193,107,0.4787658314,0.1460338993
is,15m,2봉확인,D 제외(정본),≥ 0R,0,1507,2747,0.5769425745,0.03772366606
is,15m,2봉확인,D 제외(정본),[-3R ~ 0R),1,624,1016,0.527108602,0.05839383524
is,15m,2봉확인,D 제외(정본),[-5R ~ -3R),2,234,408,0.3542784604,0.09475190293
is,15m,2봉확인,D 제외(정본),[-10R ~ -5R),3,266,516,0.5229692821,0.08403069483
is,15m,2봉확인,D 제외(정본),[-20R ~ -10R),4,238,345,0.5012063449,0.08972702877
is,15m,2봉확인,D 제외(정본),< -20R,5,84,161,0.4778060805,0.1187907507
is,15m,2봉확인,D 포함(병기),≥ 0R,0,1944,3411,0.4483214581,0.03534982999
is,15m,2봉확인,D 포함(병기),[-3R ~ 0R),1,727,1165,0.4534057143,0.05714291627
is,15m,2봉확인,D 포함(병기),[-5R ~ -3R),2,260,453,0.2715715476,0.09378099225
is,15m,2봉확인,D 포함(병기),[-10R ~ -5R),3,291,559,0.4631581519,0.08403426681
is,15m,2봉확인,D 포함(병기),[-20R ~ -10R),4,254,376,0.4336407054,0.09060140046
is,15m,2봉확인,D 포함(병기),< -20R,5,92,187,0.4931707721,0.1320678744
is,1h,1봉확인,D 제외(정본),≥ 0R,0,395,297,0.5174078324,0.09562527712
is,1h,1봉확인,D 제외(정본),[-3R ~ 0R),1,295,151,0.5030916759,0.1252391179
is,1h,1봉확인,D 제외(정본),[-5R ~ -3R),2,151,89,0.2599792935,0.1681591153
is,1h,1봉확인,D 제외(정본),[-10R ~ -5R),3,236,148,0.5585369725,0.1302334246
is,1h,1봉확인,D 제외(정본),[-20R ~ -10R),4,216,132,0.4876683279,0.1298714181
is,1h,1봉확인,D 제외(정본),< -20R,5,106,66,0.2048383539,0.1738965481
is,1h,1봉확인,D 포함(병기),≥ 0R,0,614,435,0.285888404,0.07938889141
is,1h,1봉확인,D 포함(병기),[-3R ~ 0R),1,388,212,0.4178921561,0.1079908765
is,1h,1봉확인,D 포함(병기),[-5R ~ -3R),2,181,109,0.08205906126,0.1534860885
is,1h,1봉확인,D 포함(병기),[-10R ~ -5R),3,261,169,0.4264372035,0.1238857236
is,1h,1봉확인,D 포함(병기),[-20R ~ -10R),4,229,143,0.399326057,0.1271999951
is,1h,1봉확인,D 포함(병기),< -20R,5,108,67,0.1931877211,0.1753989308
is,1h,2봉확인,D 제외(정본),≥ 0R,0,205,458,0.288098048,0.1050240815
is,1h,2봉확인,D 제외(정본),[-3R ~ 0R),1,163,258,0.3951889317,0.1179358057
is,1h,2봉확인,D 제외(정본),[-5R ~ -3R),2,75,152,0.5189393917,0.1625706141
is,1h,2봉확인,D 제외(정본),[-10R ~ -5R),3,135,226,0.5218194046,0.1266347745
is,1h,2봉확인,D 제외(정본),[-20R ~ -10R),4,111,217,0.5326114292,0.1116779112
is,1h,2봉확인,D 제외(정본),< -20R,5,53,108,0.4129328453,0.148442764
is,1h,2봉확인,D 포함(병기),≥ 0R,0,309,688,0.1598579423,0.08732308594
is,1h,2봉확인,D 포함(병기),[-3R ~ 0R),1,214,346,0.2457649214,0.1083279038
is,1h,2봉확인,D 포함(병기),[-5R ~ -3R),2,89,183,0.3757902686,0.1554873766
is,1h,2봉확인,D 포함(병기),[-10R ~ -5R),3,151,253,0.4341762742,0.1227470401
is,1h,2봉확인,D 포함(병기),[-20R ~ -10R),4,117,232,0.4965078693,0.1143469037
is,1h,2봉확인,D 포함(병기),< -20R,5,53,111,0.4656774199,0.1494320352
is,2h,1봉확인,D 제외(정본),≥ 0R,0,113,92,0.4279884502,0.1758351223
is,2h,1봉확인,D 제외(정본),[-3R ~ 0R),1,123,50,-0.1251822716,0.2042117296
is,2h,1봉확인,D 제외(정본),[-5R ~ -3R),2,85,43,0.5126616332,0.2327834312
is,2h,1봉확인,D 제외(정본),[-10R ~ -5R),3,147,98,0.3779991835,0.1616180975
is,2h,1봉확인,D 제외(정본),[-20R ~ -10R),4,144,105,0.2564054636,0.1573723157
is,2h,1봉확인,D 제외(정본),< -20R,5,80,59,0.3800442213,0.1929121428
is,2h,1봉확인,D 포함(병기),≥ 0R,0,208,148,0.2562945946,0.1358081141
is,2h,1봉확인,D 포함(병기),[-3R ~ 0R),1,177,89,0.09589280541,0.1666973506
is,2h,1봉확인,D 포함(병기),[-5R ~ -3R),2,106,51,0.6101938026,0.209005978
is,2h,1봉확인,D 포함(병기),[-10R ~ -5R),3,180,110,0.2315777533,0.1533719771
is,2h,1봉확인,D 포함(병기),[-20R ~ -10R),4,163,115,0.1412681042,0.1523829958
is,2h,1봉확인,D 포함(병기),< -20R,5,85,61,0.4062184759,0.1926578237
is,2h,2봉확인,D 제외(정본),≥ 0R,0,55,140,0.6950874833,0.1836333227
is,2h,2봉확인,D 제외(정본),[-3R ~ 0R),1,65,103,-0.1768465774,0.1944050357
is,2h,2봉확인,D 제외(정본),[-5R ~ -3R),2,35,81,0.5115491082,0.2454007442
is,2h,2봉확인,D 제외(정본),[-10R ~ -5R),3,74,154,0.4225943337,0.1613292076
is,2h,2봉확인,D 제외(정본),[-20R ~ -10R),4,62,176,0.5944454576,0.1509452292
is,2h,2봉확인,D 제외(정본),< -20R,5,43,93,0.5279940101,0.1659410851
is,2h,2봉확인,D 포함(병기),≥ 0R,0,100,238,0.3932533439,0.1496959206
is,2h,2봉확인,D 포함(병기),[-3R ~ 0R),1,99,152,-0.1124891282,0.1639004649
is,2h,2봉확인,D 포함(병기),[-5R ~ -3R),2,45,100,0.6076778683,0.2172594592
is,2h,2봉확인,D 포함(병기),[-10R ~ -5R),3,90,178,0.3612902366,0.1573909101
is,2h,2봉확인,D 포함(병기),[-20R ~ -10R),4,75,185,0.399787265,0.1597144903
is,2h,2봉확인,D 포함(병기),< -20R,5,45,98,0.4421880268,0.1758078027
is,4h,1봉확인,D 제외(정본),≥ 0R,0,39,30,0.5227952045,0.3030242085
is,4h,1봉확인,D 제외(정본),[-3R ~ 0R),1,36,24,0.6214097035,0.3276226879
is,4h,1봉확인,D 제외(정본),[-5R ~ -3R),2,35,22,0.6649785623,0.336866797
is,4h,1봉확인,D 제외(정본),[-10R ~ -5R),3,61,55,0.3258605731,0.2317725584
is,4h,1봉확인,D 제외(정본),[-20R ~ -10R),4,85,66,0.2010102341,0.2003757087
is,4h,1봉확인,D 제외(정본),< -20R,5,52,49,0.1417441923,0.2269131313
is,4h,1봉확인,D 포함(병기),≥ 0R,0,56,57,0.2943611856,0.2375374846
is,4h,1봉확인,D 포함(병기),[-3R ~ 0R),1,66,37,0.333130694,0.2600587581
is,4h,1봉확인,D 포함(병기),[-5R ~ -3R),2,41,25,0.8437220143,0.3053189892
is,4h,1봉확인,D 포함(병기),[-10R ~ -5R),3,75,69,0.409583227,0.2077115424
is,4h,1봉확인,D 포함(병기),[-20R ~ -10R),4,104,78,0.06998842934,0.1864464495
is,4h,1봉확인,D 포함(병기),< -20R,5,62,54,0.1046331954,0.2212916235
is,4h,2봉확인,D 제외(정본),≥ 0R,0,18,52,0.8934850985,0.2872320782
is,4h,2봉확인,D 제외(정본),[-3R ~ 0R),1,18,39,0.3281725146,0.3412958897
is,4h,2봉확인,D 제외(정본),[-5R ~ -3R),2,25,27,0.4029428425,0.3483302908
is,4h,2봉확인,D 제외(정본),[-10R ~ -5R),3,34,71,0.5769766942,0.2388416599
is,4h,2봉확인,D 제외(정본),[-20R ~ -10R),4,55,86,0.0123596223,0.2019648394
is,4h,2봉확인,D 제외(정본),< -20R,5,20,72,0.3777512082,0.2159506389
is,4h,2봉확인,D 포함(병기),≥ 0R,0,24,83,0.5795497438,0.2773728671
is,4h,2봉확인,D 포함(병기),[-3R ~ 0R),1,36,60,0.1152535346,0.2644898696
is,4h,2봉확인,D 포함(병기),[-5R ~ -3R),2,27,34,0.3266186291,0.3235619825
is,4h,2봉확인,D 포함(병기),[-10R ~ -5R),3,41,89,0.6655313863,0.2124633292
is,4h,2봉확인,D 포함(병기),[-20R ~ -10R),4,61,106,0.1073753573,0.1933108982
is,4h,2봉확인,D 포함(병기),< -20R,5,25,80,0.4442568013,0.2167482763
oos_warm,15m,1봉확인,D 제외(정본),≥ 0R,0,1212,815,0.5340089214,0.05790130356
oos_warm,15m,1봉확인,D 제외(정본),[-3R ~ 0R),1,484,299,0.5051425597,0.09355106208
oos_warm,15m,1봉확인,D 제외(정본),[-5R ~ -3R),2,248,157,0.6370306918,0.128277135
oos_warm,15m,1봉확인,D 제외(정본),[-10R ~ -5R),3,334,181,0.4820624261,0.1163723545
oos_warm,15m,1봉확인,D 제외(정본),[-20R ~ -10R),4,160,119,0.6044524887,0.1502801995
oos_warm,15m,1봉확인,D 제외(정본),< -20R,5,73,27,0.9576487087,0.2746632654
oos_warm,15m,1봉확인,D 포함(병기),≥ 0R,0,1542,952,0.4079270204,0.05323974009
oos_warm,15m,1봉확인,D 포함(병기),[-3R ~ 0R),1,544,341,0.4279947008,0.08857826031
oos_warm,15m,1봉확인,D 포함(병기),[-5R ~ -3R),2,266,171,0.5536976656,0.124201898
oos_warm,15m,1봉확인,D 포함(병기),[-10R ~ -5R),3,364,193,0.4964010716,0.1127658041
oos_warm,15m,1봉확인,D 포함(병기),[-20R ~ -10R),4,174,127,0.5806586894,0.1462840174
oos_warm,15m,1봉확인,D 포함(병기),< -20R,5,81,29,0.7341382313,0.273872838
oos_warm,15m,2봉확인,D 제외(정본),≥ 0R,0,627,1264,0.5761480293,0.05854279891
oos_warm,15m,2봉확인,D 제외(정본),[-3R ~ 0R),1,257,472,0.6128472973,0.09001873633
oos_warm,15m,2봉확인,D 제외(정본),[-5R ~ -3R),2,145,224,0.287223911,0.1290233706
oos_warm,15m,2봉확인,D 제외(정본),[-10R ~ -5R),3,179,295,0.5760688292,0.1045719129
oos_warm,15m,2봉확인,D 제외(정본),[-20R ~ -10R),4,95,156,0.5665713878,0.1461188633
oos_warm,15m,2봉확인,D 제외(정본),< -20R,5,42,49,0.5483932477,0.1952432658
oos_warm,15m,2봉확인,D 포함(병기),≥ 0R,0,818,1492,0.4243521757,0.05467052439
oos_warm,15m,2봉확인,D 포함(병기),[-3R ~ 0R),1,296,526,0.5089294507,0.08851001057
oos_warm,15m,2봉확인,D 포함(병기),[-5R ~ -3R),2,153,244,0.3113486732,0.1253637516
oos_warm,15m,2봉확인,D 포함(병기),[-10R ~ -5R),3,190,320,0.5261671228,0.1028982477
oos_warm,15m,2봉확인,D 포함(병기),[-20R ~ -10R),4,105,166,0.4812908032,0.1458948131
oos_warm,15m,2봉확인,D 포함(병기),< -20R,5,47,54,0.4193142727,0.2211007007
oos_warm,1h,1봉확인,D 제외(정본),≥ 0R,0,190,154,0.8571090905,0.1306448141
oos_warm,1h,1봉확인,D 제외(정본),[-3R ~ 0R),1,113,78,0.6885573293,0.1802608103
oos_warm,1h,1봉확인,D 제외(정본),[-5R ~ -3R),2,88,48,0.7245089491,0.2201804993
oos_warm,1h,1봉확인,D 제외(정본),[-10R ~ -5R),3,135,98,0.1381093272,0.1691562946
oos_warm,1h,1봉확인,D 제외(정본),[-20R ~ -10R),4,77,45,0.4412818777,0.2358798155
oos_warm,1h,1봉확인,D 제외(정본),< -20R,5,43,24,0.0863520974,0.292711131
oos_warm,1h,1봉확인,D 포함(병기),≥ 0R,0,282,199,0.589514396,0.1159940907
oos_warm,1h,1봉확인,D 포함(병기),[-3R ~ 0R),1,144,100,0.4422263485,0.165145231
oos_warm,1h,1봉확인,D 포함(병기),[-5R ~ -3R),2,102,61,0.6093289747,0.2014437857
oos_warm,1h,1봉확인,D 포함(병기),[-10R ~ -5R),3,154,106,0.136778775,0.1624100208
oos_warm,1h,1봉확인,D 포함(병기),[-20R ~ -10R),4,87,46,0.2443583616,0.2324141835
oos_warm,1h,1봉확인,D 포함(병기),< -20R,5,43,24,0.0863520974,0.292711131
oos_warm,1h,2봉확인,D 제외(정본),≥ 0R,0,100,223,0.6267748175,0.1348426484
oos_warm,1h,2봉확인,D 제외(정본),[-3R ~ 0R),1,60,121,0.7829588903,0.1566253198
oos_warm,1h,2봉확인,D 제외(정본),[-5R ~ -3R),2,50,71,0.5595907846,0.2251455938
oos_warm,1h,2봉확인,D 제외(정본),[-10R ~ -5R),3,63,153,0.548107488,0.1747000597
oos_warm,1h,2봉확인,D 제외(정본),[-20R ~ -10R),4,37,68,0.5015983657,0.2306761095
oos_warm,1h,2봉확인,D 제외(정본),< -20R,5,19,45,0.3802563912,0.2796407125
oos_warm,1h,2봉확인,D 포함(병기),≥ 0R,0,149,306,0.3951641493,0.1233746918
oos_warm,1h,2봉확인,D 포함(병기),[-3R ~ 0R),1,74,153,0.5805538963,0.1647392683
oos_warm,1h,2봉확인,D 포함(병기),[-5R ~ -3R),2,58,89,0.4975904109,0.2109100018
oos_warm,1h,2봉확인,D 포함(병기),[-10R ~ -5R),3,74,167,0.474770695,0.1698462985
oos_warm,1h,2봉확인,D 포함(병기),[-20R ~ -10R),4,44,72,0.2849191023,0.2348851391
oos_warm,1h,2봉확인,D 포함(병기),< -20R,5,19,45,0.3802563912,0.2796407125
oos_warm,2h,1봉확인,D 제외(정본),≥ 0R,0,78,63,0.6112834012,0.2085249707
oos_warm,2h,1봉확인,D 제외(정본),[-3R ~ 0R),1,42,36,0.8114942295,0.2720797568
oos_warm,2h,1봉확인,D 제외(정본),[-5R ~ -3R),2,53,33,0.3394933663,0.2774188497
oos_warm,2h,1봉확인,D 제외(정본),[-10R ~ -5R),3,74,46,0.2618152216,0.2382348202
oos_warm,2h,1봉확인,D 제외(정본),[-20R ~ -10R),4,43,47,0.4728275953,0.2551820069
oos_warm,2h,1봉확인,D 제외(정본),< -20R,5,32,24,-0.1019007218,0.3305039802
oos_warm,2h,1봉확인,D 포함(병기),≥ 0R,0,121,83,0.3446007906,0.1817330499
oos_warm,2h,1봉확인,D 포함(병기),[-3R ~ 0R),1,55,49,0.6528009402,0.2456321541
oos_warm,2h,1봉확인,D 포함(병기),[-5R ~ -3R),2,67,39,0.3644085774,0.2536871414
oos_warm,2h,1봉확인,D 포함(병기),[-10R ~ -5R),3,90,58,0.0466029445,0.2164127412
oos_warm,2h,1봉확인,D 포함(병기),[-20R ~ -10R),4,52,51,0.4518536836,0.2378076435
oos_warm,2h,1봉확인,D 포함(병기),< -20R,5,33,24,-0.07431480025,0.3272553667
oos_warm,2h,2봉확인,D 제외(정본),≥ 0R,0,44,91,0.6486291352,0.2063064766
oos_warm,2h,2봉확인,D 제외(정본),[-3R ~ 0R),1,22,52,0.561138648,0.2750062156
oos_warm,2h,2봉확인,D 제외(정본),[-5R ~ -3R),2,26,53,0.5681977084,0.2637330597
oos_warm,2h,2봉확인,D 제외(정본),[-10R ~ -5R),3,38,74,0.369142176,0.2482955956
oos_warm,2h,2봉확인,D 제외(정본),[-20R ~ -10R),4,21,59,0.6974616574,0.2556879613
oos_warm,2h,2봉확인,D 제외(정본),< -20R,5,12,36,0.7621630874,0.2947019822
oos_warm,2h,2봉확인,D 포함(병기),≥ 0R,0,61,132,0.4507754222,0.1933849041
oos_warm,2h,2봉확인,D 포함(병기),[-3R ~ 0R),1,29,67,0.304083138,0.2806031875
oos_warm,2h,2봉확인,D 포함(병기),[-5R ~ -3R),2,33,63,0.7139404846,0.2354023294
oos_warm,2h,2봉확인,D 포함(병기),[-10R ~ -5R),3,48,91,0.144448527,0.2278255998
oos_warm,2h,2봉확인,D 포함(병기),[-20R ~ -10R),4,25,67,0.5648290843,0.2415477961
