timeframe,left,right,n,spearman
15m,B 접근에너지,C 일봉추세,6732,-0.003075464821770557
15m,B 접근에너지,D 겹침수,6732,-0.2089830908308908
15m,B 접근에너지,A 스윕(1/0),2086,0.20011225370137956
15m,B 접근에너지,그날 실현 net R(WAN-410),6732,-0.2988417740924805
15m,C 일봉추세,D 겹침수,6732,0.09149143724191688
15m,C 일봉추세,A 스윕(1/0),2086,0.00930800954119501
15m,C 일봉추세,그날 실현 net R(WAN-410),6732,0.04955963872726171
15m,D 겹침수,A 스윕(1/0),2086,0.011054143567447551
15m,D 겹침수,그날 실현 net R(WAN-410),6732,0.29979697945072753
15m,A 스윕(1/0),그날 실현 net R(WAN-410),2086,0.031484361943172424
1h,B 접근에너지,C 일봉추세,1946,-0.04427909025871803
1h,B 접근에너지,D 겹침수,1946,-0.24025308430391681
1h,B 접근에너지,A 스윕(1/0),558,0.19798202622058952
1h,B 접근에너지,그날 실현 net R(WAN-410),1946,-0.3909100729483404
1h,C 일봉추세,D 겹침수,1946,0.2678049051683501
1h,C 일봉추세,A 스윕(1/0),558,-0.034088869864250325
1h,C 일봉추세,그날 실현 net R(WAN-410),1946,0.012493957527056971
1h,D 겹침수,A 스윕(1/0),558,-0.013515218430124938
1h,D 겹침수,그날 실현 net R(WAN-410),1946,0.2855700872015927
1h,A 스윕(1/0),그날 실현 net R(WAN-410),558,0.04393254137305589
2h,B 접근에너지,C 일봉추세,1049,-0.0015978093447356016
2h,B 접근에너지,D 겹침수,1049,-0.1906109915746703
2h,B 접근에너지,A 스윕(1/0),288,0.28941687007635125
2h,B 접근에너지,그날 실현 net R(WAN-410),1049,-0.3128552979689508
2h,C 일봉추세,D 겹침수,1049,0.4119368001906837
2h,C 일봉추세,A 스윕(1/0),288,-0.14220867905688342
2h,C 일봉추세,그날 실현 net R(WAN-410),1049,0.014812435938024747
2h,D 겹침수,A 스윕(1/0),288,-0.13609540372347467
2h,D 겹침수,그날 실현 net R(WAN-410),1049,0.2100878526245639
2h,A 스윕(1/0),그날 실현 net R(WAN-410),288,-0.021174509416078967
4h,B 접근에너지,C 일봉추세,545,0.022260564083740813
4h,B 접근에너지,D 겹침수,545,-0.15694654989965393
4h,B 접근에너지,A 스윕(1/0),144,0.08730058934248901
4h,B 접근에너지,그날 실현 net R(WAN-410),545,-0.2688174915091167
4h,C 일봉추세,D 겹침수,545,0.47300273488714023
4h,C 일봉추세,A 스윕(1/0),144,-0.05286739540012501
4h,C 일봉추세,그날 실현 net R(WAN-410),545,0.013884058745246116
4h,D 겹침수,A 스윕(1/0),144,-0.039484431872363314
4h,D 겹침수,그날 실현 net R(WAN-410),545,0.23371725774210525
4h,A 스윕(1/0),그날 실현 net R(WAN-410),144,0.1940807460372321
