name,value,reference,diff
(a) 모집단 is ≡ WAN-375 표,22725.0,22725.0,0.0
(a) 모집단 oos_warm ≡ WAN-375 표,10272.0,10272.0,0.0
(b) 라벨링이 바꾼 원열 값(셀 수),0.0,0.0,0.0
(c) 인과 위반 · A_스윕,0.0,0.0,0.0
(c) 인과 위반 · D_지표선겹침,0.0,0.0,0.0
(c) 인과 위반 · B_접근변동성,0.0,0.0,0.0
(c) 인과 위반 · C_일봉추세,0.0,0.0,0.0
(d) 전체성 · A 네 클래스 합,32997.0,32997.0,0.0
(d) 전체성 · D_지표선겹침 라벨 32997 + 없음 0,32997.0,32997.0,0.0
(d) 전체성 · B_접근변동성 라벨 32997 + 없음 0,32997.0,32997.0,0.0
(d) 전체성 · C_일봉추세 라벨 32997 + 없음 0,32997.0,32997.0,0.0
(f) 아카이브 존 바닥 ≢ 셋업 손절가,0.0,0.0,0.0
(g) D 선 = display_ema_lengths + tp_vwma_length,1.0,1.0,0.0
"(e) 균등 분할 · B_접근변동성 15m (분위 5개, 최대 편차)",0.0,0.0,0.0
"(e) 균등 분할 · B_접근변동성 1h (분위 5개, 최대 편차)",0.0,0.0,0.0
"(e) 균등 분할 · B_접근변동성 2h (분위 5개, 최대 편차)",0.0004576659038901809,0.0,0.0004576659038901809
"(e) 균등 분할 · B_접근변동성 4h (분위 5개, 최대 편차)",0.0,0.0,0.0
"(e) 균등 분할 · C_일봉추세 15m (분위 5개, 최대 편차)",0.00013223140495866037,0.0,0.00013223140495866037
"(e) 균등 분할 · C_일봉추세 1h (분위 5개, 최대 편차)",0.00023148148148149916,0.0,0.00023148148148149916
"(e) 균등 분할 · C_일봉추세 2h (분위 5개, 최대 편차)",0.0,0.0,0.0
"(e) 균등 분할 · C_일봉추세 4h (분위 5개, 최대 편차)",0.0009132420091324256,0.0,0.0009132420091324256
