axis,timeframe,dropped,delta_oos,sign_kept
A_스윕,15m,ADA/USDT:USDT,0.004783156230627625,True
A_스윕,15m,BCH/USDT:USDT,-0.00925157817245971,False
A_스윕,15m,BNB/USDT:USDT,0.011133565596824976,True
A_스윕,15m,BTC/USDT:USDT,0.029550528700178283,True
A_스윕,15m,DOGE/USDT:USDT,-0.0059226283717077055,False
A_스윕,15m,DOT/USDT:USDT,0.02564749949457451,True
A_스윕,15m,ETH/USDT:USDT,0.019053346078398897,True
A_스윕,15m,LINK/USDT:USDT,-0.01819614722322392,False
A_스윕,15m,LTC/USDT:USDT,0.04298759638024682,True
A_스윕,15m,SOL/USDT:USDT,0.03328217035999459,True
A_스윕,15m,TRX/USDT:USDT,0.010748625178900573,True
A_스윕,15m,XRP/USDT:USDT,0.03573122205698191,True
A_스윕,1h,ADA/USDT:USDT,0.021029972733652848,True
A_스윕,1h,BCH/USDT:USDT,0.09363707598035516,True
A_스윕,1h,BNB/USDT:USDT,0.037512887274255176,True
A_스윕,1h,BTC/USDT:USDT,0.09113293690021891,True
A_스윕,1h,DOGE/USDT:USDT,0.03676355265345848,True
A_스윕,1h,DOT/USDT:USDT,0.10342672226607919,True
A_스윕,1h,ETH/USDT:USDT,0.09380987294294439,True
A_스윕,1h,LINK/USDT:USDT,0.1013029256563838,True
A_스윕,1h,LTC/USDT:USDT,0.05596451450625811,True
A_스윕,1h,SOL/USDT:USDT,0.010478043536842396,True
A_스윕,1h,TRX/USDT:USDT,0.061921312519693864,True
A_스윕,1h,XRP/USDT:USDT,0.0913434682076867,True
A_스윕,2h,ADA/USDT:USDT,-0.05742571610708918,False
A_스윕,2h,BCH/USDT:USDT,-0.01815497998074578,False
A_스윕,2h,BNB/USDT:USDT,-0.0012529530456457383,False
A_스윕,2h,BTC/USDT:USDT,0.023363715531306256,True
A_스윕,2h,DOGE/USDT:USDT,0.049111326024187246,True
A_스윕,2h,DOT/USDT:USDT,0.08363804626771174,True
A_스윕,2h,ETH/USDT:USDT,-0.01323249941938287,False
A_스윕,2h,LINK/USDT:USDT,-0.03416268371497622,False
A_스윕,2h,LTC/USDT:USDT,-0.0069988695015755775,False
A_스윕,2h,SOL/USDT:USDT,0.028379704481493226,True
A_스윕,2h,TRX/USDT:USDT,0.022470027207597554,True
A_스윕,2h,XRP/USDT:USDT,0.05547684596603947,True
A_스윕,4h,ADA/USDT:USDT,-0.24474936757931742,True
A_스윕,4h,BCH/USDT:USDT,-0.19698466433831363,True
A_스윕,4h,BNB/USDT:USDT,-0.25558354199455785,True
A_스윕,4h,BTC/USDT:USDT,-0.2795833441945211,True
A_스윕,4h,DOGE/USDT:USDT,-0.35586782019038726,True
A_스윕,4h,DOT/USDT:USDT,-0.4141454565306378,True
A_스윕,4h,ETH/USDT:USDT,-0.28400976993917,True
A_스윕,4h,LINK/USDT:USDT,-0.31963836904589854,True
A_스윕,4h,LTC/USDT:USDT,-0.14178213657883731,True
A_스윕,4h,SOL/USDT:USDT,-0.3654840704543003,True
A_스윕,4h,TRX/USDT:USDT,-0.4400203627742002,True
A_스윕,4h,XRP/USDT:USDT,-0.2671589444505995,True
D_지표선겹침,15m,ADA/USDT:USDT,-0.02194791671481376,True
D_지표선겹침,15m,BCH/USDT:USDT,-0.01769967190212554,True
D_지표선겹침,15m,BNB/USDT:USDT,-0.03565014171062559,True
D_지표선겹침,15m,BTC/USDT:USDT,-0.041683863238758015,True
D_지표선겹침,15m,DOGE/USDT:USDT,-0.033092386821729075,True
D_지표선겹침,15m,DOT/USDT:USDT,-0.020233588476534503,True
D_지표선겹침,15m,ETH/USDT:USDT,-0.029334441928538263,True
D_지표선겹침,15m,LINK/USDT:USDT,-0.0441059988855976,True
D_지표선겹침,15m,LTC/USDT:USDT,-0.026567510375014522,True
D_지표선겹침,15m,SOL/USDT:USDT,-0.0353942307860787,True
D_지표선겹침,15m,TRX/USDT:USDT,-0.04927077890244567,True
D_지표선겹침,15m,XRP/USDT:USDT,-0.051918404194114025,True
D_지표선겹침,1h,ADA/USDT:USDT,-0.013542001208760916,False
D_지표선겹침,1h,BCH/USDT:USDT,-0.031479822877436586,False
D_지표선겹침,1h,BNB/USDT:USDT,0.027744509987857116,True
D_지표선겹침,1h,BTC/USDT:USDT,0.028881161206269285,True
D_지표선겹침,1h,DOGE/USDT:USDT,-0.00029242452521841683,False
D_지표선겹침,1h,DOT/USDT:USDT,0.013260495847710545,True
D_지표선겹침,1h,ETH/USDT:USDT,-0.007448198376550627,False
D_지표선겹침,1h,LINK/USDT:USDT,-0.045032113321288626,False
D_지표선겹침,1h,LTC/USDT:USDT,0.015491535240267792,True
D_지표선겹침,1h,SOL/USDT:USDT,0.012759705295211539,True
D_지표선겹침,1h,TRX/USDT:USDT,0.021608272646099082,True
D_지표선겹침,1h,XRP/USDT:USDT,0.018649836661116595,True
D_지표선겹침,2h,ADA/USDT:USDT,-0.10746433494514794,True
D_지표선겹침,2h,BCH/USDT:USDT,-0.08377916370907645,True
D_지표선겹침,2h,BNB/USDT:USDT,-0.09462434870414634,True
D_지표선겹침,2h,BTC/USDT:USDT,-0.09833955988036433,True
D_지표선겹침,2h,DOGE/USDT:USDT,-0.08010749137147538,True
D_지표선겹침,2h,DOT/USDT:USDT,-0.08408901561847161,True
D_지표선겹침,2h,ETH/USDT:USDT,-0.10241923585809559,True
D_지표선겹침,2h,LINK/USDT:USDT,-0.07774732413487916,True
D_지표선겹침,2h,LTC/USDT:USDT,-0.07312291824508896,True
D_지표선겹침,2h,SOL/USDT:USDT,-0.06072677280189937,True
D_지표선겹침,2h,TRX/USDT:USDT,-0.03982384298145268,True
D_지표선겹침,2h,XRP/USDT:USDT,-0.046934706911782954,True
D_지표선겹침,4h,ADA/USDT:USDT,0.09487162922396909,True
D_지표선겹침,4h,BCH/USDT:USDT,0.06646562914470248,True
D_지표선겹침,4h,BNB/USDT:USDT,0.047638863982060804,True
D_지표선겹침,4h,BTC/USDT:USDT,0.11698077480023829,True
D_지표선겹침,4h,DOGE/USDT:USDT,0.03371774824249221,True
D_지표선겹침,4h,DOT/USDT:USDT,0.11389227077645343,True
D_지표선겹침,4h,ETH/USDT:USDT,0.12143574813138486,True
D_지표선겹침,4h,LINK/USDT:USDT,0.14039545611268356,True
D_지표선겹침,4h,LTC/USDT:USDT,0.0899754340083207,True
D_지표선겹침,4h,SOL/USDT:USDT,0.14064117558673284,True
D_지표선겹침,4h,TRX/USDT:USDT,0.06661901304572317,True
D_지표선겹침,4h,XRP/USDT:USDT,0.05209503299978816,True
B_접근변동성,15m,ADA/USDT:USDT,0.07329745690865055,True
B_접근변동성,15m,BCH/USDT:USDT,0.04061078551523343,True
B_접근변동성,15m,BNB/USDT:USDT,0.06748245699327202,True
B_접근변동성,15m,BTC/USDT:USDT,0.08906577092619762,True
B_접근변동성,15m,DOGE/USDT:USDT,0.06661637966790643,True
B_접근변동성,15m,DOT/USDT:USDT,0.07440991874596771,True
B_접근변동성,15m,ETH/USDT:USDT,0.05607482823740923,True
B_접근변동성,15m,LINK/USDT:USDT,0.06557611451790159,True
B_접근변동성,15m,LTC/USDT:USDT,0.0689437056687068,True
B_접근변동성,15m,SOL/USDT:USDT,0.06691664476901324,True
B_접근변동성,15m,TRX/USDT:USDT,0.06872677218228088,True
B_접근변동성,15m,XRP/USDT:USDT,0.08355745611620251,True
B_접근변동성,1h,ADA/USDT:USDT,0.05458821668643965,True
B_접근변동성,1h,BCH/USDT:USDT,0.07549975185944613,True
B_접근변동성,1h,BNB/USDT:USDT,0.07548412339040698,True
B_접근변동성,1h,BTC/USDT:USDT,0.0860541214302658,True
B_접근변동성,1h,DOGE/USDT:USDT,0.0638444939580326,True
B_접근변동성,1h,DOT/USDT:USDT,0.06833675081564766,True
B_접근변동성,1h,ETH/USDT:USDT,0.10192223689801752,True
B_접근변동성,1h,LINK/USDT:USDT,0.06439983637775654,True
B_접근변동성,1h,LTC/USDT:USDT,0.06828350012482885,True
B_접근변동성,1h,SOL/USDT:USDT,0.08332347284024405,True
B_접근변동성,1h,TRX/USDT:USDT,0.0680405937476053,True
B_접근변동성,1h,XRP/USDT:USDT,0.07332908831372828,True
B_접근변동성,2h,ADA/USDT:USDT,0.010104909679925667,True
B_접근변동성,2h,BCH/USDT:USDT,-0.042407326689733654,False
B_접근변동성,2h,BNB/USDT:USDT,0.004599682893468609,True
B_접근변동성,2h,BTC/USDT:USDT,0.08883171081106139,True
B_접근변동성,2h,DOGE/USDT:USDT,0.019734255847429716,True
B_접근변동성,2h,DOT/USDT:USDT,0.022633359452383907,True
B_접근변동성,2h,ETH/USDT:USDT,0.05909323673286211,True
B_접근변동성,2h,LINK/USDT:USDT,0.04217212799370752,True
B_접근변동성,2h,LTC/USDT:USDT,-3.5786243240368276e-05,False
B_접근변동성,2h,SOL/USDT:USDT,0.015212747872203355,True
B_접근변동성,2h,TRX/USDT:USDT,0.043630017773077505,True
B_접근변동성,2h,XRP/USDT:USDT,-0.011003282939897469,False
B_접근변동성,4h,ADA/USDT:USDT,0.10918919418157035,True
B_접근변동성,4h,BCH/USDT:USDT,0.12628763007524013,True
B_접근변동성,4h,BNB/USDT:USDT,0.1541256071793243,True
B_접근변동성,4h,BTC/USDT:USDT,0.17185753587727554,True
B_접근변동성,4h,DOGE/USDT:USDT,0.11716612185229022,True
B_접근변동성,4h,DOT/USDT:USDT,0.172326735974009,True
B_접근변동성,4h,ETH/USDT:USDT,0.08524823191616468,True
B_접근변동성,4h,LINK/USDT:USDT,0.13746960125325258,True
B_접근변동성,4h,LTC/USDT:USDT,0.09679089499369006,True
B_접근변동성,4h,SOL/USDT:USDT,0.17953552249694776,True
B_접근변동성,4h,TRX/USDT:USDT,0.057925011907271354,True
B_접근변동성,4h,XRP/USDT:USDT,0.07449357173983547,True
C_일봉추세,15m,ADA/USDT:USDT,0.0250425740102511,True
C_일봉추세,15m,BCH/USDT:USDT,0.05250066455601801,True
C_일봉추세,15m,BNB/USDT:USDT,0.033636205032406066,True
C_일봉추세,15m,BTC/USDT:USDT,0.02417359196420545,True
C_일봉추세,15m,DOGE/USDT:USDT,0.015474971198017865,True
C_일봉추세,15m,DOT/USDT:USDT,0.006520477745542853,True
C_일봉추세,15m,ETH/USDT:USDT,0.01851536622679213,True
C_일봉추세,15m,LINK/USDT:USDT,0.023386546732054793,True
C_일봉추세,15m,LTC/USDT:USDT,0.05767811842803425,True
C_일봉추세,15m,SOL/USDT:USDT,0.003354055545176475,True
C_일봉추세,15m,TRX/USDT:USDT,0.035271010122802246,True
C_일봉추세,15m,XRP/USDT:USDT,-0.004558946119391699,False
C_일봉추세,1h,ADA/USDT:USDT,0.0528124862987086,True
C_일봉추세,1h,BCH/USDT:USDT,0.011113717723819957,True
C_일봉추세,1h,BNB/USDT:USDT,0.10821993463689838,True
C_일봉추세,1h,BTC/USDT:USDT,0.04550295484754226,True
C_일봉추세,1h,DOGE/USDT:USDT,-0.01585260798026878,False
C_일봉추세,1h,DOT/USDT:USDT,0.05131042782942286,True
C_일봉추세,1h,ETH/USDT:USDT,0.018443563479303704,True
C_일봉추세,1h,LINK/USDT:USDT,0.0007973719185591643,True
C_일봉추세,1h,LTC/USDT:USDT,0.011143458550638086,True
C_일봉추세,1h,SOL/USDT:USDT,0.02847412977904623,True
C_일봉추세,1h,TRX/USDT:USDT,0.04515868191185433,True
C_일봉추세,1h,XRP/USDT:USDT,0.07929917517290326,True
C_일봉추세,2h,ADA/USDT:USDT,-0.04336846976090628,True
C_일봉추세,2h,BCH/USDT:USDT,-0.08515300532718434,True
C_일봉추세,2h,BNB/USDT:USDT,-0.05802431189567669,True
C_일봉추세,2h,BTC/USDT:USDT,-0.035300729849015215,True
C_일봉추세,2h,DOGE/USDT:USDT,0.07314547846127453,False
C_일봉추세,2h,DOT/USDT:USDT,-0.030957441625913268,True
C_일봉추세,2h,ETH/USDT:USDT,-0.17870716519967136,True
C_일봉추세,2h,LINK/USDT:USDT,0.04731216060570128,False
C_일봉추세,2h,LTC/USDT:USDT,-0.09061599727038945,True
C_일봉추세,2h,SOL/USDT:USDT,-0.04748260258198411,True
C_일봉추세,2h,TRX/USDT:USDT,-0.008729153922149928,True
