axis,timeframe,n_good_is,n_bad_is,n_good_oos,n_bad_oos,delta_is,delta_oos,sigma_oos,z_oos,stop_rate_delta_oos,delta_no_crash,delta_pooled,delta_ex20,delta_linear_oos,verdict
A_스윕,15m,2570,1917,1329,757,0.030157954944815595,0.014942387609850685,0.05889248759602988,0.25372315247315175,-0.0035644245382698836,0.007125855471122711,0.025472588815913997,,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
A_스윕,1h,617,539,349,209,0.21312529430618646,0.06669521729667169,0.11156446911479126,0.59781772661014,-0.02596619185368998,0.06522545036124698,,,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
A_스윕,2h,313,262,184,104,0.09143299695902882,0.011286073258910317,0.1539505292174924,0.07330973992928604,-0.007943143812708997,-0.014084559339597832,,,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
A_스윕,4h,167,115,92,52,0.12191852690664183,-0.2969211764138511,0.22085796516249973,1.3443987686628673,0.12207357859531764,-0.15008343045110042,,,,판정 불가(표본)
D_지표선겹침,15m,4186,10939,1556,5176,0.007051584081904275,-0.034028300769588016,0.03746746309028204,0.9082093625499282,0.010135766023132264,-0.08335506458262856,-0.06650436131333515,-0.04446169702846595,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
D_지표선겹침,1h,1348,2972,548,1398,0.03171971588683467,0.0034345419616259934,0.06419498811236875,0.0535017150499985,-0.004041226778609741,-0.08711839644168048,0.06539231931460344,0.018690277841365135,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
D_지표선겹침,2h,668,1517,263,786,-0.007781455341809931,-0.0789996305216921,0.08972042632038818,0.8805088624923322,0.025682330517903584,-0.14225051677998435,,-0.08804841833616413,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
D_지표선겹침,4h,356,739,129,416,0.1694691782037444,0.09065242103419248,0.12822680980283654,0.7069693239158098,-0.03909511031604063,-0.004166029839810126,,0.08186796581243921,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
B_접근변동성,15m,9075,6050,3844,2888,0.018218931810017575,0.0684994863035922,0.03188551526366033,2.1482947895673656,-0.026553956087985497,-0.0021290005192028394,0.03064524400001041,,-0.009312505023065604,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
B_접근변동성,1h,2592,1728,1125,821,-0.011893372500367386,0.0734104695477197,0.058200575991543796,1.2613357908757776,-0.029919068886182232,0.011975049226709049,-0.02458994747887499,,-0.08952157997634348,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
B_접근변동성,2h,1310,875,585,464,0.07908143022228407,0.020914022709854457,0.07839614888957472,0.26677359801580314,-0.009320660182729146,-0.07659957888321177,,,-0.020826126869022327,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
B_접근변동성,4h,657,438,321,224,0.011352326607940257,0.12361230224448078,0.1095213790967389,1.1286591098829712,-0.05127670226969294,0.048856809882892635,,,-0.040608445763416816,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
C_일봉추세,15m,3025,3024,704,1538,0.024438214014349938,0.024496436761471885,0.05860120601936367,0.41801932802163655,-0.002399441423336035,0.02013445577601323,0.023196265781079344,,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
C_일봉추세,1h,865,864,201,400,0.04706842908881985,0.036580940148580564,0.1107151426746124,0.33040593422790016,-0.010186567164179094,0.08445469247509199,,,,닫음 — 부호 미정(2σ·Bonferroni 또는 노이즈선 안)
C_일봉추세,2h,437,437,87,236,0.13604837096447445,-0.04075577201251215,0.15711558764031483,0.25939992730584094,0.01719267484901621,-0.003156198372380528,,,,판정 불가(표본)
C_일봉추세,4h,219,219,36,128,0.07685045967395435,-0.10597144839167597,0.23820913978634367,0.444867264483322,0.04427083333333337,-0.12858357961691053,,,,판정 불가(표본)
