hold,threshold,null,segment,real_trades,real_mean_r,null_mean_r,null_ci_low,null_ci_high,p_value,significant,null_trades_mean
4,15.0,A_선별,full,861,0.15390947082837067,0.06754904716663149,-0.013999842312497079,0.1545236612731435,0.03,True,860.98
4,15.0,A_선별,is,627,0.13526130255944527,0.08889800844001983,-0.021017644051437075,0.17712051332872294,0.19,False,626.99
4,15.0,A_선별,oos_warm,234,0.20318441796350048,-0.00047348115223968867,-0.10348747032179663,0.10181159968976036,0.0,True,234.0
4,15.0,B_시각,full,861,0.15390947082837067,-0.018213540441366968,-0.07110919654611761,0.038623829672766466,0.0,True,859.97
4,15.0,B_시각,is,627,0.13526130255944527,-0.015446389001205865,-0.07357749540934579,0.049426875105271016,0.015,True,626.18
4,15.0,B_시각,oos_warm,234,0.20318441796350048,-0.02283647965828373,-0.10280144460026239,0.08338375693213623,0.0,True,233.755
4,20.0,A_선별,full,1811,0.1030326951129316,0.0632792927618448,0.012866140426083951,0.11435837249262917,0.045,True,1810.765
4,20.0,A_선별,is,1333,0.10281525517504882,0.08754055396969768,0.027018697332592254,0.15202318355969116,0.315,False,1332.74
4,20.0,A_선별,oos_warm,478,0.10573145979145573,-0.004490131483148151,-0.08030971843854018,0.07110201787403499,0.005,True,478.0
4,20.0,B_시각,full,1811,0.1030326951129316,-0.0196935188125353,-0.05436490212893515,0.013080374411770106,0.0,True,1806.755
4,20.0,B_시각,is,1333,0.10281525517504882,-0.01691183545163211,-0.057488965915828014,0.019444243218348905,0.0,True,1329.75
4,20.0,B_시각,oos_warm,478,0.10573145979145573,-0.025908119668298858,-0.08691534716731655,0.03815022450998068,0.0,True,477.145
4,25.0,A_선별,full,2710,0.11993938495773666,0.061983461162588877,0.026256490944699756,0.10033872838867154,0.0,True,2709.49
4,25.0,A_선별,is,2031,0.10556972836865905,0.08280844804706183,0.02913122475552091,0.1304749038346609,0.14,False,2030.485
4,25.0,A_선별,oos_warm,679,0.1645918014627884,-0.0007095302279446487,-0.07617905101342333,0.06671363693300049,0.0,True,679.0
4,25.0,B_시각,full,2710,0.11993938495773666,-0.019989624548431877,-0.04598810127238985,0.006912189104002288,0.0,True,2700.78
4,25.0,B_시각,is,2031,0.10556972836865905,-0.017827259228895727,-0.04801552400297414,0.016145106805979914,0.0,True,2023.585
4,25.0,B_시각,oos_warm,679,0.1645918014627884,-0.026802036217072566,-0.08273421036374898,0.031867393671318384,0.0,True,677.25
8,15.0,A_선별,full,861,0.15806525230330493,0.05636979115229309,-0.038768580730492545,0.15269474466751423,0.015,True,860.975
8,15.0,A_선별,is,627,0.14473004127235914,0.07382953589329867,-0.04075496711677641,0.1869612521372307,0.125,False,626.975
8,15.0,A_선별,oos_warm,234,0.18862187206541406,-0.00839563042904818,-0.1514863168195736,0.11625673130121525,0.0,True,234.0
8,15.0,B_시각,full,861,0.15806525230330493,-0.015321627177952532,-0.0884627735210323,0.05923907394568682,0.0,True,858.905
8,15.0,B_시각,is,627,0.14473004127235914,-0.011528945539097295,-0.09916845133874097,0.09207488429104167,0.0,True,625.46
8,15.0,B_시각,oos_warm,234,0.18862187206541406,-0.017559024194672878,-0.12943908684742755,0.11430957435868525,0.0,True,233.505
8,20.0,A_선별,full,1811,0.10002453932368956,0.04707888317784507,-0.014834978503183055,0.10418066449236286,0.045,True,1810.685
8,20.0,A_선별,is,1333,0.0947875597869279,0.06713716900985289,-0.0029458775745772204,0.1418789780738909,0.245,False,1332.78
8,20.0,A_선별,oos_warm,478,0.11270642406400283,-0.01487924221269181,-0.10904862357827677,0.06626808006765512,0.005,True,478.0
8,20.0,B_시각,full,1811,0.10002453932368956,-0.019776089125399937,-0.059807519081212616,0.02724131665950493,0.0,True,1802.5
8,20.0,B_시각,is,1333,0.0947875597869279,-0.013677961205989526,-0.06924051853109851,0.04413290681395254,0.005,True,1326.65
8,20.0,B_시각,oos_warm,478,0.11270642406400283,-0.027278172252456722,-0.10414875255173076,0.05047549358636415,0.005,True,476.305
8,25.0,A_선별,full,2709,0.11728426517086597,0.052234479386096815,0.0029972428011121738,0.10451436867252807,0.01,True,2709.49
8,25.0,A_선별,is,2030,0.10712434330892864,0.07208532611269935,0.01339383926939547,0.1322570145910208,0.12,False,2030.43
8,25.0,A_선별,oos_warm,679,0.14623267190756664,-0.007396924689756077,-0.08554893245224145,0.06601285710125417,0.0,True,678.995
8,25.0,B_시각,full,2709,0.11728426517086597,-0.0207740128475838,-0.0571043151279419,0.01750824677608864,0.0,True,2692.07
8,25.0,B_시각,is,2030,0.10712434330892864,-0.016079259667124212,-0.06641450961031202,0.02751335354217246,0.0,True,2016.39
8,25.0,B_시각,oos_warm,679,0.14623267190756664,-0.029622389764567516,-0.09392108019505446,0.05390246021441187,0.0,True,675.655
