null,segment,symbol,timeframe,real_trades,real_mean_r,null_mean_r,p_value,significant
A_선별,is,SOL/USDT:USDT,2h,23,0.34717486190996794,-0.06712003145321928,0.0,True
A_선별,is,CRV/USDT:USDT,1h,22,0.4769380768188834,0.31407772013283247,0.29,False
A_선별,is,SNX/USDT:USDT,1h,24,-0.11452778603312408,-0.06721102227857538,0.7,False
A_선별,is,SOL/USDT:USDT,1h,27,0.19486445654053408,0.11870974387245323,0.245,False
A_선별,is,SOL/USDT:USDT,4h,20,0.14553410544784387,0.02247257235598095,0.265,False
A_선별,is,LINK/USDT:USDT,4h,20,0.1514428749460594,0.07195419569900695,0.355,False
B_시각,is,SOL/USDT:USDT,2h,23,0.34717486190996794,-0.0024015899315634436,0.01,True
B_시각,is,CRV/USDT:USDT,1h,22,0.4769380768188834,-0.005491419921069738,0.0,True
B_시각,is,SNX/USDT:USDT,1h,24,-0.11452778603312408,-0.02332355084722911,0.82,False
B_시각,is,SOL/USDT:USDT,1h,27,0.19486445654053408,-0.008266920346874882,0.01,True
B_시각,is,SOL/USDT:USDT,4h,20,0.14553410544784387,-0.009118261607743932,0.195,False
B_시각,is,LINK/USDT:USDT,4h,20,0.1514428749460594,-0.03842732724559167,0.075,False
