null,control,real_trades,real_mean_r,null_mean_r,p_value,significant
A_선별,최악 10일 제외,487,0.29110279118117277,0.1602216077945782,0.0,True
A_선별,WAN-410 버킷 안(실제 가중 차),679,,0.12790023056699693,0.01,True
B_시각,최악 10일 제외,487,0.29110279118117277,-0.02353458917703734,0.0,True
B_시각,WAN-410 버킷 안(실제 가중 차),679,,0.08134406391838825,0.055,False
실제,버킷 0,333,0.0747950508236425,,,False
실제,버킷 1,118,-0.0330725061035047,,,False
실제,버킷 2,46,0.38571679964932676,,,False
실제,버킷 3,86,0.5911258330898412,,,False
실제,버킷 4,44,0.2562033571604569,,,False
실제,버킷 5,52,0.2096325931638144,,,False
