drop,real_trades,real_mean_r,A_선별_mean_r,A_선별_p,A_선별_sig,B_시각_mean_r,B_시각_p,B_시각_sig
BTC/USDT:USDT,674,0.16046825259592912,-0.006694731441662282,0.0,True,-0.028388432237278573,0.0,True
ETH/USDT:USDT,669,0.1676458969249968,-0.001017269217050007,0.0,True,-0.028630115010149185,0.0,True
SOL/USDT:USDT,656,0.133379193123356,-0.011172176845209388,0.0,True,-0.02857740694329796,0.0,True
BNB/USDT:USDT,675,0.16685144710408248,-0.0048031812834053444,0.0,True,-0.028616840558118944,0.0,True
XRP/USDT:USDT,658,0.19240950364804918,0.014934854181881861,0.0,True,-0.02832017882973152,0.0,True
TRX/USDT:USDT,676,0.16677702727542956,-0.0017858269677186215,0.0,True,-0.02860616302685485,0.0,True
DOGE/USDT:USDT,651,0.16655395705309872,-0.0001447303208400226,0.0,True,-0.02797058928331296,0.0,True
LINK/USDT:USDT,661,0.16394468366728987,0.006359157143550315,0.0,True,-0.028894911853578578,0.0,True
LTC/USDT:USDT,659,0.1781635329845611,0.011217549876620355,0.0,True,-0.028859951070445672,0.0,True
ADA/USDT:USDT,652,0.18647639800881702,0.007769024156517258,0.0,True,-0.028584202893549477,0.0,True
DOT/USDT:USDT,659,0.16432128960152667,0.00017575777571594747,0.0,True,-0.027915544967168096,0.0,True
BCH/USDT:USDT,658,0.166881921755736,-0.005005031031219606,0.0,True,-0.028243935962349313,0.0,True
ALGO/USDT:USDT,653,0.16275406602622605,-0.010700525390720986,0.0,True,-0.02776034401083759,0.0,True
ATOM/USDT:USDT,661,0.17222695601233456,0.002236911697926711,0.0,True,-0.027921183726084542,0.0,True
ETC/USDT:USDT,660,0.18244242304532435,0.012565369630822781,0.0,True,-0.02771290106448736,0.0,True
THETA/USDT:USDT,652,0.1324820914687141,-0.011014640696290066,0.0,True,-0.026400481685090172,0.0,True
VET/USDT:USDT,657,0.16024105827052654,-0.007437433145586026,0.0,True,-0.027413970046848077,0.0,True
XLM/USDT:USDT,662,0.16758598101270092,-0.004890225343281231,0.0,True,-0.02821650816115255,0.0,True
XMR/USDT:USDT,668,0.17842645703659307,0.005629025221327216,0.0,True,-0.02887092085965765,0.0,True
AVAX/USDT:USDT,645,0.1553656772739946,-0.007060577702631413,0.0,True,-0.028401621616801803,0.0,True
UNI/USDT:USDT,644,0.1654452165767746,-0.001283988876616029,0.0,True,-0.02953210496619119,0.0,True
SUSHI/USDT:USDT,649,0.18360744894416667,0.006405312955007658,0.0,True,-0.0282378453956841,0.0,True
CRV/USDT:USDT,645,0.12816114559959726,-0.018761763518408116,0.0,True,-0.028373666756026004,0.0,True
SNX/USDT:USDT,645,0.15614073444357732,0.004577384070139251,0.0,True,-0.028084032940120022,0.0,True
COMP/USDT:USDT,655,0.1617285582642648,0.0033599821062618405,0.0,True,-0.028565484272154742,0.0,True
YFI/USDT:USDT,656,0.1518322232808555,-0.00562185089392125,0.0,True,-0.027785819431677315,0.0,True
XTZ/USDT:USDT,664,0.15840178817607467,-0.0029659043220976694,0.0,True,-0.028388126123768603,0.0,True
ZEC/USDT:USDT,636,0.1673311111148118,-0.004334510892711359,0.0,True,-0.03132727107350259,0.0,True
DASH/USDT:USDT,647,0.16859801949063855,-0.0008021723172922906,0.0,True,-0.030655505249966363,0.0,True
NEO/USDT:USDT,669,0.16794250466722338,0.0002326036540488658,0.0,True,-0.028076012656464117,0.0,True
EGLD/USDT:USDT,654,0.16649571336022742,0.0023821300618245868,0.0,True,-0.027011784548966848,0.0,True
