floor,hold,threshold,segment,arm_trades,arm_mean_r,floor_trades,floor_mean_r,k_marginal,null_mean_r,p_value,significant
0.0,4,15.0,full,3489,0.012683753457498887,31473,-0.1963168669049083,0.20900062036240719,-0.12804631303411954,0.0,True
0.0,4,15.0,is,1995,0.1125456069779045,21765,-0.17255183953794814,0.28509744651585267,-0.09441266039339069,0.0,True
0.0,4,15.0,oos_warm,1494,-0.12177505831416376,9707,-0.24960386701170675,0.12782880869754298,-0.17428964656895146,0.09,False
0.0,4,20.0,full,6938,-0.013999835288138496,31473,-0.1963168669049083,0.1823170316167698,-0.12802490761929997,0.0,True
0.0,4,20.0,is,4171,0.06532765356622325,21765,-0.17255183953794814,0.2378794931041714,-0.09163537606850099,0.0,True
0.0,4,20.0,oos_warm,2769,-0.13374283381745253,9707,-0.24960386701170675,0.11586103319425423,-0.1765074418466178,0.055,False
0.0,4,25.0,full,10238,-0.04177234426325561,31473,-0.1963168669049083,0.1545445226416527,-0.12858090927917312,0.0,True
0.0,4,25.0,is,6429,0.01971395329313045,21765,-0.17255183953794814,0.19226579283107859,-0.09804429039782675,0.0,True
0.0,4,25.0,oos_warm,3810,-0.1452222920201787,9707,-0.24960386701170675,0.10438157499152806,-0.18169799189952116,0.035,True
0.0,8,15.0,full,3471,0.011999217967865135,29924,-0.215069249311874,0.22706846727973912,-0.12209689896602446,0.0,True
0.0,8,15.0,is,1990,0.10554625769530825,20765,-0.19166415646346271,0.297210414158771,-0.09111272054645557,0.0,True
0.0,8,15.0,oos_warm,1481,-0.11456145584344143,9158,-0.2680443987467001,0.15348294290325867,-0.1682524271287769,0.135,False
0.0,8,20.0,full,6866,-0.00955741483129353,29924,-0.215069249311874,0.20551183448058047,-0.12659119670865798,0.0,True
0.0,8,20.0,is,4141,0.07537424630037456,20765,-0.19166415646346271,0.2670384027638373,-0.10151143772357284,0.0,True
0.0,8,20.0,oos_warm,2728,-0.13926963081032936,9158,-0.2680443987467001,0.12877476793637074,-0.17477439334873082,0.135,False
0.0,8,25.0,full,10097,-0.03980110047987628,29924,-0.215069249311874,0.1752681488319977,-0.13089213813275305,0.0,True
0.0,8,25.0,is,6358,0.022734329325644623,20765,-0.19166415646346271,0.21439848578910733,-0.09513215788756295,0.0,True
0.0,8,25.0,oos_warm,3742,-0.14601778316557362,9158,-0.2680443987467001,0.12202661558112649,-0.17953865995560078,0.08,False
0.02,4,15.0,full,1984,0.07748238140228497,18305,-0.02000872579046593,0.0974911071927509,0.018555193946324263,0.045,True
0.02,4,15.0,is,1275,0.12262669351805515,13386,-0.0011464509219112121,0.12377314443996636,0.03794586319111404,0.03,True
0.02,4,15.0,oos_warm,709,-0.006038161561413851,4920,-0.07097853828373567,0.06494037672232182,-0.01657357839774622,0.4,False
0.02,4,20.0,full,4143,0.07033879866489831,18305,-0.02000872579046593,0.09034752445536424,0.020539204406632747,0.01,True
0.02,4,20.0,is,2729,0.10591424882812339,13386,-0.0011464509219112121,0.1070606997500346,0.041013513730628476,0.0,True
0.02,4,20.0,oos_warm,1414,0.0013287247222087495,4920,-0.07097853828373567,0.07230726300594442,-0.012095736673437345,0.295,False
0.02,4,25.0,full,6267,0.06573562591345286,18305,-0.02000872579046593,0.0857443517039188,0.02145067170385417,0.0,True
0.02,4,25.0,is,4244,0.09548087283944022,13386,-0.0011464509219112121,0.09662732376135143,0.040677589018990636,0.0,True
0.02,4,25.0,oos_warm,2023,0.0038282280514890677,4920,-0.07097853828373567,0.07480676633522473,-0.019085632438767118,0.095,False
0.02,8,15.0,full,1983,0.08568779562210868,17766,-0.03062453889412813,0.1163123345162368,0.014886182793447498,0.02,True
0.02,8,15.0,is,1274,0.14095170177976718,13007,-0.01335631114931071,0.1543080129290779,0.03228014893402431,0.01,True
0.02,8,15.0,oos_warm,709,-0.01541793823090927,4761,-0.0781323281801583,0.06271438994924904,-0.023053414313169686,0.445,False
0.02,8,20.0,full,4122,0.08066848842182714,17766,-0.03062453889412813,0.11129302731595526,0.00899350940997099,0.0,True
0.02,8,20.0,is,2714,0.12343326535384094,13007,-0.01335631114931071,0.13678957650315166,0.029329955620418756,0.01,True
0.02,8,20.0,oos_warm,1408,-0.0024631720717674336,4761,-0.0781323281801583,0.07566915610839087,-0.0241290911020723,0.235,False
0.02,8,25.0,full,6223,0.06982624571810601,17766,-0.03062453889412813,0.10045078461223414,0.012563872545312776,0.0,True
0.02,8,25.0,is,4212,0.11242601643660377,13007,-0.01335631114931071,0.12578232758591448,0.03006021660917868,0.0,True
0.02,8,25.0,oos_warm,2012,-0.015361435508011069,4761,-0.0781323281801583,0.06277089267214724,-0.02695769303703199,0.31,False
0.03,4,15.0,full,1305,0.11376355650984074,12518,-0.006417064026312137,0.12018062053615287,0.034264541259158794,0.02,True
0.03,4,15.0,is,906,0.10501161758115438,9482,0.009770196332239,0.09524142124891538,0.05714425503373424,0.175,False
0.03,4,15.0,oos_warm,399,0.1332302051173444,3036,-0.05709856938145777,0.19032877449880217,-0.01254320115575431,0.0,True
0.03,4,20.0,full,2771,0.09056059954477581,12518,-0.006417064026312137,0.09697766357108795,0.03361663301586417,0.025,True
0.03,4,20.0,is,1940,0.09037334388703042,9482,0.009770196332239,0.08060314755479142,0.05697505275983425,0.135,False
0.03,4,20.0,oos_warm,831,0.09220131922607865,3036,-0.05709856938145777,0.1492998886075364,-0.0275346835329722,0.005,True
0.03,4,25.0,full,4153,0.08446448945226911,12518,-0.006417064026312137,0.09088155347858125,0.03756291241673035,0.01,True
0.03,4,25.0,is,2972,0.08238326451597543,9482,0.009770196332239,0.07261306818373643,0.06288652171495322,0.18,False
0.03,4,25.0,oos_warm,1181,0.09066230383429938,3036,-0.05709856938145777,0.14776087321575715,-0.019712525559741657,0.0,True
0.03,8,15.0,full,1305,0.13031063903608653,12368,-0.014339783323560526,0.14465042235964706,0.02973340178585526,0.01,True
0.03,8,15.0,is,906,0.12009542832998253,9376,-0.0009454965418235583,0.1210409248718061,0.04748701791384768,0.115,False
0.03,8,15.0,oos_warm,399,0.15047117188736595,2993,-0.05685859899326442,0.20732977088063037,-0.018718180988333333,0.0,True
0.03,8,20.0,full,2769,0.08983258175735143,12368,-0.014339783323560526,0.10417236508091195,0.023886699370358668,0.0,True
0.03,8,20.0,is,1938,0.0814935833762976,9376,-0.0009454965418235583,0.08243907991812116,0.04589616437790474,0.155,False
0.03,8,20.0,oos_warm,831,0.1081743700195041,2993,-0.05685859899326442,0.1650329690127685,-0.03492969070373652,0.0,True
0.03,8,25.0,full,4149,0.08303020183080477,12368,-0.014339783323560526,0.09736998515436529,0.027737167644694864,0.005,True
0.03,8,25.0,is,2968,0.07671800898124527,9376,-0.0009454965418235583,0.07766350552306883,0.047407727108283976,0.11,False
0.03,8,25.0,oos_warm,1181,0.09807331374611362,2993,-0.05685859899326442,0.15493191273937804,-0.024216660088738563,0.0,True
0.04,4,15.0,full,861,0.15390947082837067,8394,0.05096887677754382,0.10294059405082685,0.06609162268062219,0.03,True
0.04,4,15.0,is,627,0.13526130255944527,6621,0.06977720487784399,0.06548409768160128,0.09323257229532946,0.21,False
0.04,4,15.0,oos_warm,234,0.20318441796350048,1773,-0.019407508837318233,0.2225919268008187,0.01024426957847353,0.005,True
0.04,4,20.0,full,1811,0.1030326951129316,8394,0.05096887677754382,0.052063818335387785,0.061705686511036646,0.055,False
0.04,4,20.0,is,1333,0.10281525517504882,6621,0.06977720487784399,0.03303805029720483,0.0801338007603001,0.25,False
0.04,4,20.0,oos_warm,478,0.10573145979145573,1773,-0.019407508837318233,0.12513896862877397,-0.0021873558516856463,0.005,True
0.04,4,25.0,full,2710,0.11993938495773666,8394,0.05096887677754382,0.06897050818019285,0.06470379625766254,0.005,True
0.04,4,25.0,is,2031,0.10556972836865905,6621,0.06977720487784399,0.03579252349081506,0.08334014884717039,0.2,False
0.04,4,25.0,oos_warm,679,0.1645918014627884,1773,-0.019407508837318233,0.18399931030010663,0.003720934519607315,0.0,True
0.04,8,15.0,full,861,0.15806525230330493,8363,0.04283008143559519,0.11523517086770974,0.05072398904720355,0.005,True
0.04,8,15.0,is,627,0.14473004127235914,6601,0.05874678087097369,0.08598326040138546,0.07978815432664169,0.155,False
0.04,8,15.0,oos_warm,234,0.18862187206541406,1762,-0.018150719313468264,0.20677259137888232,-0.009454636030118247,0.0,True
0.04,8,20.0,full,1811,0.10002453932368956,8363,0.04283008143559519,0.057194457888094366,0.04969892393551514,0.035,True
0.04,8,20.0,is,1333,0.0947875597869279,6601,0.05874678087097369,0.03604077891595422,0.06587886689212043,0.2,False
0.04,8,20.0,oos_warm,478,0.11270642406400283,1762,-0.018150719313468264,0.1308571433774711,-0.013530765071229316,0.0,True
0.04,8,25.0,full,2709,0.11728426517086597,8363,0.04283008143559519,0.07445418373527078,0.054509776997276604,0.005,True
0.04,8,25.0,is,2030,0.10712434330892864,6601,0.05874678087097369,0.048377562437954956,0.0772896038046397,0.13,False
0.04,8,25.0,oos_warm,679,0.14623267190756664,1762,-0.018150719313468264,0.1643833912210349,-0.00729013474871725,0.0,True
