metric,left,right,abs_diff
(a) 무제한 팔 거래 수 ≡ 공개 채택 북,14843.0,14843.0,0.0
(a) 무제한 팔 거래당 net R ≡ 공개 채택 북,-0.12073851686076328,-0.12073851686076308,2.0816681711721685e-16
(d) 관측 · High(10) × full 캡 감소율 ↔ 순위 몫,0.017073960187732645,0.03582699465932999,0.018753034471597343
(d) 관측 · High(10) × oos_warm 캡 감소율 ↔ 순위 몫,0.026746614565788588,0.04877720137438523,0.022030586808596642
(d) 관측 · Medium(5) × full 캡 감소율 ↔ 순위 몫,0.05304256352160544,0.11241705777633922,0.059374494254733776
(d) 관측 · Medium(5) × oos_warm 캡 감소율 ↔ 순위 몫,0.06420534932291316,0.12416627366435357,0.0599609243414404
(d) 관측 · Low(3) = 원본 기본 × full 캡 감소율 ↔ 순위 몫,0.09489804175432918,0.20339051626476776,0.10849247451043857
(d) 관측 · Low(3) = 원본 기본 × oos_warm 캡 감소율 ↔ 순위 몫,0.1056390217610995,0.21936266253452805,0.11372364077342854
(d) 관측 · One(1) × full 캡 감소율 ↔ 순위 몫,0.24105842369315422,0.49771403139666615,0.2566556077035119
(d) 관측 · One(1) × oos_warm 캡 감소율 ↔ 순위 몫,0.24893889375463182,0.5036043926429967,0.25466549888836487
