check,combo,segment,metric,left,right,abs_diff
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,full,num_trades,861.0,861.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,full,mean_net_r(소수 3자리),0.154,0.154,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,is,num_trades,627.0,627.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,is,mean_net_r(소수 3자리),0.135,0.135,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,oos_warm,num_trades,234.0,234.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<15,oos_warm,mean_net_r(소수 3자리),0.203,0.203,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,full,num_trades,2710.0,2710.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,full,mean_net_r(소수 3자리),0.12,0.12,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,is,num_trades,2031.0,2031.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,is,mean_net_r(소수 3자리),0.106,0.106,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,oos_warm,num_trades,679.0,679.0,0.0
(a′) WAN-424 §1 기준값 재현,ts4·하한4%·%K<25,oos_warm,mean_net_r(소수 3자리),0.165,0.165,0.0
(b) 순위를 못 잰 거래 0건,ts4·하한4%·%K<15,full,num_unranked,0.0,0.0,0.0
(c) 탭 시각 ∈ 그 존의 tapped_times,ts4·하한4%·%K<15,full,num_mismatched,0.0,0.0,0.0
(b) 순위를 못 잰 거래 0건,ts4·하한4%·%K<15,oos_warm,num_unranked,0.0,0.0,0.0
(c) 탭 시각 ∈ 그 존의 tapped_times,ts4·하한4%·%K<15,oos_warm,num_mismatched,0.0,0.0,0.0
(b) 순위를 못 잰 거래 0건,ts4·하한4%·%K<25,full,num_unranked,0.0,0.0,0.0
(c) 탭 시각 ∈ 그 존의 tapped_times,ts4·하한4%·%K<25,full,num_mismatched,0.0,0.0,0.0
(b) 순위를 못 잰 거래 0건,ts4·하한4%·%K<25,oos_warm,num_unranked,0.0,0.0,0.0
(c) 탭 시각 ∈ 그 존의 tapped_times,ts4·하한4%·%K<25,oos_warm,num_mismatched,0.0,0.0,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · High(10),full,관측: 실제 감소율 − 순위 몫,0.022067363530778164,0.022067363530778164,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · Medium(5),full,관측: 실제 감소율 − 순위 몫,0.13124274099883856,0.13124274099883856,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · Low(3) = 원본 기본,full,관측: 실제 감소율 − 순위 몫,0.2775842044134727,0.2775842044134727,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · One(1),full,관측: 실제 감소율 − 순위 몫,0.6771196283391405,0.6771196283391405,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · High(10),oos_warm,관측: 실제 감소율 − 순위 몫,0.008547008547008548,0.008547008547008548,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · Medium(5),oos_warm,관측: 실제 감소율 − 순위 몫,0.1111111111111111,0.1111111111111111,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · Low(3) = 원본 기본,oos_warm,관측: 실제 감소율 − 순위 몫,0.2606837606837607,0.2606837606837607,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<15 · One(1),oos_warm,관측: 실제 감소율 − 순위 몫,0.6495726495726496,0.6495726495726496,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · High(10),full,관측: 실제 감소율 − 순위 몫,0.01734317343173432,0.01734317343173432,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · Medium(5),full,관측: 실제 감소율 − 순위 몫,0.09261992619926199,0.09261992619926199,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · Low(3) = 원본 기본,full,관측: 실제 감소율 − 순위 몫,0.1952029520295203,0.1952029520295203,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · One(1),full,관측: 실제 감소율 − 순위 몫,0.5560885608856089,0.5560885608856089,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · High(10),oos_warm,관측: 실제 감소율 − 순위 몫,0.011782032400589101,0.011782032400589101,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · Medium(5),oos_warm,관측: 실제 감소율 − 순위 몫,0.07511045655375552,0.07511045655375552,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · Low(3) = 원본 기본,oos_warm,관측: 실제 감소율 − 순위 몫,0.18409425625920472,0.18409425625920472,0.0
(d) 캡 감소율 ↔ 순위 몫 (관측 · 0이면 용량 미포화),ts4·하한4%·%K<25 · One(1),oos_warm,관측: 실제 감소율 − 순위 몫,0.5287187039764359,0.5287187039764359,0.0
