floor,hold,threshold,segment,num_trades,mean_net_r,se_net_r,mean_cost_r,mean_gross_r,median_stop_width
0.005,4,15.0,full,4289,-0.04856386740313329,0.027922955868293905,0.11678827418580863,0.06822440678267534,0.00977888254684396
0.005,4,15.0,is,2669,-0.01896284107313659,0.03116142096274655,0.11102785835919421,0.09206501728605762,0.010469457653360692
0.005,4,15.0,oos_warm,1620,-0.09733247189372639,0.05318411876435241,0.12627873705076686,0.028946265157040477,0.00879439365438953
0.005,8,15.0,full,4287,-0.05568383196796595,0.0318237533182032,0.11691221686685975,0.0612283848988938,0.009777691637508794
0.005,8,15.0,is,2669,-0.022257185861273975,0.03310656679191909,0.11120834000008614,0.08895115413881216,0.010469457653360692
0.005,8,15.0,oos_warm,1618,-0.11082333657783014,0.06423626365981593,0.1263211460123592,0.015497809434529053,0.008781737240332587
0.005,12,15.0,full,4286,-0.02295589055360616,0.03640391252408856,0.11714381595955006,0.0941879254059439,0.009761722714809221
0.005,12,15.0,is,2668,0.027190043270050965,0.0395470032131834,0.1116402173304597,0.13883026060051068,0.010465988168545163
0.005,12,15.0,oos_warm,1618,-0.1056439940403289,0.07101007512552934,0.12621897117735756,0.02057497713702866,0.008781737240332587
0.005,16,15.0,full,4286,-0.02510779538734603,0.037943292139927934,0.11743063459270307,0.09232283920535704,0.009761722714809221
0.005,16,15.0,is,2668,0.04990759697106785,0.04370017015584074,0.11200687077338262,0.16191446774445045,0.010465988168545163
0.005,16,15.0,oos_warm,1618,-0.14880437561741303,0.0699793082548124,0.12637414625521645,-0.022430229362196574,0.008781737240332587
0.005,24,15.0,full,4286,-0.05663563116203311,0.038968101331813915,0.11767420776549183,0.06103857660345872,0.009761722714809221
0.005,24,15.0,is,2668,0.003008462701299995,0.04320447140802867,0.11238059144473292,0.11538905414603291,0.010465988168545163
0.005,24,15.0,oos_warm,1618,-0.15498571918883947,0.0746534625528802,0.1264031127987329,-0.02858260639010657,0.008781737240332587
0.005,4,20.0,full,8684,-0.06945894970290488,0.019982418952852445,0.11790239921576025,0.04844344951285537,0.009651392659165467
0.005,4,20.0,is,5598,-0.027512753639831283,0.02407541012072283,0.11257080545251769,0.0850580518126864,0.010333068521430845
0.005,4,20.0,oos_warm,3086,-0.14554929499165642,0.03538404980047771,0.12757390339159747,-0.017975391600058954,0.008637554808429954
0.005,8,20.0,full,8673,-0.0738229045342794,0.022155168101365013,0.11807986879858944,0.04425696426431004,0.00964951561207405
0.005,8,20.0,is,5591,-0.026192079939018138,0.026004837803087683,0.11282123783096269,0.08662915789194456,0.010333068521430858
0.005,8,20.0,oos_warm,3082,-0.16022911488862884,0.04072271008962038,0.12761945534628608,-0.03260965954234277,0.00862945672789419
0.005,12,20.0,full,8670,-0.04464744565519897,0.02504781526937715,0.1182144073966894,0.07356696174149042,0.00964838400036488
0.005,12,20.0,is,5590,0.012625903865778944,0.03006492436585038,0.11313904124060992,0.12576494510638886,0.010333068521430845
0.005,12,20.0,oos_warm,3080,-0.14859485598710376,0.04459935487916901,0.1274258674007429,-0.02116898858636085,0.00862945672789419
0.005,16,20.0,full,8665,-0.05294146088014637,0.025994585815283206,0.11850387137304848,0.06556241049290211,0.00964951561207405
0.005,16,20.0,is,5587,0.013658739225169704,0.03195129195285887,0.11351670246833756,0.12717544169350725,0.010333068521430833
0.005,16,20.0,oos_warm,3078,-0.1738301281928174,0.04455108586056075,0.12755627964810398,-0.04627384854471342,0.008634725851224429
0.005,24,20.0,full,8659,-0.07552012054678564,0.027095681795958323,0.11873978022970558,0.043219659682919936,0.009653269706256885
0.005,24,20.0,is,5584,-0.017926832402671032,0.03274494616841376,0.11382347071683405,0.09589663831416301,0.010333068521430858
0.005,24,20.0,oos_warm,3075,-0.1801057859115776,0.04775998027846484,0.1276674785451133,-0.05243830736646432,0.008639336771429027
0.005,4,25.0,full,13323,-0.07339661475192047,0.016620528687861118,0.11765388704877619,0.04425727229685572,0.009681730671779253
0.005,4,25.0,is,8866,-0.0423464292222032,0.019788309261655115,0.11235647897311817,0.07001004975091496,0.010337509960112828
0.005,4,25.0,oos_warm,4457,-0.13516258848009477,0.03029493741670505,0.12819165236149474,-0.00697093611860003,0.00862216879066011
0.005,8,25.0,full,13291,-0.06778164837197678,0.01811600789618012,0.11793778969521727,0.05015614132324049,0.00968422916207278
0.005,8,25.0,is,8850,-0.031556090971055675,0.021113890702193525,0.11274913829029441,0.08119304731923874,0.01033886656668322
0.005,8,25.0,oos_warm,4441,-0.13997173686514283,0.03417097619524052,0.12827770523981868,-0.011694031625324147,0.008621585277859799
0.005,12,25.0,full,13268,-0.04932761038655333,0.020292031780060865,0.11819623057652351,0.06886862018997017,0.009680107373674422
0.005,12,25.0,is,8833,-0.009903892744471744,0.02412639039540354,0.11319299642093464,0.10328910367646289,0.01033624260526617
0.005,12,25.0,oos_warm,4435,-0.12784614430594618,0.03707525944223789,0.1281609582645339,0.00031481395858770633,0.00859156705829094
0.005,16,25.0,full,13247,-0.05162866285065508,0.0213434417264909,0.11842651207008316,0.06679784921942808,0.009679732827138764
0.005,16,25.0,is,8819,-0.0005232533226576631,0.026060593010713888,0.11345581742444241,0.11293256410178475,0.010338955818406952
0.005,16,25.0,oos_warm,4428,-0.15341244935187667,0.03714707039102285,0.1283263666500077,-0.02508608270186896,0.008588534930287729
0.005,24,25.0,full,13233,-0.06887410652056866,0.021810987867855063,0.11877731244785032,0.04990320592728166,0.009679130092635024
0.005,24,25.0,is,8810,-0.023256930039005273,0.026008821675738245,0.11393978949436245,0.09068285945535717,0.01033886656668322
0.005,24,25.0,oos_warm,4423,-0.15973716887701714,0.0396478269558487,0.12841298443976248,-0.031324184437254654,0.0085887287755325
0.01,4,15.0,full,2096,0.04487763509121499,0.044460599727693076,0.07278979981263807,0.11766743490385306,0.01471511573106541
0.01,4,15.0,is,1433,0.04479751428966489,0.04012531808194015,0.07096800657723497,0.11576552086689987,0.0151718082444694
0.01,4,15.0,oos_warm,663,0.04505080720074922,0.1106759205935705,0.07672740117965574,0.12177820838040496,0.014118899361708868
0.01,8,15.0,full,2096,0.05805010376247195,0.05128836425203433,0.07311177495968396,0.1311618787221559,0.01471511573106541
0.01,8,15.0,is,1433,0.04126665474240658,0.041691211742144296,0.07138027287897769,0.11264692762138427,0.0151718082444694
0.01,8,15.0,oos_warm,663,0.09432564289633869,0.13486230823224957,0.07685422214166296,0.17117986503800164,0.014118899361708868
0.01,12,15.0,full,2096,0.1029539696638599,0.057940090455236806,0.07326229956656768,0.1762162692304276,0.01471511573106541
0.01,12,15.0,is,1433,0.09788601189166296,0.049286718443272724,0.07170062946545488,0.16958664135711785,0.0151718082444694
0.01,12,15.0,oos_warm,663,0.11390779091206193,0.14909282093822826,0.07663767400833903,0.19054546492040098,0.014118899361708868
0.01,16,15.0,full,2096,0.09301723676441088,0.05895456196590402,0.07364320388470676,0.16666044064911764,0.01471511573106541
0.01,16,15.0,is,1433,0.1140897150278172,0.05434649399189007,0.07222692164507799,0.1863166366728952,0.0151718082444694
0.01,16,15.0,oos_warm,663,0.04747144287080409,0.1447728572064247,0.07670433880082714,0.12417578167163124,0.014118899361708868
0.01,24,15.0,full,2096,0.04699247484496514,0.06080208239939377,0.0736999740736285,0.12069244891859363,0.01471511573106541
0.01,24,15.0,is,1433,0.04291586167074343,0.05258114446724692,0.07233447269785467,0.1152503343685981,0.0151718082444694
0.01,24,15.0,oos_warm,663,0.05580361614007771,0.1551119176632721,0.0766513518586721,0.1324549679987498,0.014118899361708868
0.01,4,20.0,full,4184,-0.006094878988062908,0.02703610098207904,0.07373431525008463,0.06763943626202172,0.014565021450017049
0.01,4,20.0,is,2966,0.0273139305409109,0.028075473309527952,0.07211174459545243,0.09942567513636333,0.014984640234917544
0.01,4,20.0,oos_warm,1218,-0.08744999316124527,0.0628195853762886,0.07768550126128243,-0.00976449189996284,0.013853703377182166
0.01,8,20.0,full,4182,0.008760586456710405,0.031199793789416886,0.07401233176032257,0.08277291821703298,0.014574996853271089
0.01,8,20.0,is,2965,0.038960386088146066,0.030962406495105163,0.07247732996039398,0.11143771604854005,0.014987345605847096
0.01,8,20.0,oos_warm,1217,-0.0648157536478145,0.07616979874119242,0.07775208552925317,0.012936331881438667,0.013847666717711996
