scope,hold,floor,threshold,segment,num_trades,mean_net_r,se_net_r,fixed_return,fixed_mdd,compound_return,compound_mdd,compound_ruined
__all__,4,0.03,15.0,full,1496,0.10829618393415502,0.03740703030098509,1.6201109116549537,0.3039671305250701,3.3538555032515243,0.4961110493947266,False
__all__,4,0.03,15.0,is,1061,0.10399280453155009,0.04596029403029328,1.103363656079745,0.3039671305250701,1.6960491133433773,0.4899087201381481,False
__all__,4,0.03,15.0,oos_warm,435,0.11841991191385128,0.06317465632881766,0.515126616825252,0.4600444033698917,0.6123157873253018,0.49611104939472683,False
__no15m__,4,0.03,15.0,full,1305,0.11376355650984077,0.042011195456311476,1.4846144124534235,0.3130218119392443,2.826118001367489,0.4961110493947265,False
__no15m__,4,0.03,15.0,is,906,0.10501161758115442,0.0526827820135339,0.9514052552852614,0.3130218119392443,1.3276375619574194,0.47057023754228644,False
__no15m__,4,0.03,15.0,oos_warm,399,0.13323020511734435,0.0676702168604499,0.5315885184182028,0.463642323967287,0.6411447864105044,0.4961110493947264,False
15m,4,0.03,15.0,full,191,0.070940575498187,0.05887499920837762,0.13549649920153706,0.06694758999525774,0.13793027337249097,0.07835752329703005,False
15m,4,0.03,15.0,is,155,0.09803767793192777,0.06471617201384786,0.15195840079448786,0.05547233955824982,0.15827702620339967,0.06290441715417117,False
15m,4,0.03,15.0,oos_warm,36,-0.04572750442486359,0.1414635203547267,-0.01646190159295069,0.06627077104196366,-0.017566395923090172,0.06667898693808305,False
1h,4,0.03,15.0,full,215,0.08660316400621224,0.07463287912934377,0.18619680261335692,0.19295363294923806,0.18939124758906933,0.20268737042095364,False
1h,4,0.03,15.0,is,151,0.080820569149485,0.09145751438808589,0.12203905941572368,0.19295363294923806,0.11921324319130022,0.20268737042095364,False
1h,4,0.03,15.0,oos_warm,64,0.10024647374630304,0.12872081426347012,0.06415774319763368,0.07847650200266076,0.0627029789226452,0.0786535803540176,False
2h,4,0.03,15.0,full,222,0.10516335059696458,0.08523500396705408,0.23346263832526182,0.1564624442683582,0.24087565876822503,0.1867528419992187,False
2h,4,0.03,15.0,is,141,0.14238927215509753,0.10497134671036906,0.20076887373868768,0.07864113956041252,0.20919399505773195,0.09531171933806426,False
2h,4,0.03,15.0,oos_warm,81,0.04036267232910355,0.14613617225156791,0.032693764586573915,0.1846761379564541,0.026200645917846765,0.18675284199921804,False
3h,4,0.03,15.0,full,225,0.10836081038603892,0.08148560159614666,0.24381182336858598,0.21809324487832982,0.255014167156715,0.2508769602186419,False
3h,4,0.03,15.0,is,143,0.1696251490476679,0.10014017780273848,0.24256396313816442,0.10372361390180651,0.2615200117242027,0.11660508867451602,False
3h,4,0.03,15.0,oos_warm,82,0.0015217807688078667,0.1396584185832554,0.0012478602304220043,0.26730077496546967,-0.0051571473357729936,0.2508769602186419,False
4h,4,0.03,15.0,full,208,0.08919152511926659,0.10603106580686296,0.18551837224807377,0.16922196215975005,0.17616897279682409,0.17191231048022548,False
4h,4,0.03,15.0,is,148,0.013709953916469642,0.1294532907113944,0.02029073179637475,0.16922196215975005,0.003004219534080921,0.17191231048022548,False
4h,4,0.03,15.0,oos_warm,60,0.27537940075283235,0.18144681620739034,0.16522764045169902,0.06408340646995436,0.1726460865171464,0.06926991822986983,False
6h,4,0.03,15.0,full,162,0.1099088787333349,0.10664723035572551,0.1780523835480019,0.13741741426972387,0.17746427002355247,0.1576012223539175,False
6h,4,0.03,15.0,is,132,0.06056747695322702,0.11366924569328178,0.07994906957825942,0.13741741426972387,0.07135754556261475,0.1576012223539175,False
6h,4,0.03,15.0,oos_warm,30,0.32701104656580965,0.28665129420085506,0.09810331396974226,0.043466933487584014,0.09903950823925589,0.048089357164119995,False
8h,4,0.03,15.0,full,140,0.15722449534658153,0.2246501347585537,0.22011429348521494,0.16345434262437297,0.1935646969323528,0.19363426342590617,False
8h,4,0.03,15.0,is,102,0.15697977250188258,0.2985118273461173,0.16011936795192105,0.16345434262437297,0.1276867255458125,0.19363426342590617,False
8h,4,0.03,15.0,oos_warm,38,0.15788138298235227,0.213513863672862,0.059994925533293886,0.08785218759446856,0.05841868126509642,0.09338444570488058,False
12h,4,0.03,15.0,full,80,0.3292195811674976,0.17192331901341593,0.2633756649339978,0.08047272959815954,0.2888835549937143,0.10072994424404458,False
12h,4,0.03,15.0,is,54,0.4936408658405601,0.19322097226794638,0.26656606755390233,0.050060856071872384,0.29778054725047065,0.06290618898291966,False
12h,4,0.03,15.0,oos_warm,26,-0.012270779307324427,0.3407264884984754,-0.003190402619904331,0.08030209037826208,-0.006855544472141761,0.0782188422044402,False
1d,4,0.03,15.0,full,49,-0.016348099462164922,0.20357481846101125,-0.008010568736460444,0.1906845085384472,-0.01274221056706415,0.1777344153894712,False
1d,4,0.03,15.0,is,32,-0.3899852252331496,0.17470387377260943,-0.1247952720746075,0.14285885459096614,-0.1188702191565908,0.13609607390258394,False
1d,4,0.03,15.0,oos_warm,17,0.686968843165571,0.4468825575078823,0.11678470333814683,0.05065974639371773,0.12044537694315771,0.04964353288507273,False
1w,4,0.03,15.0,full,5,-0.2715744575457885,0.40153984466392495,-0.01357872287728934,0.022061227655964855,-0.01366431720900474,0.021920898196653216,False
1w,4,0.03,15.0,is,4,-0.2942082839460799,0.48041723109238854,-0.011768331357843165,0.022061227655964855,-0.011853631430431388,0.021920898196653216,False
1w,4,0.03,15.0,oos_warm,1,-0.3431030269405106,,-0.0034310302694050554,0.0034310302694050554,-0.0034310302694050554,0.0034310302694050554,False
__all__,8,0.03,15.0,full,1496,0.12992814135374464,0.042188735467883945,1.9437249946520168,0.31358264990985496,4.76787427012629,0.5718974740234053,False
__all__,8,0.03,15.0,is,1061,0.1272558922475532,0.05097014777756973,1.3501850167465395,0.31358264990985496,2.3567895906262626,0.5718974740234053,False
__all__,8,0.03,15.0,oos_warm,435,0.13366222873213432,0.07464601708720427,0.5814306949847818,0.5206346919479947,0.698183644390731,0.5125282510251375,False
__no15m__,8,0.03,15.0,full,1305,0.13031063903608653,0.04732237193526811,1.7005538394209263,0.3411131346639409,3.561807131585641,0.5580341329096963,False
__no15m__,8,0.03,15.0,is,906,0.12009542832998253,0.058323086232596806,1.088064580669641,0.3411131346639409,1.6003685718197578,0.5580341329096963,False
__no15m__,8,0.03,15.0,oos_warm,399,0.15047117188736597,0.07992956476072621,0.6003799758305881,0.522524540773321,0.733784036440144,0.5125282510251374,False
15m,8,0.03,15.0,full,191,0.1273147409586886,0.0684258424944814,0.243171155231096,0.07657279359795421,0.2643836321333912,0.09752975092508764,False
15m,8,0.03,15.0,is,155,0.16910995875929127,0.07448742086707211,0.2621204360769025,0.061319419893907656,0.2908899249913417,0.06961559374872661,False
15m,8,0.03,15.0,oos_warm,36,-0.05263689123835063,0.1691176812660269,-0.01894928084580616,0.09221621435580629,-0.02053334861849554,0.09220486562405761,False
1h,8,0.03,15.0,full,215,0.0933924861443096,0.08597166671144267,0.20079384521026533,0.21128877441806548,0.2018841277054353,0.2257326885870653,False
1h,8,0.03,15.0,is,151,0.10181308163652561,0.10503066161697357,0.1537377532711539,0.21128877441806548,0.1517863511212003,0.2257326885870653,False
1h,8,0.03,15.0,oos_warm,64,0.07352514365486248,0.1495427003726088,0.04705609193911253,0.0973090882003983,0.043495719961837764,0.09581163265618586,False
2h,8,0.03,15.0,full,222,0.2700517314775123,0.1098803745042476,0.5995148438800766,0.13686482800480182,0.7680536162873675,0.1946601343746568,False
2h,8,0.03,15.0,is,141,0.31380829281676553,0.13629572017184244,0.44246969287163873,0.08714870145855635,0.5280151356937639,0.11615378384355801,False
2h,8,0.03,15.0,oos_warm,81,0.1938829024795534,0.18630555190179668,0.15704515100843786,0.19040004163203428,0.1570916903808155,0.194660134374657,False
3h,8,0.03,15.0,full,225,0.21517308900736365,0.10474912146348929,0.48413945026656857,0.2006879240300974,0.5787196024805954,0.26652644527112557,False
3h,8,0.03,15.0,is,143,0.3374292110555783,0.1344262460785819,0.4825237718094779,0.09476586159121914,0.5902145153244984,0.11681007739775495,False
3h,8,0.03,15.0,oos_warm,82,0.001970339581818673,0.1647154582409282,0.0016156784570908744,0.2795803320160989,-0.007228529694031094,0.2508769602186417,False
4h,8,0.03,15.0,full,208,0.013134590687192839,0.14296284560807987,0.02731994862936138,0.27279014259686496,-0.0127036065369448,0.282608525179037,False
4h,8,0.03,15.0,is,148,-0.039365054145324964,0.1857662552576262,-0.058260280135080666,0.21808195270246566,-0.08790151293105075,0.23413561256709037,False
4h,8,0.03,15.0,oos_warm,60,0.1426337146074034,0.19000486802297112,0.08558022876444227,0.09819917302627756,0.08244494148406822,0.09554509266808253,False
6h,8,0.03,15.0,full,162,-0.0006575265882722665,0.11424707814988094,-0.0010651930729999037,0.2344505568356503,-0.017636444443053123,0.25658134600867866,False
6h,8,0.03,15.0,is,132,-0.018041953133058473,0.12400162401776789,-0.023815378135636056,0.23359480001038369,-0.03621661185355696,0.2554000210222922,False
6h,8,0.03,15.0,oos_warm,30,0.07583395020878704,0.29229253411716094,0.02275018506263593,0.07491195518029858,0.019278364453072072,0.07812246236749776,False
8h,8,0.03,15.0,full,140,0.1402304670248119,0.19493256033780174,0.19632265383473646,0.2239772394634254,0.1757261216876791,0.24838696181292919,False
8h,8,0.03,15.0,is,102,0.041472831187830315,0.23559381353953424,0.042302287811586625,0.2239772394634254,0.016170507104270815,0.24838696181292919,False
8h,8,0.03,15.0,oos_warm,38,0.40531675269249934,0.34151248026066555,0.15402036602314984,0.0843560777054988,0.1570165769109806,0.09342730005046607,False
12h,8,0.03,15.0,full,80,0.3324033431737192,0.19441104978207138,0.2659226745389758,0.07468322453939846,0.2888896780310952,0.08317615434973458,False
12h,8,0.03,15.0,is,54,0.4359488100358633,0.22744733862511368,0.23541235741936628,0.07468322453939846,0.25563674838382866,0.07553410453764875,False
12h,8,0.03,15.0,oos_warm,26,0.09853457693907061,0.3591502123653874,0.02561899000415857,0.07307254205658054,0.021730757289093905,0.0717436644736702,False
1d,8,0.03,15.0,full,49,-0.1078058788647007,0.2085892342839478,-0.05282488064370339,0.22394134431180546,-0.056250234611064265,0.20453191245822255,False
