symbol,timeframe,variant,num_trades,num_wins,num_losses,win_rate,profit_factor,avg_win,avg_loss,avg_trade_return,total_return,max_drawdown,sharpe,eligible_setups,num_filled,fill_rate,num_penetrations
BTC/USDT:USDT,15m,A_close_closedbar,507,218,289,0.42998,0.571462,33.458488,-44.164913,-0.001532,-0.546971,0.582034,-38.223149,,,,
BTC/USDT:USDT,15m,B_zonelimit_realtime,740,290,450,0.391892,0.837251,64.928168,-49.976163,-0.000582,-0.36601,0.440808,-13.223364,2398,743,0.309842,2
BTC/USDT:USDT,1d,A_close_closedbar,6,2,4,0.333333,0.875774,606.992327,-346.546079,-0.001578,-0.01722,0.066968,-0.543554,,,,
BTC/USDT:USDT,1d,B_zonelimit_realtime,9,3,6,0.333333,1.110691,1413.555747,-636.340502,0.013473,0.042262,0.317623,1.726465,24,9,0.375,0
BTC/USDT:USDT,1h,A_close_closedbar,134,72,62,0.537313,0.962039,91.168836,-110.05116,-0.000106,-0.025902,0.137204,-0.737983,,,,
BTC/USDT:USDT,1h,B_zonelimit_realtime,192,82,110,0.427083,0.996065,148.114897,-110.849094,0.000145,-0.004798,0.223086,0.718976,608,194,0.319079,0
BTC/USDT:USDT,4h,A_close_closedbar,32,15,17,0.46875,0.63459,146.31405,-203.439504,-0.0041,-0.126376,0.224085,-4.704453,,,,
BTC/USDT:USDT,4h,B_zonelimit_realtime,56,25,31,0.446429,1.087809,262.161156,-194.354308,0.001508,0.052905,0.234117,1.99234,140,56,0.4,0
ETH/USDT:USDT,15m,A_close_closedbar,542,234,308,0.431734,0.531916,34.445706,-49.199098,-0.002221,-0.709303,0.709303,-39.550104,,,,
ETH/USDT:USDT,15m,B_zonelimit_realtime,749,300,449,0.400534,0.8358,74.365839,-59.449203,-0.0007,-0.438294,0.491673,-10.947131,2418,754,0.311828,1
ETH/USDT:USDT,1d,A_close_closedbar,10,2,8,0.2,0.324272,727.94381,-561.213225,-0.029394,-0.303382,0.396017,-7.143253,,,,
ETH/USDT:USDT,1d,B_zonelimit_realtime,12,4,8,0.333333,0.887315,990.001455,-557.86349,0.000402,-0.05029,0.210651,0.07218,24,12,0.5,0
ETH/USDT:USDT,1h,A_close_closedbar,150,67,83,0.446667,0.499309,78.505766,-126.919547,-0.004766,-0.527444,0.54263,-21.443031,,,,
ETH/USDT:USDT,1h,B_zonelimit_realtime,219,83,136,0.378995,0.657452,108.628543,-100.836818,-0.002706,-0.469764,0.511448,-13.049792,583,220,0.377358,0
ETH/USDT:USDT,4h,A_close_closedbar,32,10,22,0.3125,0.533718,242.962828,-206.921241,-0.009157,-0.212264,0.212264,-10.723225,,,,
ETH/USDT:USDT,4h,B_zonelimit_realtime,50,18,32,0.36,1.181143,501.383829,-238.775772,0.003583,0.138408,0.202737,3.62576,131,50,0.381679,0
SOL/USDT:USDT,15m,A_close_closedbar,538,266,272,0.494424,0.932566,85.006455,-89.142549,-0.000227,-0.163506,0.320037,-2.906956,,,,
SOL/USDT:USDT,15m,B_zonelimit_realtime,784,324,460,0.413265,1.075109,228.304692,-149.571677,0.000749,0.516775,0.353736,6.32342,2432,787,0.323602,0
SOL/USDT:USDT,1d,A_close_closedbar,7,4,3,0.571429,0.322927,353.588358,-1459.930812,-0.040674,-0.296544,0.416516,-5.864976,,,,
SOL/USDT:USDT,1d,B_zonelimit_realtime,15,6,9,0.4,0.692275,1072.91416,-1033.225132,-0.014761,-0.286154,0.395283,-2.231214,27,15,0.555556,0
SOL/USDT:USDT,1h,A_close_closedbar,136,68,68,0.5,0.818137,137.616908,-168.207599,-0.001393,-0.208017,0.415179,-5.159613,,,,
SOL/USDT:USDT,1h,B_zonelimit_realtime,200,80,120,0.4,0.855166,208.685597,-162.686312,-0.001276,-0.282751,0.322926,-4.257397,590,204,0.345763,0
SOL/USDT:USDT,4h,A_close_closedbar,49,22,27,0.44898,0.874623,474.733184,-442.270082,-0.001246,-0.149716,0.310244,-0.714802,,,,
SOL/USDT:USDT,4h,B_zonelimit_realtime,64,24,40,0.375,1.379936,684.235139,-297.507413,0.009183,0.452135,0.361572,4.798115,136,65,0.477941,0
ALL,ALL,A_close_closedbar,2143,980,1163,0.457303,0.704351,79.898622,-95.586483,-0.001911,,,,,,,
ALL,ALL,B_zonelimit_realtime,3090,1239,1851,0.400971,0.966326,161.101548,-111.594048,-0.00014,,,,9511,3109,0.326885,3
