symbol,timeframe,window_start,window_end,htf_bars,one_min_bars,expected_one_min,coverage_ratio,missing_policy,note
BTC/USDT:USDT,15m,2026-01-13T10:07:00+00:00,2026-07-12T10:07:00+00:00,17280,259201,259201,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,1h,2026-03-12T07:00:00+00:00,2026-07-12T10:07:00+00:00,2932,175868,175868,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,4h,2026-01-13T10:07:00+00:00,2026-07-12T10:07:00+00:00,1080,259201,259201,1.0,exclude_uncovered_setups,ok
BTC/USDT:USDT,1d,2026-01-13T10:07:00+00:00,2026-07-12T10:07:00+00:00,180,259201,259201,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,15m,2025-07-12T08:45:00+00:00,2026-07-12T09:39:00+00:00,35044,525655,525655,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,1h,2023-07-13T09:00:00+00:00,2026-07-12T09:39:00+00:00,26281,1576840,1576840,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,4h,2023-07-13T08:24:00+00:00,2026-07-12T09:39:00+00:00,6570,1576876,1576876,1.0,exclude_uncovered_setups,ok
ETH/USDT:USDT,1d,2023-07-13T08:24:00+00:00,2026-07-12T09:39:00+00:00,1095,1576876,1576876,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,15m,2025-07-12T08:45:00+00:00,2026-07-12T09:39:00+00:00,35044,525655,525655,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,1h,2023-07-13T09:00:00+00:00,2026-07-12T09:39:00+00:00,26281,1576840,1576840,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,4h,2023-07-13T08:33:00+00:00,2026-07-12T09:39:00+00:00,6570,1576867,1576867,1.0,exclude_uncovered_setups,ok
SOL/USDT:USDT,1d,2023-07-13T08:33:00+00:00,2026-07-12T09:39:00+00:00,1095,1576867,1576867,1.0,exclude_uncovered_setups,ok
