window_index,symbol,timeframe,variant,is_start_time,is_end_time,oos_start_time,oos_end_time,is_num_bars,oos_num_bars,is_total_return,is_max_drawdown,is_win_rate,is_profit_factor,is_sharpe,is_num_trades,is_avg_trade_return,is_fill_rate,is_num_penetrations,oos_total_return,oos_max_drawdown,oos_win_rate,oos_profit_factor,oos_sharpe,oos_num_trades,oos_avg_trade_return,oos_fill_rate,oos_num_penetrations,return_gap,profit_factor_gap
0,BTC/USDT:USDT,4h,A,1689235200000,1720785600000,1720800000000,1728676800000,2192,548,-0.07349701061832056,0.09528034579595429,0.4444444444444444,0.4230819102111314,-14.431577701509822,9,-0.008131564020434417,,,0.04947243094534715,0.0,1.0,,65.65477213461989,3,0.016608167826997717,,,-0.12296944156366771,
0,BTC/USDT:USDT,4h,B,1689235200000,1720785600000,1720800000000,1728676800000,2192,548,-0.0972201721546382,0.15989195471659623,0.35714285714285715,0.5578457206891305,-11.53621161178734,14,-0.006913067650455307,0.30434782608695654,0.0,0.023402721103836302,0.044994160507347704,0.625,1.3778699631708207,6.544298298465814,8,0.003111258173037259,0.5333333333333333,0.0,-0.1206228932584745,-0.8200242424816901
1,BTC/USDT:USDT,4h,A,1697126400000,1728676800000,1728691200000,1736568000000,2192,548,-0.053665003442366285,0.09767619573141582,0.4444444444444444,0.5791929266372852,-8.9814833828797,9,-0.005577632896818784,,,-0.052416583086156605,0.052416583086156605,0.0,0.0,-40.954182523981956,2,-0.026328610813034427,,,-0.00124842035620968,0.5791929266372852
1,BTC/USDT:USDT,4h,B,1697126400000,1728676800000,1728691200000,1736568000000,2192,548,-0.105620794081848,0.180818821230685,0.42105263157894735,0.6035807032020991,-9.461159408897243,19,-0.005506579979950108,0.4418604651162791,0.0,-0.04822049539671807,0.04822049539671807,0.3333333333333333,0.16481627483868413,-31.095303569850245,3,-0.016139770219064774,0.375,0.0,-0.057400298685129934,0.438764428363415
2,BTC/USDT:USDT,4h,A,1705017600000,1736568000000,1736582400000,1744459200000,2192,548,-0.09334353848997544,0.09334353848997544,0.4,0.4379135085927334,-14.345913866005805,10,-0.009328501738621618,,,0.08011374046359743,0.0,1.0,,67.78619239338556,3,0.027403730239651158,,,-0.17345727895357288,
2,BTC/USDT:USDT,4h,B,1705017600000,1736568000000,1736582400000,1744459200000,2192,548,-0.21492411933992298,0.21492411933992298,0.3333333333333333,0.3591878072826873,-19.955507048740955,21,-0.011132037080534608,0.4772727272727273,0.0,0.12144409653135445,0.014658506083774227,0.8,9.284889049217854,34.74765412469723,5,0.023582536724605137,0.4166666666666667,0.0,-0.3363682158712774,-8.925701241935167
3,BTC/USDT:USDT,4h,A,1712908800000,1744459200000,1744473600000,1752350400000,2192,548,0.003214102572806769,0.06666095606241033,0.5454545454545454,1.0286390910550247,1.0819315983404159,11,0.000582794624848455,,,-0.030421493656956955,0.030421493656956955,0.0,0.0,-34.252507946077515,2,-0.015059818163101804,,,0.033635596229763726,1.0286390910550247
3,BTC/USDT:USDT,4h,B,1712908800000,1744459200000,1744473600000,1752350400000,2192,548,-0.08846426505922063,0.19033999610594446,0.45454545454545453,0.6727332013470757,-6.662045709123277,22,-0.00385415567560829,0.4782608695652174,0.0,-0.006326286252528917,0.019967938484383642,0.5,0.8373256432205404,-3.1653476107248006,4,-0.0014199288798133858,0.36363636363636365,0.0,-0.08213797880669171,-0.16459244187346467
4,BTC/USDT:USDT,4h,A,1720800000000,1752350400000,1752364800000,1760241600000,2192,548,0.04945385416275203,0.05138702558886646,0.6363636363636364,1.5790001675541256,8.923856195446156,11,0.0047753648456147855,,,-0.030429677337406612,0.030429677337406612,0.0,0.0,-145.79838128892055,2,-0.015334122910403236,,,0.07988353150015864,1.5790001675541256
4,BTC/USDT:USDT,4h,B,1720800000000,1752350400000,1752364800000,1760241600000,2192,548,0.059351222495389815,0.09814421895918615,0.5909090909090909,1.2797492910211046,5.286061113687314,22,0.002947385638665532,0.4583333333333333,0.0,-0.02413528029437257,0.03172790164347073,0.25,0.24522275874068394,-29.05581176648245,4,-0.006053519087157559,0.36363636363636365,0.0,0.08348650278976238,1.0345265322804207
5,BTC/USDT:USDT,4h,A,1728691200000,1760241600000,1760256000000,1768132800000,2192,548,-0.03058703795272686,0.052416583086156605,0.4,0.730400418819641,-5.178550302412432,10,-0.0028096639718735847,,,0.0001445301467399986,0.0,1.0,,,1,0.00014906857269348072,,,-0.03073156809946686,
5,BTC/USDT:USDT,4h,B,1728691200000,1760241600000,1760256000000,1768132800000,2192,548,0.049001545176556104,0.06217216105535681,0.5294117647058824,1.3318729849509237,5.877095470497432,17,0.0031024381466270095,0.3953488372093023,0.0,0.01308365134252981,0.02082577196094644,0.6666666666666666,1.6282432827491362,8.012463273831623,3,0.004579145939532307,0.3,0.0,0.03591789383402629,-0.29637029779821256
6,BTC/USDT:USDT,4h,A,1736582400000,1768132800000,1768147200000,1776024000000,2192,548,0.054471301330276584,0.04391324773417324,0.6,1.8782369674872097,11.87140913719871,10,0.005810281043604237,,,0.01048801720180727,0.007190042661019834,0.5,2.4586863661695797,14.053904563330901,2,0.005307221111360067,,,0.043983284128469316,-0.58044939868237
6,BTC/USDT:USDT,4h,B,1736582400000,1768132800000,1768147200000,1776024000000,2192,548,0.17230213079057102,0.03673552533108294,0.5789473684210527,2.2434965082566474,15.432853256635177,19,0.008727371874506095,0.40425531914893614,0.0,-0.009857694915000138,0.009857694915000138,0.0,0.0,-37.2937137951686,2,-0.004931433729933594,0.25,0.0,0.18215982570557115,2.2434965082566474
