symbol,timeframe,variant,num_trades,num_wins,num_losses,win_rate,profit_factor,avg_win,avg_loss,avg_trade_return,total_return,max_drawdown,sharpe,eligible_setups,num_filled,fill_rate,num_penetrations
BTC/USDT:USDT,15m,A_close_closedbar,381,207,174,0.543307,1.101722,58.329185,-62.984679,0.000305,0.111481,0.142458,7.71272,,,,
BTC/USDT:USDT,15m,B_zonelimit_realtime,565,268,297,0.474336,1.575681,128.317652,-73.484621,0.001474,1.25642,0.078323,33.971041,1924,567,0.294699,2
BTC/USDT:USDT,1d,A_close_closedbar,5,2,3,0.4,1.414491,632.107505,-297.919903,0.008143,0.037046,0.065184,2.821468,,,,
BTC/USDT:USDT,1d,B_zonelimit_realtime,8,3,5,0.375,1.284567,1447.753715,-676.221976,0.021406,0.096215,0.309272,2.582776,22,8,0.363636,0
BTC/USDT:USDT,1h,A_close_closedbar,102,68,34,0.666667,1.857254,119.4089,-128.586527,0.003223,0.374786,0.062954,21.444767,,,,
BTC/USDT:USDT,1h,B_zonelimit_realtime,146,71,75,0.486301,1.54523,190.018819,-116.412793,0.002855,0.476038,0.126275,13.554884,476,147,0.308824,0
BTC/USDT:USDT,4h,A_close_closedbar,25,10,15,0.4,0.395556,134.268561,-226.295089,-0.009368,-0.205174,0.270939,-9.708032,,,,
BTC/USDT:USDT,4h,B_zonelimit_realtime,42,19,23,0.452381,1.235055,305.585383,-204.395861,0.003193,0.110502,0.145336,3.852693,112,42,0.375,0
ETH/USDT:USDT,15m,A_close_closedbar,407,203,204,0.498771,0.893558,64.69536,-72.047095,-0.000363,-0.156445,0.185683,-6.542933,,,,
ETH/USDT:USDT,15m,B_zonelimit_realtime,561,249,312,0.44385,1.202199,124.611637,-82.723127,0.000809,0.521868,0.159828,13.722123,1947,564,0.289676,1
ETH/USDT:USDT,1d,A_close_closedbar,9,1,8,0.111111,0.125304,552.792898,-551.452129,-0.045571,-0.385882,0.385882,-16.230187,,,,
ETH/USDT:USDT,1d,B_zonelimit_realtime,11,3,8,0.272727,0.790671,1149.649798,-545.256963,-0.003789,-0.091311,0.204416,-0.660913,22,11,0.5,0
ETH/USDT:USDT,1h,A_close_closedbar,113,54,59,0.477876,0.658875,107.673417,-149.570878,-0.002955,-0.301032,0.331418,-13.511582,,,,
ETH/USDT:USDT,1h,B_zonelimit_realtime,167,69,98,0.413174,0.884049,154.782,-123.272826,-0.000721,-0.140078,0.255357,-3.511279,472,167,0.353814,0
ETH/USDT:USDT,4h,A_close_closedbar,27,11,16,0.407407,0.686516,248.821259,-249.177731,-0.005453,-0.124981,0.154717,-6.140625,,,,
ETH/USDT:USDT,4h,B_zonelimit_realtime,43,20,23,0.465116,1.9214,554.523299,-250.959788,0.010995,0.531839,0.139451,10.853718,108,43,0.398148,0
SOL/USDT:USDT,15m,A_close_closedbar,409,220,189,0.537897,1.338881,136.854185,-118.980801,0.001494,0.762055,0.145608,18.78006,,,,
SOL/USDT:USDT,15m,B_zonelimit_realtime,601,266,335,0.442596,1.4697,343.669713,-185.673302,0.002511,2.921559,0.140054,20.221716,2000,601,0.3005,0
SOL/USDT:USDT,1d,A_close_closedbar,7,4,3,0.571429,0.340084,369.282972,-1447.810154,-0.038812,-0.28663,0.411166,-5.604166,,,,
SOL/USDT:USDT,1d,B_zonelimit_realtime,15,6,9,0.4,0.713015,1101.060108,-1029.48797,-0.012958,-0.265903,0.380269,-1.959854,26,15,0.576923,0
SOL/USDT:USDT,1h,A_close_closedbar,110,56,54,0.509091,0.998233,150.377266,-156.222794,0.000235,-0.00149,0.289697,0.9853,,,,
SOL/USDT:USDT,1h,B_zonelimit_realtime,158,62,96,0.392405,0.921015,236.859443,-166.090452,-0.00049,-0.12594,0.238886,-1.6902,483,161,0.333333,0
SOL/USDT:USDT,4h,A_close_closedbar,42,19,23,0.452381,0.971778,529.431968,-450.058364,0.000977,-0.029213,0.297001,0.934814,,,,
SOL/USDT:USDT,4h,B_zonelimit_realtime,56,21,35,0.375,1.759577,924.076784,-315.101931,0.01457,0.837704,0.27887,7.249961,118,57,0.483051,0
ALL,ALL,A_close_closedbar,1637,855,782,0.522297,0.978851,111.232261,-124.243462,-0.000233,,,,,,,
ALL,ALL,B_zonelimit_realtime,2373,1057,1316,0.445428,1.33111,233.103996,-140.654855,0.001843,,,,7710,2383,0.309079,3
